capture_id,tag,n_samples,opti_circle_radius_mm,angular_speed_deg_s_median,angular_speed_deg_s_p95,abs_radius_error_p50_mm,abs_radius_error_p95_mm
R01,BS2DCE,1201,426.48582848840823,95.00996679269068,99.12082074644721,45.261175961561946,141.15503486572663
R01,BSDC91,1200,553.5374362567889,94.99786640531997,99.20681637168391,37.435591393269135,136.6369493032454
R02,BS2DCE,1201,426.5872672453299,86.01727343481309,98.42872008061893,46.15193380821603,138.87883272806727
R02,BSDC91,1200,553.7579522299013,86.28914456975616,97.52563148139856,49.9769261428963,129.8419897461041
R03,BS2DCE,1050,426.572346201647,87.70762700590748,98.16628361717784,67.09449983825493,157.72575482975378
R03,BSDC91,1200,553.5575033917082,87.95108822634577,97.5376237718197,48.98848997111094,144.32145708565963
R04,BS2DCE,1200,426.43337333690476,86.6805473605806,98.41673313480067,58.419300144111645,158.83759586598396
R04,BSDC91,1200,553.4706845883857,86.59369199793035,97.26347013008463,58.37117498812094,147.44606711672594
R05,BS2DCE,1200,426.4908337551261,87.61553983746961,98.40646762272841,61.05948639427595,222.85841101765652
R05,BSDC91,1201,553.5314134827562,87.51664641584217,97.4254564365186,49.96149054725652,157.0711613377913
R06,BS2DCE,1200,426.6440400664725,72.11910922305408,98.6240660312769,55.061623411929446,139.27742295143057
R06,BSDC91,1201,553.9352277035896,73.06448008325974,95.90846243158424,43.23619576736667,161.84257118124515
R07,BS2DCE,1200,426.63347228151616,70.32161357659481,98.09277554118707,58.06538439162793,170.2416789291209
R07,BSDC91,1201,553.7100883386518,71.2544064030481,95.0788945596194,61.97039748216582,126.1704995118314
R08,BS2DCE,1201,426.4998438737726,71.30998719446376,97.34807111489826,52.89174266668459,185.6122422241363
R08,BSDC91,1200,553.6862544616728,72.07390415052595,94.70867622018294,35.36034773889838,104.27451683209785
R09,BS2DCE,1200,426.5535566940207,71.56600705843792,98.51331249082314,64.23426512704691,212.45481295142065
R09,BSDC91,1200,553.6949651923159,72.54475130470767,96.10701609836559,62.07759880772579,152.0153283363908
R10,BS2DCE,1200,426.71442181080937,69.42136088988983,90.72244373312014,61.80606691679316,156.68108973554664
R10,BSDC91,1200,553.8753944619384,68.568130666506,91.88016697658696,51.482224654278184,137.27518260475253
R11,BS2DCE,1201,426.8423177244342,69.6301303216274,90.67506327060373,66.10791906807066,153.6393162688077
R11,BSDC91,1200,553.6302994130274,69.00278158213155,91.63729274059453,53.152412543308714,137.02656306786966
R12,BS2DCE,1200,426.60555995623395,70.5409437315242,89.92102805842677,49.19736740167474,160.48946384062802
R12,BSDC91,1200,553.7074846405563,69.81452678026,90.9438175594106,47.71870263462117,138.80616320852096
R13,BS2DCE,1201,426.619674136456,69.51390854614834,91.0413643869908,42.67616445651629,128.1266407345143
R13,BSDC91,1200,553.772122596342,68.58887381882454,92.23183897368914,47.55452365535953,122.45121230516095
R14,BS2DCE,1201,426.68697811414734,68.5746070558491,90.57837282930886,52.48730459092809,138.71307702973547
R14,BSDC91,1200,553.6911689203672,67.86325211433314,91.85536087949228,48.13493282960144,121.95170662186415
R15,BS2DCE,1200,426.7388268270692,68.2662866574774,91.51219343396014,59.3228686823179,144.63941074903184
R15,BSDC91,1200,553.7239696599694,67.35468607927479,92.47236984990096,52.21784787170694,136.36234713020042
R16,BS2DCE,1201,426.7546691537481,68.615332604909,90.80536198612772,49.69753063014366,168.47481511754734
R16,BSDC91,1200,553.8570986645638,67.22652830681508,91.6619437262034,45.744108611437355,139.96853165769951
R17,BS2DCE,1201,426.77989847218157,68.87454490737977,91.01282263150316,46.47576687552419,133.8630761654412
R17,BSDC91,1200,553.9448837938895,67.81898199091333,92.28944565473574,52.79159650889517,132.43177344140975
