stamp=anchoronly-bsblock-rebuild-20260512_122943
repo_root=/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/SS-TWR/alt-SS-TWR/broadcast
script=scripts/build_master_anchor.sh
conf=configs/b120_master_anchor_lfrc.conf
ZEPHYR_BASE=/home/zekaixiao/ncs/v2.8.0/zephyr
active_payload=/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/SS-TWR/alt-SS-TWR/broadcast/apps/master_ota/generated/active_ota_payload.json
{
  "kind": "anchor",
  "manifest_kind": "anchor_ota_bundle",
  "fw_marker": "alt-bcast-a18-ledrole-g1200-r1000",
  "anchor_build_dir": "/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start-reserve/build_archive_20260511_224100/repo/SS-TWR/alt-SS-TWR/broadcast/build-anchor-unified-ota-alt-bcast-a18-ledrole-g1200-r1000",
  "control_build_dir": "/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start-reserve/build_archive_20260511_224100/repo/SS-TWR/alt-SS-TWR/broadcast/build-master-control-anchor-ota-alt-bcast-a18-ledrole-g1200-r1000",
  "signed_bin": "/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start-reserve/build_archive_20260511_224100/repo/SS-TWR/alt-SS-TWR/broadcast/build-anchor-unified-ota-alt-bcast-a18-ledrole-g1200-r1000/anchor/zephyr/zephyr.signed.bin",
  "signed_bin_sha256": "cf466d739b44b74c616457eb10b6e0d3db6339844825526742a62d7831c5135d",
  "dfu_zip": "/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start-reserve/build_archive_20260511_224100/repo/SS-TWR/alt-SS-TWR/broadcast/build-anchor-unified-ota-alt-bcast-a18-ledrole-g1200-r1000/dfu_application.zip",
  "dfu_zip_sha256": "aa57b8a13cec6db532fa6949ad2e8326b182d62c0af64efcfcf384aae41c6693",
  "ota_image_inc": "apps/master_ota/generated/ota_image.inc",
  "ota_image_inc_sha256": "cf28c13ae667931f31a76a89425bcbcc76de7d768fd278840a90a0e61d76f35e",
  "generated_at_epoch": 1778581715
}
