layout_source,correction_source,correction_detail,d_tag_mm,n_positions,n_frames,frames_input_total,median_3d_mm,p75_3d_mm,p95_3d_mm,rmse_3d_mm,median_horiz_mm,rmse_horiz_mm,median_vert_mm,rmse_vert_mm,signed_vertical_slope_mm_per_m,signed_vertical_slope_r2,fail_rate,residual_rms_median_mm,d3_std_median_mm,distance_to_centroid_slope_mm_per_m,distance_to_centroid_slope_r2
L_Vicon,C_Vicon_cm,L_Vicon with C_Vicon_cm,0.0,24,28818,28818,102.33642750720954,166.27526678432343,213.92483314490153,136.39579696090004,47.587858917886464,53.35200836573954,86.60525088880202,125.52838974487457,188.17939024131888,0.7860910730600157,0.0,87.095828521951,70.39290577622317,170.77825014172015,0.4683354120582742
L_Vicon,C_Vicon_cm,L_Vicon with C_Vicon_cm,2.0,24,28818,28818,100.11850129401827,163.2722915316885,208.72945733172182,133.55782606411697,46.29152029682557,52.628052096958015,83.0770588830993,122.75170481688957,183.07277894344926,0.7794977972896572,0.0,86.8529081100597,69.766087153679,166.40624356624664,0.459975166056072
L_Vicon,C_Vicon_cm,L_Vicon with C_Vicon_cm,4.0,24,28818,28818,98.0454720655971,160.28178428489494,203.59704669294663,130.75644094924996,45.02178560401153,51.91541480429625,79.57767990520591,120.00848534754762,177.9974647166453,0.7724662645391336,0.0,86.12749725738338,68.8151005121924,161.9883804019807,0.45125700974738436
L_Vicon,C_Vicon_cm,L_Vicon with C_Vicon_cm,6.0,24,28818,28818,95.97137165283252,157.30089687304243,200.37716919398247,127.9932666493464,44.01927660559507,51.21524377105768,77.2571939795377,117.29993654321312,172.95516049154537,0.7649740853434488,0.0,85.56472993462344,67.54809484238503,157.53715085003918,0.4422041020937546
L_Vicon,C_Vicon_cm,L_Vicon with C_Vicon_cm,8.0,24,28818,28818,93.88771494971324,154.3266024282325,197.56880450100056,125.27059924321769,43.50780986432031,50.52871158506372,75.22986737020709,114.62797363780057,167.94775942784963,0.7569948235131737,0.0,84.86314921716809,66.37861352948742,153.069087046472,0.43289692612428776
L_Vicon,C_Vicon_cm,L_Vicon with C_Vicon_cm,10.0,24,28818,28818,91.79107663479238,151.3573568821036,194.8191944513883,122.58704012426048,43.002808168347286,49.85735392338577,73.18604315807507,111.99029719661118,162.9706569852483,0.7484911548416179,0.0,84.15832633385088,65.30927552361403,148.59865301697118,0.4234056709885219
L_Vicon,C_Vicon_cm,L_Vicon with C_Vicon_cm,12.0,24,28818,28818,89.68136714645559,148.39119632104502,192.13282798013392,119.94501896222279,42.508058437918905,49.20387144577259,71.12668864670547,109.38823798103647,158.0268306548946,0.739439464682319,0.0,83.53540850857767,64.33021914114123,144.1455460540456,0.41379785349636233
L_Vicon,C_Vicon_cm,L_Vicon with C_Vicon_cm,14.0,24,28818,28818,87.55378705782483,145.4353940895564,189.5247007609395,117.35124936456482,42.02229439685122,48.56962100843893,69.05286113503497,106.82840278933726,153.1220687003175,0.7297761348641483,0.0,82.8357526567245,63.44038063083606,139.7188933359906,0.40409958738814
L_Vicon,C_Vicon_cm,L_Vicon with C_Vicon_cm,16.0,24,28818,28818,85.41295197623374,142.48537768471954,186.9951811982192,114.80674774620523,41.307380920852324,47.95751288191461,66.96815935276143,104.31043229822122,148.25336470766928,0.7194555643597191,0.0,82.20073757349257,62.638653980343264,135.31525464695522,0.3943262954557408
L_Vicon,C_Vicon_cm,L_Vicon with C_Vicon_cm,18.0,24,28818,28818,83.25590679571724,139.53875262694024,184.79962695053183,112.31135784747788,40.556576663691374,47.36727687744031,64.87466830426723,101.83409145644761,143.4170351801878,0.7084204899821374,0.0,81.69495437437817,62.13758739497797,130.94310713970322,0.38454268880638165
L_Vicon,C_Vicon_cm,L_Vicon with C_Vicon_cm,20.0,24,28818,28818,81.0765680513932,136.59658104541234,182.80404663538712,109.86783538573964,39.763276031610545,46.79878399399152,62.758126552290435,99.40228905327938,138.61380684517005,0.6966104812510907,0.0,81.67390430561089,62.24328009588808,126.60479395326537,0.3747775259946209
L_Vicon,C_Vicon_cm,L_Vicon with C_Vicon_cm,22.0,24,28818,28818,78.88146949015096,133.65599510159632,180.8789662581201,107.47850300057866,38.63422447360193,46.255042509511455,62.037591726577034,97.0159762600402,133.84449645534485,0.6839788790192964,0.0,81.5986351266988,62.252390081749425,122.30960643730802,0.365049927898932
L_Vicon,C_Vicon_cm,L_Vicon with C_Vicon_cm,24.0,24,28818,28818,76.67575214239042,130.72166680612168,179.02413151030856,105.15033077984567,37.55636496245125,45.73876400708639,61.535019377687036,94.68134731939031,129.11273137069645,0.6704459280441749,0.0,81.49358383544615,61.61388754466505,118.04027889494267,0.3552164321400365
L_Vicon,C_Vicon_cm,L_Vicon with C_Vicon_cm,26.0,24,28818,28818,75.12502163709425,127.79633561265143,177.22274036843095,102.88615888329181,36.531178175054045,45.25189396760814,61.37550448133902,92.40036678553994,124.42059737707167,0.6559679529691103,0.0,81.48643440921987,61.03903977752515,113.79519061182256,0.3452078406316693
