host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,diag_source,tr_diag_version,rfd_version,poll_seq,anchor_id,raw_mm,resp_rx_ts,carrier_integrator,anchor_diag_valid,anchor_diag_flags,anchor_fp_index,anchor_fp1,anchor_fp2,anchor_fp3,anchor_fp_sum,anchor_fp_sum_q8,anchor_cir_pwr,anchor_cir_pwr_q8,anchor_rxpacc,anchor_rxpacc_q8,anchor_std_noise,tag_diag_valid,tag_diag_flags,tag_fp_index,tag_fp1,tag_fp2,tag_fp3,tag_fp_sum,tag_fp_sum_q8,tag_cir_pwr,tag_cir_pwr_q8,tag_rxpacc,tag_rxpacc_q8,tag_std_noise,anchor_temp_raw,anchor_vbat_raw
0.420456,1783686842.965444,2087320,,BSCCF4,4,rfd_legacy,,1,115,0,3137,2611857931,5215,1,3,47669,7661,6636,4205,18502,72,2342,9,124,124,36,0,0,0,0,0,0,0,0,0,0,0,0,0,45,120
0.468767,1783686843.013755,2087320,,BSCCF4,4,rfd_legacy,,1,115,4,2931,2874003165,7858,1,3,47950,4538,6708,6106,17352,68,2137,8,123,123,44,0,0,0,0,0,0,0,0,0,0,0,0,0,16,36
0.471282,1783686843.01627,2087320,,BSCCF4,4,rfd_legacy,,1,115,1,2661,2677393363,3028,1,3,47709,7150,7015,6457,20622,81,1878,7,124,124,60,0,0,0,0,0,0,0,0,0,0,0,0,0,104,233
0.473501,1783686843.018489,2087320,,BSCCF4,4,rfd_legacy,,1,115,5,2310,2939536975,-1366,1,3,47945,7150,7419,7350,21919,86,1929,8,120,120,48,0,0,0,0,0,0,0,0,0,0,0,0,0,255,145
0.475817,1783686843.020805,2087320,,BSCCF4,4,rfd_legacy,,1,115,2,2780,2742930238,5910,1,3,47657,6592,6887,5132,18611,73,2024,8,117,117,40,0,0,0,0,0,0,0,0,0,0,0,0,0,22,132
0.520048,1783686843.065036,2087320,,BSCCF4,4,rfd_legacy,,1,115,6,2760,3005076102,10516,1,3,47703,7079,7093,6431,20603,80,2103,8,122,122,44,0,0,0,0,0,0,0,0,0,0,0,0,0,90,172
0.522623,1783686843.067611,2087320,,BSCCF4,4,rfd_legacy,,1,115,3,3194,2808466600,6249,1,3,47769,7292,7500,6143,20935,82,2066,8,122,122,72,0,0,0,0,0,0,0,0,0,0,0,0,0,152,8
0.524835,1783686843.069823,2087320,,BSCCF4,4,rfd_legacy,,1,115,7,2907,3070611178,5819,1,3,47791,6606,6966,4640,18212,71,1839,7,123,123,56,0,0,0,0,0,0,0,0,0,0,0,0,0,5,107
1.763046,1783686844.308034,2087330,,BSCCF4,4,rfd_legacy,,1,125,0,3130,4082407440,5215,1,3,47696,6828,6927,6306,20061,78,1989,8,117,117,52,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41
1.780128,1783686844.325116,2087330,,BSCCF4,4,rfd_legacy,,1,125,4,2922,49585063,7848,1,3,47819,4915,6503,6141,17559,69,2059,8,121,121,40,0,0,0,0,0,0,0,0,0,0,0,0,0,28,195
1.782607,1783686844.327595,2087330,,BSCCF4,4,rfd_legacy,,1,125,1,2676,4147943129,3035,1,3,47962,7803,7777,6815,22395,87,2029,8,125,125,56,0,0,0,0,0,0,0,0,0,0,0,0,0,117,224
1.784851,1783686844.329839,2087330,,BSCCF4,4,rfd_legacy,,1,125,5,2214,115119163,-1264,1,3,47842,7415,7372,6360,21147,83,1945,8,119,119,52,0,0,0,0,0,0,0,0,0,0,0,0,0,88,175
1.787138,1783686844.332126,2087330,,BSCCF4,4,rfd_legacy,,1,125,2,2764,4213479591,5941,1,3,47891,6683,6535,6369,19587,77,2003,8,119,119,36,0,0,0,0,0,0,0,0,0,0,0,0,0,222,53
1.813167,1783686844.358155,2087330,,BSCCF4,4,rfd_legacy,,1,125,6,2802,180658602,10490,1,3,47587,7543,7522,6046,21111,82,2327,9,123,123,40,0,0,0,0,0,0,0,0,0,0,0,0,0,14,242
1.813772,1783686844.35876,2087330,,BSCCF4,4,rfd_legacy,,1,125,3,3198,4279016297,6333,1,3,47672,7468,7058,4125,18651,73,2037,8,122,122,68,0,0,0,0,0,0,0,0,0,0,0,0,0,123,234
1.816026,1783686844.361014,2087330,,BSCCF4,4,rfd_legacy,,1,125,7,2914,246193310,5868,1,3,47981,6587,6833,4705,18125,71,1859,7,125,125,44,0,0,0,0,0,0,0,0,0,0,0,0,0,54,85
2.914055,1783686845.459043,2087340,,BSCCF4,4,rfd_legacy,,1,135,0,3168,3452035499,5260,1,3,47620,1080,6989,6900,14969,58,2110,8,120,120,44,0,0,0,0,0,0,0,0,0,0,0,0,0,78,107
2.916322,1783686845.46131,2087340,,BSCCF4,4,rfd_legacy,,1,135,4,2954,3714180656,7814,1,3,47939,5639,7122,6693,19454,76,1750,7,119,119,56,0,0,0,0,0,0,0,0,0,0,0,0,0,223,139
2.919294,1783686845.464282,2087340,,BSCCF4,4,rfd_legacy,,1,135,1,2687,3517571482,3028,1,3,47837,7201,7152,6343,20696,81,1886,7,120,120,60,0,0,0,0,0,0,0,0,0,0,0,0,0,70,148
2.990739,1783686845.535727,2087340,,BSCCF4,4,rfd_legacy,,1,135,5,2210,3779714514,-1200,1,3,47976,7294,7264,5328,19886,78,2304,9,123,123,40,0,0,0,0,0,0,0,0,0,0,0,0,0,18,173
2.990922,1783686845.53591,2087340,,BSCCF4,4,rfd_legacy,,1,135,2,2778,3583107720,5907,1,3,48006,5637,7008,6639,19284,75,2323,9,123,123,64,0,0,0,0,0,0,0,0,0,0,0,0,0,249,79
