host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count,tr_version,rx_mask,air_us,post_us,cycle_us,rx_seen,imu_valid,imu_n,acc_norm_mean_mg,acc_norm_std_mg,acc_norm_min_mg,acc_norm_max_mg,imu_skip_count,tag_temp_raw,tag_vbat_raw
0.110461,1783686842.655449,2087317,,BSCCF4,4,f,0,0,3130,3130,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.110461,1783686842.655449,2087317,,BSCCF4,4,f,0,1,2618,2618,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.110461,1783686842.655449,2087317,,BSCCF4,4,f,0,2,2794,2794,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.110461,1783686842.655449,2087317,,BSCCF4,4,f,0,3,3263,3263,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.110461,1783686842.655449,2087317,,BSCCF4,4,f,0,4,2920,2920,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.110461,1783686842.655449,2087317,,BSCCF4,4,f,0,5,2270,2270,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.110461,1783686842.655449,2087317,,BSCCF4,4,f,0,6,2772,2772,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.110461,1783686842.655449,2087317,,BSCCF4,4,f,0,7,2928,2928,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.114399,1783686842.659387,2087318,,BSCCF4,4,f,0,0,3136,3136,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.114399,1783686842.659387,2087318,,BSCCF4,4,f,0,1,2638,2638,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.114399,1783686842.659387,2087318,,BSCCF4,4,f,0,2,2739,2739,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.114399,1783686842.659387,2087318,,BSCCF4,4,f,0,3,3205,3205,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.114399,1783686842.659387,2087318,,BSCCF4,4,f,0,4,2912,2912,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.114399,1783686842.659387,2087318,,BSCCF4,4,f,0,5,2196,2196,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.114399,1783686842.659387,2087318,,BSCCF4,4,f,0,6,2750,2750,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.114399,1783686842.659387,2087318,,BSCCF4,4,f,0,7,3124,3124,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.238273,1783686842.783261,2087319,,BSCCF4,4,f,0,0,3159,3159,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.238273,1783686842.783261,2087319,,BSCCF4,4,f,0,1,2694,2694,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.238273,1783686842.783261,2087319,,BSCCF4,4,f,0,2,2761,2761,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.238273,1783686842.783261,2087319,,BSCCF4,4,f,0,3,3196,3196,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.238273,1783686842.783261,2087319,,BSCCF4,4,f,0,4,2920,2920,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.238273,1783686842.783261,2087319,,BSCCF4,4,f,0,5,2315,2315,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.238273,1783686842.783261,2087319,,BSCCF4,4,f,0,6,2780,2780,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.238273,1783686842.783261,2087319,,BSCCF4,4,f,0,7,3021,3021,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.418059,1783686842.963047,2087320,,BSCCF4,4,f,0,0,3142,3142,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.418059,1783686842.963047,2087320,,BSCCF4,4,f,0,1,2646,2646,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.418059,1783686842.963047,2087320,,BSCCF4,4,f,0,2,2784,2784,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.418059,1783686842.963047,2087320,,BSCCF4,4,f,0,3,3223,3223,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.418059,1783686842.963047,2087320,,BSCCF4,4,f,0,4,2916,2916,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.418059,1783686842.963047,2087320,,BSCCF4,4,f,0,5,2237,2237,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.418059,1783686842.963047,2087320,,BSCCF4,4,f,0,6,2797,2797,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.418059,1783686842.963047,2087320,,BSCCF4,4,f,0,7,2944,2944,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.55201,1783686843.096998,2087321,,BSCCF4,4,f,0,0,3137,3137,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.55201,1783686843.096998,2087321,,BSCCF4,4,f,0,1,2661,2661,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.55201,1783686843.096998,2087321,,BSCCF4,4,f,0,2,2780,2780,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.55201,1783686843.096998,2087321,,BSCCF4,4,f,0,3,3194,3194,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.55201,1783686843.096998,2087321,,BSCCF4,4,f,0,4,2931,2931,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.55201,1783686843.096998,2087321,,BSCCF4,4,f,0,5,2310,2310,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.55201,1783686843.096998,2087321,,BSCCF4,4,f,0,6,2760,2760,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.55201,1783686843.096998,2087321,,BSCCF4,4,f,0,7,2907,2907,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
0.576466,1783686843.121454,2087322,,BSCCF4,4,f,0,0,3118,3118,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,121,213
