row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R2:L0:I7:T6,simulate_imu_prior,0.09664968699507881,,,,
R2:L0:I7:T6,cpu_golden,18.143480371989426,,,,
R2:L0:I7:T6,torch_gpu,1.9810321520053549,0,1,1.9810321520053549,1.9810321520053549
R2:L0:I7:T8,simulate_imu_prior,0.10240661200077739,,,,
R2:L0:I7:T8,cpu_golden,18.683897020993754,,,,
R2:L0:I7:T8,torch_gpu,1.9294010949961375,0,1,1.9294010949961375,1.9294010949961375
R2:L0:I8:T6,simulate_imu_prior,0.09371937900141347,,,,
R2:L0:I8:T6,cpu_golden,18.584488187989336,,,,
R2:L0:I8:T6,torch_gpu,1.9118913660058752,0,1,1.9118913660058752,1.9118913660058752
R2:L0:I8:T8,simulate_imu_prior,0.10989638899627607,,,,
R2:L0:I8:T8,cpu_golden,18.697763846008456,,,,
R2:L0:I8:T8,torch_gpu,1.8981771399994614,0,1,1.8981771399994614,1.8981771399994614
