pair,i,j,anchor_i,anchor_j,autopos_distance_mm,vicon_distance_mm,delta_mm,ratio_autopos_over_vicon,abs_scale_error_pct,involves_C,involves_D,involves_C_or_D
A-B,0,1,A,B,2862.3469272697457,2665.0643575793506,197.28256969039512,1.0740254429989018,7.402544299890179,False,False,False
A-C,0,2,A,C,3644.650916834253,3414.1085019320158,230.5424149022374,1.0675263878613628,6.752638786136278,True,False,True
A-D,0,3,A,D,2340.7177833540227,2165.8598471827554,174.85793617126728,1.0807337263298518,8.073372632985176,False,True,True
A-E,0,4,A,E,1497.6301651820372,1403.6365517390243,93.99361344301292,1.0669643529349249,6.6964352934924865,False,False,False
A-F,0,5,A,F,3286.872192664949,3074.024420727174,212.84777193777518,1.0692407550514595,6.924075505145955,False,False,False
A-G,0,6,A,G,4017.1480015328466,3734.3841559079856,282.763845624861,1.0757190031393835,7.571900313938351,False,False,False
A-H,0,7,A,H,2680.6710386428076,2517.200327023951,163.4707116188565,1.0649414787785785,6.494147877857848,False,False,False
B-C,1,2,B,C,2168.284697259888,2179.133082966119,-10.848385706231056,0.9950216965677632,0.4978303432236819,True,False,True
B-D,1,3,B,D,3554.810795056832,3440.4790686576366,114.3317263991953,1.0332313390425025,3.323133904250253,False,True,True
B-E,1,4,B,E,3050.5248206491387,2955.9630981271275,94.56172252201122,1.0319901566369096,3.199015663690963,False,False,False
B-F,1,5,B,F,1534.000492907085,1392.3829235074895,141.61756939959537,1.1017087806871784,10.170878068717837,False,False,False
B-G,1,6,B,G,2793.919720904992,2658.9595708272213,134.96015007777078,1.0507567514596634,5.075675145966341,False,False,False
B-H,1,7,B,H,3870.078264264655,3745.511858044666,124.56640621998895,1.0332575121748562,3.3257512174856174,False,False,False
C-D,2,3,C,D,2754.659790607299,2636.9464765477865,117.71331405951241,1.044640008853581,4.464000885358099,True,True,True
C-E,2,4,C,E,3826.1646722148885,3718.707957323416,107.45671489147253,1.028896250021423,2.889625002142293,True,False,True
C-F,2,5,C,F,2604.5213427640815,2566.2905209564447,38.23082180763686,1.014897308584294,1.4897308584294056,True,False,True
C-G,2,6,C,G,1503.08739720436,1406.489122081887,96.59827512247307,1.068680428171025,6.868042817102493,True,False,True
C-H,2,7,C,H,3257.629269907508,3091.2461466183227,166.38312328918528,1.053823964640021,5.382396464002093,True,False,True
D-E,3,4,D,E,2800.988825739559,2660.813628381067,140.17519735849237,1.0526813286971097,5.268132869710973,False,True,True
D-F,3,5,D,F,3853.1288115959287,3737.3010362894142,115.82777530651447,1.030992358972911,3.0992358972911083,False,True,True
D-G,3,6,D,G,3073.305002458993,2964.7456840920613,108.55931836693162,1.0366167388148766,3.6616738814876593,False,True,True
D-H,3,7,D,H,1538.7616107357455,1395.6256482556894,143.13596248005615,1.1025604270449982,10.256042704499823,False,True,True
E-F,4,5,E,F,2713.1218963419647,2682.8449302921804,30.276966049784278,1.0112853954799716,1.128539547997165,False,False,False
E-G,4,6,E,G,3621.6732946072734,3495.0033830335615,126.66991157371194,1.0362431441951183,3.6243144195118315,False,False,False
E-H,4,7,E,H,2246.5943630542374,2198.9630417696453,47.631321284592104,1.0216608102909543,2.1660810290954347,False,False,False
F-G,5,6,F,G,2302.9558080046786,2236.1352352837457,66.82057272093289,1.029882169766201,2.988216976620106,False,False,False
F-H,5,7,F,H,3540.7745084261496,3509.9137150979086,30.860793328241016,1.0087924649530537,0.8792464953053747,False,False,False
G-H,6,7,G,H,2823.2774029349284,2739.7245543524423,83.55284858248615,1.0304968061295616,3.0496806129561627,False,False,False
