model,metric,n,p50,p5,p95,min,max
baseline_unperturbed,rigid_anchor_median_mm,1,92.77084899701543,92.77084899701543,92.77084899701543,92.77084899701543,92.77084899701543
baseline_unperturbed,rigid_anchor_rmse_mm,1,105.41990950811795,105.41990950811795,105.41990950811795,105.41990950811795,105.41990950811795
baseline_unperturbed,sim3_scale_autopos_to_vicon,1,0.9582672713308588,0.9582672713308588,0.9582672713308588,0.9582672713308588,0.9582672713308588
baseline_unperturbed,mean_delta_mm,1,120.53003459009854,120.53003459009854,120.53003459009854,120.53003459009854,120.53003459009854
baseline_unperturbed,ols_b0_mm,1,63.46386867944242,63.46386867944242,63.46386867944242,63.46386867944242,63.46386867944242
baseline_unperturbed,ols_b1_mm_per_m,1,20.917735315021133,20.917735315021133,20.917735315021133,20.917735315021133,20.917735315021133
baseline_unperturbed,delta_C_mm,1,43.99269000098205,43.99269000098205,43.99269000098205,43.99269000098205,43.99269000098205
baseline_unperturbed,delta_D_mm,1,72.08018196359585,72.08018196359585,72.08018196359585,72.08018196359585,72.08018196359585
baseline_unperturbed,static_t4_mean_median_mm,1,72.69137167036669,72.69137167036669,72.69137167036669,72.69137167036669,72.69137167036669
M1_isotropic_gaussian_sigma5mm,rigid_anchor_median_mm,1000,92.96956746740993,88.09619323991848,97.69270690268564,84.28721896813475,101.63692969909987
M1_isotropic_gaussian_sigma5mm,rigid_anchor_rmse_mm,1000,105.7609973927971,102.81697243078193,108.53695181019863,100.53458995442162,111.0842262516556
M1_isotropic_gaussian_sigma5mm,sim3_scale_autopos_to_vicon,1000,0.9583016756392595,0.9567471679767993,0.9597046063116559,0.9552296206247697,0.9608594253479962
M1_isotropic_gaussian_sigma5mm,mean_delta_mm,1000,120.44813172854758,116.35715847333256,124.91656881524138,113.12993514154721,129.4361566447359
M1_isotropic_gaussian_sigma5mm,ols_b0_mm,1000,63.53219376704533,56.29263735782632,71.1920202597065,49.79258891294258,78.0724000597049
M1_isotropic_gaussian_sigma5mm,ols_b1_mm_per_m,1000,20.92643375779847,17.70240403619005,23.964339217881566,15.096451128554866,27.340508276504274
M1_isotropic_gaussian_sigma5mm,delta_C_mm,1000,44.01736365607675,37.70800789408688,50.50926050610767,31.261888920783804,55.034918287166676
M1_isotropic_gaussian_sigma5mm,delta_D_mm,1000,72.2544222638657,65.53804631605587,78.58098479183907,58.91069039590151,85.75307779056234
M1_isotropic_gaussian_sigma5mm,static_t4_mean_median_mm,1000,72.72707654550382,70.58149921192356,75.116982634518,69.31943916321916,78.38046095026996
M2_radial_common_plus5mm_outward,rigid_anchor_median_mm,1,90.40973271496661,90.40973271496661,90.40973271496661,90.40973271496661,90.40973271496661
M2_radial_common_plus5mm_outward,rigid_anchor_rmse_mm,1,102.52989768680781,102.52989768680781,102.52989768680781,102.52989768680781,102.52989768680781
M2_radial_common_plus5mm_outward,sim3_scale_autopos_to_vicon,1,0.960632718052662,0.960632718052662,0.960632718052662,0.960632718052662,0.960632718052662
M2_radial_common_plus5mm_outward,mean_delta_mm,1,114.01983907832093,114.01983907832093,114.01983907832093,114.01983907832093,114.01983907832093
M2_radial_common_plus5mm_outward,ols_b0_mm,1,67.61767971392676,67.61767971392676,67.61767971392676,67.61767971392676,67.61767971392676
M2_radial_common_plus5mm_outward,ols_b1_mm_per_m,1,16.968327029947563,16.968327029947563,16.968327029947563,16.968327029947563,16.968327029947563
M2_radial_common_plus5mm_outward,delta_C_mm,1,40.75200687585897,40.75200687585897,40.75200687585897,40.75200687585897,40.75200687585897
M2_radial_common_plus5mm_outward,delta_D_mm,1,68.82376486277943,68.82376486277943,68.82376486277943,68.82376486277943,68.82376486277943
M2_radial_common_plus5mm_outward,static_t4_mean_median_mm,1,72.68774073955512,72.68774073955512,72.68774073955512,72.68774073955512,72.68774073955512
M2_radial_common_minus5mm_inward,rigid_anchor_median_mm,1,95.32459268483905,95.32459268483905,95.32459268483905,95.32459268483905,95.32459268483905
M2_radial_common_minus5mm_inward,rigid_anchor_rmse_mm,1,108.4635124654591,108.4635124654591,108.4635124654591,108.4635124654591,108.4635124654591
M2_radial_common_minus5mm_inward,sim3_scale_autopos_to_vicon,1,0.9559018247404512,0.9559018247404512,0.9559018247404512,0.9559018247404512,0.9559018247404512
M2_radial_common_minus5mm_inward,mean_delta_mm,1,127.03844896622759,127.03844896622759,127.03844896622759,127.03844896622759,127.03844896622759
M2_radial_common_minus5mm_inward,ols_b0_mm,1,59.29434708061474,59.29434708061474,59.29434708061474,59.29434708061474,59.29434708061474
M2_radial_common_minus5mm_inward,ols_b1_mm_per_m,1,24.891139637132852,24.891139637132852,24.891139637132852,24.891139637132852,24.891139637132852
M2_radial_common_minus5mm_inward,delta_C_mm,1,47.232413321726504,47.232413321726504,47.232413321726504,47.232413321726504,47.232413321726504
M2_radial_common_minus5mm_inward,delta_D_mm,1,75.3356770656098,75.3356770656098,75.3356770656098,75.3356770656098,75.3356770656098
M2_radial_common_minus5mm_inward,static_t4_mean_median_mm,1,72.69501161430327,72.69501161430327,72.69501161430327,72.69501161430327,72.69501161430327
M2_radial_common_U0_5mm_outward,rigid_anchor_median_mm,1000,91.61124743095155,90.56909221982012,92.62955478122082,90.42272197965043,92.76754290342225
M2_radial_common_U0_5mm_outward,rigid_anchor_rmse_mm,1000,104.0109968619119,102.72770030786316,105.24922413207797,102.54603681536837,105.41591869502834
M2_radial_common_U0_5mm_outward,sim3_scale_autopos_to_vicon,1000,0.9594041037375899,0.95840346342413,0.9604664855711065,0.9582704510153736,0.9606191288555811
M2_radial_common_U0_5mm_outward,mean_delta_mm,1000,117.4014596944165,114.47740295394797,120.15525415826023,114.05724440451192,120.52128463742325
