pair,vicon_distance_mm,autopos_distance_mm,excess_mm,abs_excess_mm
A-B,2665.0643575793506,2862.346927269748,197.2825696903974,197.2825696903974
A-C,3414.1085019320158,3644.650916834255,230.54241490223922,230.54241490223922
A-D,2165.8598471827554,2340.7177833540227,174.85793617126728,174.85793617126728
A-E,1403.6365517390243,1497.6301651820377,93.99361344301337,93.99361344301337
A-F,3074.024420727174,3286.8721926649514,212.84777193777745,212.84777193777745
A-G,3734.3841559079856,4017.1480015328484,282.7638456248628,282.7638456248628
A-H,2517.200327023951,2680.6710386428085,163.47071161885742,163.47071161885742
B-C,2179.133082966119,2168.284697259888,-10.848385706231056,10.848385706231056
B-D,3440.4790686576366,3554.8107950568333,114.33172639919667,114.33172639919667
B-E,2955.9630981271275,3050.5248206491406,94.56172252201304,94.56172252201304
B-F,1392.3829235074895,1534.0004929070853,141.61756939959582,141.61756939959582
B-G,2658.9595708272213,2793.9197209049926,134.96015007777123,134.96015007777123
B-H,3745.511858044666,3870.078264264657,124.56640621999077,124.56640621999077
C-D,2636.9464765477865,2754.6597906073002,117.71331405951378,117.71331405951378
C-E,3718.707957323416,3826.1646722148903,107.45671489147435,107.45671489147435
C-F,2566.2905209564447,2604.5213427640815,38.23082180763686,38.23082180763686
C-G,1406.489122081887,1503.0873972043605,96.59827512247352,96.59827512247352
C-H,3091.2461466183227,3257.6292699075107,166.383123289188,166.383123289188
D-E,2660.813628381067,2800.9888257395587,140.1751973584919,140.1751973584919
D-F,3737.3010362894142,3853.12881159593,115.82777530651583,115.82777530651583
D-G,2964.7456840920613,3073.3050024589947,108.55931836693344,108.55931836693344
D-H,1395.6256482556894,1538.7616107357464,143.13596248005706,143.13596248005706
E-F,2682.8449302921804,2713.121896341967,30.27696604978655,30.27696604978655
E-G,3495.0033830335615,3621.6732946072752,126.66991157371376,126.66991157371376
E-H,2198.9630417696453,2246.594363054237,47.63132128459165,47.63132128459165
F-G,2236.1352352837457,2302.9558080046795,66.8205727209338,66.8205727209338
F-H,3509.9137150979086,3540.7745084261514,30.860793328242835,30.860793328242835
G-H,2739.7245543524423,2823.2774029349307,83.55284858248842,83.55284858248842
