pair,i,j,anchor_i,anchor_j,autopos_distance_mm,vicon_distance_mm,delta_mm,ratio_autopos_over_vicon,abs_scale_error_pct,involves_C,involves_D,involves_C_or_D,rank_abs_scale_error
D-H,3,7,D,H,1538.7616107357455,1395.6256482556894,143.13596248005615,1.1025604270449982,10.256042704499823,False,True,True,1
B-F,1,5,B,F,1534.000492907085,1392.3829235074895,141.61756939959537,1.1017087806871784,10.170878068717837,False,False,False,2
A-D,0,3,A,D,2340.7177833540227,2165.8598471827554,174.85793617126728,1.0807337263298518,8.073372632985176,False,True,True,3
A-G,0,6,A,G,4017.1480015328466,3734.3841559079856,282.763845624861,1.0757190031393835,7.571900313938351,False,False,False,4
A-B,0,1,A,B,2862.3469272697457,2665.0643575793506,197.28256969039512,1.0740254429989018,7.402544299890179,False,False,False,5
A-F,0,5,A,F,3286.872192664949,3074.024420727174,212.84777193777518,1.0692407550514595,6.924075505145955,False,False,False,6
C-G,2,6,C,G,1503.08739720436,1406.489122081887,96.59827512247307,1.068680428171025,6.868042817102493,True,False,True,7
A-C,0,2,A,C,3644.650916834253,3414.1085019320158,230.5424149022374,1.0675263878613628,6.752638786136278,True,False,True,8
