anchor,unconstrained_endpoint_delta_mm,zero_mean_gauge_intercept_pair_mm,zero_mean_gauge_delta_mm,A_gauge_intercept_pair_mm,A_gauge_relative_delta_mm,current_v4io_solver_delay_mm,current_v4io_delay_at_plus60_bound
A,145.6064541713352,120.53003459009854,85.34143687628593,291.2129083426705,0.0,0.0,False
B,52.391936707055194,120.53003459009854,-7.873080587994022,291.2129083426705,-93.21451746427994,37.127097197321255,False
C,43.99269000098205,120.53003459009854,-16.27232729406722,291.2129083426705,-101.61376417035319,59.99999999999338,True
D,72.08018196359585,120.53003459009854,11.815164668546632,291.2129083426705,-73.52627220773931,59.999999999999986,True
E,26.440884793780526,120.53003459009854,-33.824132501268735,291.2129083426705,-119.16556937755468,31.143226774707873,False
F,25.727022031680924,120.53003459009854,-34.53799526336829,291.2129083426705,-119.87943213965421,27.042519801587616,False
G,69.63413061812885,120.53003459009854,9.36911332307961,291.2129083426705,-75.97232355320634,27.558723285689375,False
H,46.24683807383531,120.53003459009854,-14.01817922121394,291.2129083426705,-99.35961609749987,32.41907674793188,False
