anchor,d_anchor_mm,within_1mm_of_60_bound
A,0.0,False
B,37.127097197321255,False
C,59.99999999999338,True
D,59.999999999999986,True
E,31.143226774707873,False
F,27.042519801587616,False
G,27.558723285689375,False
H,32.41907674793188,False
