host_elapsed_s,host_epoch_s,ver,listener_id,near_anchor_id,accepted_polls,poll_seq,tag_id,poll_mask,rx_ts_lo32,carrier_integrator,fp_index,fp1,fp2,fp3,cir_pwr,rxpacc,acc_len
59.691548,1784055097.973884,1,255,255,141570,29,2,0xff,1467975700,-2081,47640,6757,7072,6564,1828,119,4064
60.358255,1784055098.640592,1,255,255,141580,19,4,0xff,1113449041,-7071,47717,6769,6742,5759,1719,119,4064
61.091808,1784055099.374144,1,255,255,141590,40,2,0xff,746272721,-1797,48085,6117,7180,6811,1892,118,4064
61.758057,1784055100.040393,1,255,255,141600,31,4,0xff,358711072,-7018,47916,7023,6969,5084,1794,120,4064
62.457972,1784055100.740308,1,255,255,141610,37,4,0xff,2139539255,-6951,47947,7303,7340,6967,1715,119,4064
63.191339,1784055101.473675,1,255,255,141620,59,2,0xff,1757651774,-1639,47930,6727,6942,3887,1867,118,4064
63.957544,1784055102.239880,1,255,255,141630,46,4,0xff,3472396944,-6747,47772,6960,6961,6225,1998,122,4064
64.758241,1784055103.040577,1,255,255,141640,53,4,0xff,3090630532,-6740,48024,7319,7335,6830,2091,120,4064
65.491567,1784055103.773903,1,255,255,141650,76,2,0xff,2707068908,-1457,47592,6840,7280,5629,2004,124,4064
66.223340,1784055104.505676,1,255,255,141660,212,3,0xff,2217286430,-4873,47906,7152,7231,5937,2025,122,4064
66.857728,1784055105.140065,1,255,255,141670,70,4,0xff,4099534203,-6660,48015,7421,7436,7063,2026,122,4064
67.557478,1784055105.839814,1,255,255,141680,75,4,0xff,1563773402,-6729,48094,7225,7225,6495,2069,118,4064
68.190660,1784055106.472997,1,255,255,141690,100,2,0xff,3367040040,-1302,47644,6769,6648,6480,1979,119,4064
68.923371,1784055107.205707,1,255,255,141700,233,3,0xff,2940877354,-4718,47662,7279,7190,4920,1903,120,4064
69.623432,1784055107.905768,1,255,255,141710,238,3,0xff,430505315,-4689,47975,7311,7259,5556,2001,120,4064
70.291340,1784055108.573676,1,255,255,141720,115,2,0xff,155224747,-1256,47775,6896,6909,6553,1916,120,4064
71.023216,1784055109.305552,1,255,255,141730,250,3,0xff,3968327064,-4764,48028,6933,7273,6422,1958,122,4064
71.657038,1784055109.939375,1,255,255,141740,109,4,0xff,1515766217,-6459,48093,7186,7142,6237,1731,117,4064
72.356957,1784055110.639294,1,255,255,141750,116,4,0xff,3292486401,-6472,47877,7411,7364,7292,2032,121,4064
73.122711,1784055111.405048,1,255,255,141760,12,3,0xff,687259351,-4709,47835,6929,7234,6561,1847,119,4064
132.025242,1784055170.307578,1,255,255,141770,145,2,0xff,256418858,-1929,47646,7117,7621,6922,2036,121,4064
132.725262,1784055171.007598,1,255,255,141780,150,2,0xff,2031238514,-1754,47974,6897,7188,5690,1867,117,4064
133.442603,1784055171.724940,1,255,255,141790,31,3,0xff,624931631,-5079,47923,6619,6733,4282,1671,117,4064
134.225402,1784055172.507739,1,255,255,141800,161,2,0xff,3378857073,-1635,47725,6793,7070,4905,1742,119,4064
134.868346,1784055173.150682,1,255,255,141810,150,4,0xff,1532907922,-6704,48038,7266,7261,6081,1923,122,4064
135.542418,1784055173.824754,1,255,255,141820,49,3,0xff,1659233625,-4875,47965,6997,7204,6342,1997,118,4064
136.367909,1784055174.650245,1,255,255,141830,160,4,0xff,2858173134,-6650,47834,7197,7190,6605,2040,121,4064
137.125272,1784055175.407609,1,255,255,141840,182,2,0xff,4006763951,-1657,48043,7164,7368,5352,1818,123,4064
137.867895,1784055176.150232,1,255,255,141850,172,4,0xff,4211726109,-6698,47913,7454,7440,5851,1990,121,4064
138.541482,1784055176.823818,1,255,255,141860,76,3,0xff,17787534,-4769,47762,7258,7013,6557,1719,117,4064
139.168272,1784055177.450608,1,255,255,141870,184,4,0xff,1404726748,-6536,48096,7348,7367,6593,2132,120,4064
139.867848,1784055178.150184,1,255,255,141880,189,4,0xff,3151293825,-6513,48021,6946,6883,6483,1848,118,4064
140.625216,1784055178.907553,1,255,255,141890,211,2,0xff,11591411,-1373,47863,6983,6674,3985,1718,119,4064
141.441560,1784055179.723896,1,255,255,141900,100,3,0xff,635649323,-4658,47919,7054,7029,4706,1814,117,4064
142.067659,1784055180.349996,1,255,255,141910,206,4,0xff,1986881808,-6352,47900,7530,7548,6921,2263,123,4064
142.741687,1784055181.024024,1,255,255,141920,110,3,0xff,2105079978,-4630,47790,7087,7080,4881,1912,122,4064
143.524809,1784055181.807145,1,255,255,141930,234,2,0xff,602916054,-1171,47834,7395,7745,7264,2161,122,4064
144.267548,1784055182.549884,1,255,255,141940,223,4,0xff,817421915,-6382,47719,6957,7001,5778,1782,119,4064
145.041251,1784055183.323588,1,255,255,141950,131,3,0xff,3008187843,-4534,48071,7654,7361,6626,1876,124,4064
145.723977,1784055184.006314,1,255,255,141960,251,2,0xff,3686343651,-1258,48095,7152,7440,6599,1813,121,4064
202.666509,1784055240.948845,1,255,255,141970,241,4,0xff,3186743183,-7029,48027,6927,7000,6416,1919,119,4064
203.342059,1784055241.624395,1,255,255,141980,148,3,0xff,3361259461,-5125,48089,7381,7325,6290,1868,123,4064
204.041800,1784055242.324136,1,255,255,141990,155,3,0xff,868681175,-5092,48091,6900,7119,6395,1802,119,4064
204.866899,1784055243.149235,1,255,255,142000,0,4,0xff,2055908922,-6807,47686,7324,7272,7130,2031,121,4064
205.566434,1784055243.848770,1,255,255,142010,6,4,0xff,3803878869,-6660,48097,7467,7477,6581,2233,123,4064
206.194737,1784055244.477073,1,255,255,142020,29,2,0xff,1001716453,-1636,47841,7271,7463,6782,2039,122,4064
206.994846,1784055245.277182,1,255,255,142030,34,2,0xff,584838668,-1483,47632,6661,7277,6920,1963,119,4064
207.666873,1784055245.949209,1,255,255,142040,21,4,0xff,578200286,-6589,47850,7334,7318,5502,2020,123,4064
208.395261,1784055246.677598,1,255,255,142050,45,2,0xff,4170979733,-1490,48017,6664,7103,7324,1910,122,4064
209.066575,1784055247.348911,1,255,255,142060,32,4,0xff,4115773875,-6544,48071,7228,7306,7040,2087,124,4064
209.766098,1784055248.048434,1,255,255,142070,36,4,0xff,1565658011,-6461,48031,7355,7339,6595,2111,118,4064
210.441078,1784055248.723414,1,255,255,142080,208,3,0xff,1742478497,-4652,47781,7257,7345,5830,2091,123,4064
211.166501,1784055249.448837,1,255,255,142090,47,4,0xff,851112257,-6506,47949,7258,7231,6948,1694,117,4064
211.966274,1784055250.248610,1,255,255,142100,52,4,0xff,418443534,-6495,47898,7199,7204,6487,1921,117,4064
212.740478,1784055251.022814,1,255,255,142110,226,3,0xff,2636738206,-4571,47778,7146,7324,6159,2116,122,4064
213.394924,1784055251.677260,1,255,255,142120,84,2,0xff,1511274515,-1117,47639,6900,7546,6899,1941,120,4064
214.065814,1784055252.348151,1,255,255,142130,69,4,0xff,1430436250,-6320,48038,7015,6931,5807,1815,121,4064
214.794253,1784055253.076590,1,255,255,142140,96,2,0xff,728192037,-1165,47649,6610,7004,6279,2097,119,4064
215.540064,1784055253.822400,1,255,255,142150,251,3,0xff,1138266206,-4483,47714,7251,7160,5832,1952,118,4064
216.240526,1784055254.522862,1,255,255,142160,1,3,0xff,2943656665,-4477,47837,7028,6740,5944,1987,117,4064
217.040251,1784055255.322587,1,255,255,142170,7,3,0xff,2506436568,-4435,48092,7007,7329,6615,1948,120,4064
275.761631,1784055314.043967,1,255,255,142180,11,3,0xff,4020118338,-5189,47966,7451,7493,6040,1749,121,4064
276.444465,1784055314.726801,1,255,255,142190,122,2,0xff,407087728,-1643,47724,7163,7232,5135,1849,120,4064
277.145088,1784055315.427424,1,255,255,142200,127,2,0xff,2215752425,-1729,47845,6919,7045,5668,1872,123,4064
277.944757,1784055316.227093,1,255,255,142210,134,2,0xff,1778952145,-1595,48085,5813,7013,6591,1609,117,4064
278.661466,1784055316.943802,1,255,255,142220,34,3,0xff,333187680,-4829,47716,6961,7032,5638,1886,117,4064
279.461373,1784055317.743709,1,255,255,142230,40,3,0xff,4190061906,-4834,47950,7065,7448,7244,1917,124,4064
280.087867,1784055318.370203,1,255,255,142240,129,4,0xff,1274904728,-6652,47780,7286,7242,6046,1959,122,4064
280.761462,1784055319.043798,1,255,255,142250,49,3,0xff,1367222927,-4700,47755,7228,7546,7266,1935,123,4064
281.461824,1784055319.744161,1,255,255,142260,55,3,0xff,3175018293,-4661,47937,6957,7282,6812,1778,121,4064
282.161686,1784055320.444022,1,255,255,142270,62,3,0xff,637331098,-4709,47774,7263,7508,6611,2236,124,4064
282.888377,1784055321.170713,1,255,255,142280,153,4,0xff,4115211349,-6496,47713,7144,7118,6269,2037,122,4064
283.588061,1784055321.870397,1,255,255,142290,158,4,0xff,1585326087,-6380,47635,7690,7695,7376,2416,124,4064
284.261562,1784055322.543898,1,255,255,142300,80,3,0xff,1677427624,-4570,48044,7210,6959,4948,1953,123,4064
284.944303,1784055323.226639,1,255,255,142310,190,2,0xff,2355168724,-1127,48088,7121,7364,6921,2218,122,4064
285.644445,1784055323.926781,1,255,255,142320,196,2,0xff,4141909700,-1030,47816,4562,7673,7526,1851,122,4064
286.287462,1784055324.569798,1,255,255,142330,181,4,0xff,2276036687,-6214,47707,7127,7110,6546,2099,123,4064
286.961240,1784055325.243576,1,255,255,142340,101,3,0xff,2330952678,-4459,47594,7341,7044,5163,1962,120,4064
287.644557,1784055325.926894,1,255,255,142350,212,2,0xff,3090005688,-980,47788,6961,7240,5075,2077,124,4064
288.287311,1784055326.569647,1,255,255,142360,198,4,0xff,1211673439,-6213,47979,7196,7118,5135,1753,118,4064
288.987582,1784055327.269919,1,255,255,142370,205,4,0xff,3010408166,-6166,47858,7304,7130,4554,1740,118,4064
348.037496,1784055386.319832,1,255,255,142380,227,2,0xff,761630193,-1643,47613,7223,6870,3766,1886,121,4064
348.794405,1784055387.076741,1,255,255,142390,217,4,0xff,1881999311,-6909,48091,7279,7312,6723,2175,125,4064
349.494194,1784055387.776531,1,255,255,142400,223,4,0xff,3645372003,-6837,47727,7310,7334,5013,1969,123,4064
350.194561,1784055388.476897,1,255,255,142410,229,4,0xff,1151104071,-6782,47707,7106,7146,6327,1919,120,4064
350.837541,1784055389.119878,1,255,255,142420,252,2,0xff,3580199390,-1441,48090,7024,6996,6489,1880,120,4064
351.460164,1784055389.742500,1,255,255,142430,151,3,0xff,420582425,-4906,47645,7175,7116,6223,1787,118,4064
352.294041,1784055390.576377,1,255,255,142440,246,4,0xff,2160399523,-6583,47791,7597,7571,5201,2099,122,4064
353.037014,1784055391.319350,1,255,255,142450,13,2,0xff,2387367928,-1377,47596,7044,6940,4904,1814,123,4064
353.737680,1784055392.020016,1,255,255,142460,19,2,0xff,4206342228,-1520,47704,6907,7352,6962,1842,121,4064
354.394390,1784055392.676726,1,255,255,142470,8,4,0xff,3220478410,-6347,48094,7259,7225,6219,1817,120,4064
355.137116,1784055393.419452,1,255,255,142480,30,2,0xff,3433507757,-1133,48041,7305,7584,5569,1899,123,4064
355.836998,1784055394.119334,1,255,255,142490,36,2,0xff,903061861,-1373,47969,7197,7170,6293,2022,122,4064
356.594194,1784055394.876530,1,255,255,142500,27,4,0xff,2046439169,-6367,47885,6887,6967,6550,1575,118,4064
357.393807,1784055395.676143,1,255,255,142510,32,4,0xff,1601038626,-6348,47918,6877,6776,4631,1604,118,4064
358.037090,1784055396.319426,1,255,255,142520,53,2,0xff,4052148438,-1081,47834,7238,7464,6846,2122,120,4064
358.693722,1784055396.976058,1,255,255,142530,43,4,0xff,3056439622,-6300,47954,7118,7031,6706,1646,118,4064
359.460066,1784055397.742402,1,255,255,142540,215,3,0xff,488095834,-4486,47710,7408,7535,6508,2145,122,4064
360.194016,1784055398.476352,1,255,255,142550,54,4,0xff,136023510,-6237,48098,7420,7378,6351,2111,123,4064
360.893673,1784055399.176009,1,255,255,142560,58,4,0xff,1897044300,-6215,47968,7388,7339,6291,1904,119,4064
361.560066,1784055399.842402,1,255,255,142570,233,3,0xff,1528029521,-4406,47965,7226,7239,6268,2069,123,4064
