host_elapsed_s,host_epoch_s,ver,listener_id,near_anchor_id,good_frames,accepted_polls,ignored_nonpoll,ignored_poll_mask,bad_header,too_long,rx_errors,cir_captures,last_status,last_src,last_dst,last_code,ring_drops,self_recover,rx_enable_failures,fps
191.748439,1784055230.030775,1,255,255,332283,141967,190315,0,1,0,1899,14196,0x00800002,0xa106,0xb104,0xe1,0,764,0,0
196.748154,1784055235.030491,1,255,255,332283,141967,190315,0,1,0,1900,14196,0x00800002,0xa106,0xb104,0xe1,0,764,0,0
201.747994,1784055240.030330,1,255,255,332283,141967,190315,0,1,0,1900,14196,0x00800002,0xa106,0xb104,0xe1,0,764,0,0
206.752919,1784055245.035255,1,255,255,332444,142023,190420,0,1,0,1900,14202,0x00806f02,0xa101,0xb103,0xe1,0,764,0,32
211.757018,1784055250.039355,1,255,255,332652,142095,190556,0,1,0,1900,14209,0x00806f02,0xa106,0xb103,0xe1,0,764,0,41
216.751092,1784055255.033428,1,255,255,332841,142161,190679,0,1,0,1900,14216,0x00800002,0xa106,0xb102,0xe1,0,764,0,37
221.750595,1784055260.032931,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,764,0,5
226.750722,1784055265.033058,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,764,0,0
231.751967,1784055270.034304,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,764,0,0
236.749576,1784055275.031912,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,765,0,0
241.749167,1784055280.031503,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,765,0,0
246.748838,1784055285.031175,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,765,0,0
251.748451,1784055290.030787,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,766,0,0
256.748194,1784055295.030530,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,766,0,0
261.747759,1784055300.030096,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,766,0,0
266.747492,1784055305.029829,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,767,0,0
271.747128,1784055310.029464,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,767,0,0
276.760954,1784055315.043290,1,255,255,332924,142190,190733,0,1,0,1900,14219,0x00806f02,0xa106,0xb102,0xe1,0,767,0,11
281.778120,1784055320.060456,1,255,255,333126,142260,190865,0,1,0,1900,14226,0x00806f02,0xa106,0xb103,0xe1,0,767,0,40
286.772194,1784055325.054530,1,255,255,333344,142334,191009,0,1,0,1901,14233,0x00800002,0xa106,0xb102,0xe1,0,767,0,43
291.771946,1784055330.054282,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,767,0,26
296.771615,1784055335.053951,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,767,0,0
301.771273,1784055340.053609,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,767,0,0
306.770834,1784055345.053170,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,768,0,0
311.770501,1784055350.052837,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,768,0,0
316.770177,1784055355.052513,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,768,0,0
321.769836,1784055360.052172,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,769,0,0
326.769478,1784055365.051814,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,769,0,0
331.769163,1784055370.051499,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,769,0,0
336.769109,1784055375.051445,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,770,0,0
341.768513,1784055380.050849,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,770,0,0
346.768246,1784055385.050582,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,770,0,0
351.776224,1784055390.058560,1,255,255,333621,142430,191190,0,1,0,1901,14243,0x00806f02,0xa105,0xb103,0xe1,0,770,0,29
356.910030,1784055395.192366,1,255,255,333827,142500,191326,0,1,0,1902,14250,0x00806f02,0xa106,0xb104,0xe1,0,770,0,41
361.909704,1784055400.192040,1,255,255,334029,142571,191457,0,1,0,1902,14257,0x00806f02,0xa106,0xb104,0xe1,0,770,0,40
367.204224,1784055405.486560,1,255,255,334230,142640,191589,0,1,0,1903,14264,0x00800002,0xb104,0xffff,0xe0,0,770,0,40
372.209538,1784055410.491874,1,255,255,334435,142711,191723,0,1,0,1903,14271,0x00806f02,0xa106,0xb104,0xe1,0,770,0,41
377.203250,1784055415.485587,1,255,255,334633,142781,191851,0,1,0,1903,14278,0x00800002,0xa106,0xb103,0xe1,0,770,0,39
382.251678,1784055420.534014,1,255,255,334833,142850,191982,0,1,0,1903,14285,0x00806f02,0xa106,0xb102,0xe1,0,770,0,40
387.245535,1784055425.527871,1,255,255,335005,142909,192095,0,1,0,1903,14290,0x00800002,0xa106,0xb103,0xe1,0,770,0,34
392.245202,1784055430.527539,1,255,255,335005,142909,192095,0,1,0,1903,14290,0x00800002,0xa106,0xb103,0xe1,0,770,0,0
397.244853,1784055435.527190,1,255,255,335005,142909,192095,0,1,0,1903,14290,0x00800002,0xa106,0xb103,0xe1,0,770,0,0
402.244440,1784055440.526776,1,255,255,335005,142909,192095,0,1,0,1903,14290,0x00800002,0xa106,0xb103,0xe1,0,771,0,0
407.244061,1784055445.526397,1,255,255,335005,142909,192095,0,1,0,1903,14290,0x00800002,0xa106,0xb103,0xe1,0,771,0,0
412.243780,1784055450.526116,1,255,255,335005,142909,192095,0,1,0,1903,14290,0x00800002,0xa106,0xb103,0xe1,0,771,0,0
417.243652,1784055455.525988,1,255,255,335005,142909,192095,0,1,0,1903,14290,0x00800002,0xa106,0xb103,0xe1,0,772,0,0
422.243116,1784055460.525452,1,255,255,335005,142909,192095,0,1,0,1903,14290,0x00800002,0xa106,0xb103,0xe1,0,772,0,0
427.242718,1784055465.525054,1,255,255,335005,142909,192095,0,1,0,1903,14290,0x00800002,0xa106,0xb103,0xe1,0,772,0,0
432.242425,1784055470.524761,1,255,255,335005,142909,192095,0,1,0,1903,14290,0x00800002,0xa106,0xb103,0xe1,0,773,0,0
437.242179,1784055475.524515,1,255,255,335005,142909,192095,0,1,0,1904,14290,0x00800002,0xa106,0xb103,0xe1,0,773,0,0
442.241966,1784055480.524302,1,255,255,335005,142909,192095,0,1,0,1904,14290,0x00800002,0xa106,0xb103,0xe1,0,773,0,0
447.242268,1784055485.524604,1,255,255,335005,142909,192095,0,1,0,1904,14290,0x00800002,0xa106,0xb103,0xe1,0,774,0,0
452.241174,1784055490.523510,1,255,255,335005,142909,192095,0,1,0,1904,14290,0x00800002,0xa106,0xb103,0xe1,0,774,0,0
457.240902,1784055495.523238,1,255,255,335005,142909,192095,0,1,0,1904,14290,0x00800002,0xa106,0xb103,0xe1,0,774,0,0
462.240587,1784055500.522923,1,255,255,335005,142909,192095,0,1,0,1904,14290,0x00800002,0xa106,0xb103,0xe1,0,775,0,0
467.240699,1784055505.523035,1,255,255,335005,142909,192095,0,1,0,1904,14290,0x00800002,0xa106,0xb103,0xe1,0,775,0,0
472.263913,1784055510.546249,1,255,255,335151,142960,192190,0,1,0,1904,14296,0x00806f02,0xa105,0xb102,0xe1,0,775,0,29
477.320615,1784055515.602951,1,255,255,335352,143030,192321,0,1,0,1904,14303,0x00806f02,0xa106,0xb104,0xe1,0,775,0,40
482.320897,1784055520.603234,1,255,255,335560,143102,192457,0,1,0,1904,14310,0x00806f02,0xa106,0xb104,0xe1,0,775,0,41
487.315973,1784055525.598309,1,255,255,335582,143110,192471,0,1,0,1904,14311,0x00800002,0xb104,0xffff,0xe0,0,775,0,4
492.316275,1784055530.598611,1,255,255,335582,143110,192471,0,1,0,1904,14311,0x00800002,0xb104,0xffff,0xe0,0,775,0,0
497.314129,1784055535.596465,1,255,255,335582,143110,192471,0,1,0,1904,14311,0x00800002,0xb104,0xffff,0xe0,0,775,0,0
502.313711,1784055540.596047,1,255,255,335582,143110,192471,0,1,0,1904,14311,0x00800002,0xb104,0xffff,0xe0,0,776,0,0
507.313396,1784055545.595732,1,255,255,335582,143110,192471,0,1,0,1904,14311,0x00800002,0xb104,0xffff,0xe0,0,776,0,0
512.313165,1784055550.595501,1,255,255,335582,143110,192471,0,1,0,1904,14311,0x00800002,0xb104,0xffff,0xe0,0,776,0,0
517.312834,1784055555.595170,1,255,255,335582,143110,192471,0,1,0,1905,14311,0x00800002,0xb104,0xffff,0xe0,0,777,0,0
522.312404,1784055560.594740,1,255,255,335582,143110,192471,0,1,0,1905,14311,0x00800002,0xb104,0xffff,0xe0,0,777,0,0
527.312078,1784055565.594414,1,255,255,335582,143110,192471,0,1,0,1905,14311,0x00800002,0xb104,0xffff,0xe0,0,777,0,0
532.311667,1784055570.594004,1,255,255,335582,143110,192471,0,1,0,1905,14311,0x00800002,0xb104,0xffff,0xe0,0,778,0,0
537.311360,1784055575.593696,1,255,255,335582,143110,192471,0,1,0,1905,14311,0x00800002,0xb104,0xffff,0xe0,0,778,0,0
542.311094,1784055580.593431,1,255,255,335626,143124,192501,0,1,0,1907,14312,0x00800002,0xa106,0xb103,0xe1,0,778,0,8
547.482407,1784055585.764743,1,255,255,335816,143190,192625,0,1,0,1907,14319,0x00806f02,0xa106,0xb136,0xe1,0,778,0,38
552.476539,1784055590.758876,1,255,255,335889,143215,192673,0,1,0,1907,14321,0x00800002,0xa106,0xb136,0xe1,0,778,0,14
557.476344,1784055595.758680,1,255,255,335941,143233,192707,0,1,0,1907,14323,0x00800002,0xa106,0xb104,0xe1,0,778,0,10
562.475997,1784055600.758333,1,255,255,335941,143233,192707,0,1,0,1907,14323,0x00800002,0xa106,0xb104,0xe1,0,778,0,0
567.475532,1784055605.757868,1,255,255,335941,143233,192707,0,1,0,1907,14323,0x00800002,0xa106,0xb104,0xe1,0,778,0,0
572.475058,1784055610.757394,1,255,255,335941,143233,192707,0,1,0,1907,14323,0x00800002,0xa106,0xb104,0xe1,0,779,0,0
577.475052,1784055615.757389,1,255,255,335941,143233,192707,0,1,0,1907,14323,0x00800002,0xa106,0xb104,0xe1,0,779,0,0
582.475595,1784055620.757932,1,255,255,335941,143233,192707,0,1,0,1907,14323,0x00800002,0xa106,0xb104,0xe1,0,779,0,0
587.474142,1784055625.756478,1,255,255,335941,143233,192707,0,1,0,1907,14323,0x00800002,0xa106,0xb104,0xe1,0,780,0,0
592.473725,1784055630.756061,1,255,255,335941,143233,192707,0,1,0,1907,14323,0x00800002,0xa106,0xb104,0xe1,0,780,0,0
597.473360,1784055635.755696,1,255,255,335941,143233,192707,0,1,0,1907,14323,0x00800002,0xa106,0xb104,0xe1,0,780,0,0
