chunk_id,stage,rows,row_count,max_tracks,max_frames,estimated_cost,status,attempts,gpu_device,message,started_utc,child_run_id,wall_time_s,log_path,finished_utc
partial_raw_0014,partial_raw,"['R2:L8:I0:T6', 'R2:L8:I0:T8', 'R2:L8:I1:T6', 'R2:L8:I1:T8', 'R2:L8:I3:T6', 'R2:L8:I3:T8', 'R2:L8:I4:T6', 'R2:L8:I4:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.792579+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0014_cuda0,5.146407205000287,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0014_cuda0.log,2026-06-07T00:12:08.940191+00:00
partial_raw_0015,partial_raw,"['R2:L8:I7:T6', 'R2:L8:I7:T8', 'R2:L8:I8:T6', 'R2:L8:I8:T8', 'R2:L8:I1+I3+I7:T6', 'R2:L8:I1+I3+I7:T8', 'R2:L8:I1+I2+I3+I8:T6', 'R2:L8:I1+I2+I3+I8:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.793900+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0015_cuda0,6.599095802999727,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0015_cuda0.log,2026-06-07T00:12:10.394833+00:00
partial_raw_0016,partial_raw,"['R2:L10:I0:T6', 'R2:L10:I0:T8', 'R2:L10:I1:T6', 'R2:L10:I1:T8', 'R2:L10:I3:T6', 'R2:L10:I3:T8', 'R2:L10:I4:T6', 'R2:L10:I4:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.797050+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0016_cuda0,5.903749864999554,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0016_cuda0.log,2026-06-07T00:12:09.702963+00:00
partial_raw_0017,partial_raw,"['R2:L10:I7:T6', 'R2:L10:I7:T8', 'R2:L10:I8:T6', 'R2:L10:I8:T8', 'R2:L10:I1+I3+I7:T6', 'R2:L10:I1+I3+I7:T8', 'R2:L10:I1+I2+I3+I8:T6', 'R2:L10:I1+I2+I3+I8:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.799065+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0017_cuda0,5.5917261310005415,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0017_cuda0.log,2026-06-07T00:12:09.391941+00:00
partial_raw_0018,partial_raw,"['R2:L11:I0:T6', 'R2:L11:I0:T8', 'R2:L11:I1:T6', 'R2:L11:I1:T8', 'R2:L11:I3:T6', 'R2:L11:I3:T8', 'R2:L11:I4:T6', 'R2:L11:I4:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.800834+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0018_cuda0,5.7878649280009995,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0018_cuda0.log,2026-06-07T00:12:09.589747+00:00
partial_raw_0019,partial_raw,"['R2:L11:I7:T6', 'R2:L11:I7:T8', 'R2:L11:I8:T6', 'R2:L11:I8:T8', 'R2:L11:I1+I3+I7:T6', 'R2:L11:I1+I3+I7:T8', 'R2:L11:I1+I2+I3+I8:T6', 'R2:L11:I1+I2+I3+I8:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.801755+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0019_cuda0,5.8368001130002085,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0019_cuda0.log,2026-06-07T00:12:09.639809+00:00
partial_raw_0020,partial_raw,"['R2:L12:I0:T6', 'R2:L12:I0:T8', 'R2:L12:I1:T6', 'R2:L12:I1:T8', 'R2:L12:I3:T6', 'R2:L12:I3:T8', 'R2:L12:I4:T6', 'R2:L12:I4:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.802876+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0020_cuda0,5.231099833999906,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0020_cuda0.log,2026-06-07T00:12:09.037719+00:00
partial_raw_0021,partial_raw,"['R2:L12:I7:T6', 'R2:L12:I7:T8', 'R2:L12:I8:T6', 'R2:L12:I8:T8', 'R2:L12:I1+I3+I7:T6', 'R2:L12:I1+I3+I7:T8', 'R2:L12:I1+I2+I3+I8:T6', 'R2:L12:I1+I2+I3+I8:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:03.806562+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0021_cuda0,5.7456217059989285,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0021_cuda0.log,2026-06-07T00:12:09.553170+00:00
partial_raw_0022,partial_raw,"['R2:L13:I0:T6', 'R2:L13:I0:T8', 'R2:L13:I1:T6', 'R2:L13:I1:T8', 'R2:L13:I3:T6', 'R2:L13:I3:T8', 'R2:L13:I4:T6', 'R2:L13:I4:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:08.356900+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0022_cuda0,5.0335485320010775,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0022_cuda0.log,2026-06-07T00:12:13.391687+00:00
partial_raw_0023,partial_raw,"['R2:L13:I7:T6', 'R2:L13:I7:T8', 'R2:L13:I8:T6', 'R2:L13:I8:T8', 'R2:L13:I1+I3+I7:T6', 'R2:L13:I1+I3+I7:T8', 'R2:L13:I1+I2+I3+I8:T6', 'R2:L13:I1+I2+I3+I8:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:08.405193+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0023_cuda0,4.635228395000013,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0023_cuda0.log,2026-06-07T00:12:13.044671+00:00
