node,window,elapsed_start_s,elapsed_end_s,window_duration_s,valid_point_count,fit_retained_point_count,apparent_radius_m,center_V4_x_m,center_V4_y_m,center_V4_z_m,center_drift_from_first_valid_window_m,plane_normal_V4_x,plane_normal_V4_y,plane_normal_V4_z,out_of_plane_rms_m,out_of_plane_p95_m,radial_residual_rms_m,radial_residual_p95_m,T4_apparent_RPM,coordinate_contract,fit_interpretation
BSF3C79,FULL,0.0,26222.1428196,26222.1428196,218283,216100,0.58521508832,2.53523578834,1.62414323752,-1.26676515699,,-0.107226332523,-0.11354720289,0.987729490463,0.120618533259,0.252720897593,0.0701186302648,0.14425541891,8.96827827311,RELATIVE_GEOMETRY_ONLY,SELF_CONSISTENCY_ONLY
BSF3C79,HOUR_0,0.0,3600.0,3600.0,30000,29700,0.58385835018,2.53433261007,1.62760137521,-1.2688571766,0.0,-0.106411503447,-0.120964338697,0.986936786576,0.117864085077,0.245179334344,0.0719479296566,0.148543033086,8.95345408981,RELATIVE_GEOMETRY_ONLY,SELF_CONSISTENCY_ONLY
BSF3C79,HOUR_1,3600.0,7200.0,3600.0,30001,29701,0.584683845091,2.53585672897,1.62473023814,-1.26797061563,0.00336932586815,-0.106906121272,-0.118574548267,0.98717331697,0.118192324073,0.246035509619,0.0705214246352,0.14636412829,8.96853495667,RELATIVE_GEOMETRY_ONLY,SELF_CONSISTENCY_ONLY
BSF3C79,HOUR_2,7200.0,10800.0,3600.0,30000,29700,0.584528964832,2.53539165943,1.62550039892,-1.26686598023,0.00308229620092,-0.110379406757,-0.113956251107,0.987334978312,0.118695143807,0.246526956424,0.0693194131593,0.142687619356,8.96854546416,RELATIVE_GEOMETRY_ONLY,SELF_CONSISTENCY_ONLY
BSF3C79,HOUR_3,10800.0,14400.0,3600.0,30000,29700,0.584380285659,2.53452301099,1.62593148948,-1.26638529235,0.0029891441204,-0.112047659211,-0.110171382877,0.987576624096,0.117844589282,0.246220088798,0.0687637326646,0.141886105437,8.96854439924,RELATIVE_GEOMETRY_ONLY,SELF_CONSISTENCY_ONLY
BSF3C79,HOUR_4,14400.0,18000.0,3600.0,30001,29701,0.584113941251,2.53496273519,1.62574135766,-1.26492251648,0.00439753035011,-0.110516754052,-0.112639824632,0.98747066639,0.117808683849,0.24646225013,0.0687097702686,0.141674998995,8.96855823446,RELATIVE_GEOMETRY_ONLY,SELF_CONSISTENCY_ONLY
BSF3C79,HOUR_5,18000.0,21600.0,3600.0,30001,29701,0.584368745423,2.53424798165,1.62635303641,-1.26504310141,0.00401406044068,-0.112588146623,-0.10977091351,0.987559747958,0.118371929581,0.24992725465,0.0684809678835,0.140853762261,8.96856664805,RELATIVE_GEOMETRY_ONLY,SELF_CONSISTENCY_ONLY
BSF3C79,HOUR_6,21600.0,25200.0,3600.0,29800,29502,0.583648101449,2.53698959576,1.62167597445,-1.26415944157,0.00801490245893,-0.101855635438,-0.107270954405,0.988998671319,0.120120218643,0.258767947118,0.0683400684068,0.140513623944,8.96856689173,RELATIVE_GEOMETRY_ONLY,SELF_CONSISTENCY_ONLY
BSF3C79,HOUR_7,25200.0,26222.1428196,1022.1428196,8480,8395,0.609219905969,2.53718615961,1.5990868103,-1.27684248612,0.0297487533395,-0.0624430901771,-0.117858027155,0.991065258156,0.164144835212,0.327405171612,0.0804112220823,0.152081324557,8.96845741479,RELATIVE_GEOMETRY_ONLY,SELF_CONSISTENCY_ONLY
BSFC2CC,FULL,0.0,26222.1428196,26222.1428196,218522,216336,0.439056734383,2.52446767473,1.66370078276,-1.39726522131,,-0.0392521616049,0.11128708337,0.993012816073,0.124515809374,0.251380090255,0.0746419066273,0.147951939449,8.96827965782,RELATIVE_GEOMETRY_ONLY,SELF_CONSISTENCY_ONLY
BSFC2CC,HOUR_0,0.0,3600.0,3600.0,30001,29701,0.440780716391,2.52380965147,1.66572579601,-1.39726972604,0.0,-0.0294224336001,0.104165812084,0.994124642082,0.125272410473,0.250460140752,0.074542969661,0.148305402081,8.95329722432,RELATIVE_GEOMETRY_ONLY,SELF_CONSISTENCY_ONLY
