a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,C,A,3359,100,3359,1,0
A,D,A,5640,100,5640,1,0
A,E,A,1742,100,1742,1,0
A,F,A,4073,100,4073,1,0
A,G,A,3883,100,3883,1,0
A,H,A,5591,100,5591,1,0
A,B,A,4377,100,4377,1,0
A,C,A,3360,100,3360,1,0
A,D,A,5682,100,5682,1,0
A,E,A,1740,100,1740,1,0
A,F,A,4076,100,4076,1,0
A,G,A,3879,100,3879,1,0
A,H,A,5657,100,5657,1,0
A,B,A,4422,100,4422,1,0
A,C,A,3402,100,3402,1,0
A,D,A,5650,100,5650,1,0
A,E,A,1765,100,1765,1,0
A,F,A,4102,100,4102,1,0
A,G,A,3894,100,3894,1,0
A,H,A,5664,100,5664,1,0
A,B,A,4452,100,4452,1,0
A,C,A,3359,100,3359,1,0
A,D,A,5726,100,5726,1,0
A,E,A,1739,100,1739,1,0
A,F,A,4110,100,4110,1,0
A,G,A,3848,100,3848,1,0
A,H,A,5607,100,5607,1,0
A,B,A,4385,100,4385,1,0
A,C,A,3325,100,3325,1,0
A,D,A,5664,100,5664,1,0
A,E,A,1761,100,1761,1,0
A,F,A,4110,100,4110,1,0
A,G,A,3804,100,3804,1,0
A,H,A,5663,100,5663,1,0
A,B,A,4381,100,4381,1,0
A,C,A,3334,100,3334,1,0
A,D,A,5678,100,5678,1,0
A,E,A,1803,100,1803,1,0
A,F,A,4127,83,4127,1,0
A,G,A,3848,100,3848,1,0
A,H,A,5615,100,5615,1,0
A,B,A,4410,100,4410,1,0
A,C,A,3347,100,3347,1,0
A,D,A,5706,100,5706,1,0
A,E,A,1762,100,1762,1,0
A,F,A,4101,85,4101,1,0
A,G,A,3830,100,3830,1,0
A,H,A,5603,100,5603,1,0
A,B,A,4391,100,4391,1,0
A,C,A,3371,100,3371,1,0
A,D,A,5635,100,5635,1,0
A,E,A,1795,100,1795,1,0
A,F,A,4076,87,4076,1,0
A,G,A,3833,100,3833,1,0
A,H,A,5622,100,5622,1,0
A,B,A,4425,100,4425,1,0
A,C,A,3350,100,3350,1,0
A,D,A,5723,100,5723,1,0
A,E,A,1750,100,1750,1,0
A,F,A,4101,88,4101,1,0
A,G,A,3861,100,3861,1,0
A,H,A,5613,100,5613,1,0
A,B,A,4418,100,4418,1,0
A,C,A,3362,100,3362,1,0
A,D,A,5723,100,5723,1,0
A,E,A,1732,100,1732,1,0
A,F,A,4110,90,4110,1,0
A,G,A,3872,100,3872,1,0
A,H,A,5604,100,5604,1,0
A,B,A,4427,100,4427,1,0
A,C,A,3366,100,3366,1,0
A,D,A,5641,90,5641,1,0
