eval_set,pair,n_ab,n_ba,med_ab,med_ba,mad_ab,mad_ba,asymmetry,median_all,mad_all
solve,A-B,1000,1000,2997.0,3015.0,28.1694,26.686799999999998,18.0,3007.0,29.651999999999997
solve,A-C,1000,1000,5526.0,5546.0,19.273799999999998,20.7564,20.0,5536.0,22.238999999999997
solve,A-D,1000,1000,4661.5,4686.0,37.8063,41.5128,24.5,4675.0,40.0302
solve,A-E,1000,1000,1447.0,1481.0,25.2042,32.6172,34.0,1463.0,34.099799999999995
solve,A-F,1000,1000,3194.5,3196.0,42.2541,23.7216,1.5,3195.5,30.3933
solve,A-G,1000,1000,5751.0,5770.0,26.686799999999998,23.7216,19.0,5761.0,28.1694
solve,A-H,1000,1000,4852.0,4866.5,37.065,31.875899999999998,14.5,4860.0,35.5824
solve,B-C,1000,1000,4570.0,4571.0,29.651999999999997,29.651999999999997,1.0,4570.0,29.651999999999997
solve,B-D,1000,1000,5453.0,5422.0,41.5128,37.065,31.0,5438.0,41.5128
solve,B-E,1000,1000,3214.0,3215.0,28.1694,26.686799999999998,1.0,3214.0,28.1694
solve,B-F,1000,1000,1447.0,1435.0,22.238999999999997,16.3086,12.0,1440.0,19.273799999999998
solve,B-G,1000,1000,4988.0,5024.0,40.0302,42.9954,36.0,5006.0,45.9606
solve,B-H,1000,1000,5649.0,5669.0,19.273799999999998,19.273799999999998,20.0,5660.0,22.238999999999997
solve,C-D,1000,1000,3143.0,3109.0,42.9954,33.3585,34.0,3125.0,40.0302
solve,C-E,1000,1000,5671.0,5671.5,16.3086,17.049899999999997,0.5,5671.0,16.3086
solve,C-F,1000,1000,4812.0,4795.0,17.7912,16.3086,17.0,4803.0,17.7912
solve,C-G,1000,1000,1739.5,1727.0,21.4977,30.3933,12.5,1734.5,25.9455
solve,C-H,1000,1000,3461.0,3449.0,32.6172,29.651999999999997,12.0,3455.0,32.6172
solve,D-E,1000,1000,5079.0,5121.5,25.2042,32.6172,42.5,5096.0,37.065
solve,D-F,1000,1000,5586.0,5598.0,31.1346,28.1694,12.0,5593.0,29.651999999999997
solve,D-G,1000,1000,3268.0,3284.0,23.7216,19.273799999999998,16.0,3277.0,22.238999999999997
solve,D-H,1000,1000,1537.0,1515.0,48.1845,34.099799999999995,22.0,1522.0,42.9954
solve,E-F,1000,1000,2799.0,2784.0,20.7564,19.273799999999998,15.0,2791.0,20.7564
solve,E-G,1000,1000,5606.0,5603.0,17.7912,19.273799999999998,3.0,5605.0,19.273799999999998
solve,E-H,1000,1000,4565.0,4573.0,29.651999999999997,25.2042,8.0,4570.0,28.1694
solve,F-G,1000,1000,4658.0,4657.0,19.273799999999998,17.7912,1.0,4657.0,17.7912
solve,F-H,1000,1000,5448.0,5466.0,28.1694,26.686799999999998,18.0,5457.0,28.1694
solve,G-H,1000,1000,2935.0,2946.0,26.686799999999998,25.2042,11.0,2941.0,26.686799999999998
