tilt,peer,n,rms_median,rms_p75,rms_p95,rms_max
high,BS2DCE,36,100.01198176598191,124.65828977338887,145.67352874238549,146.45173433626456
high,BSDC91,36,86.79739107077351,108.39728498505363,119.34812728835219,125.36830892723752
high-extra,BS2DCE,9,105.43943098280393,105.72809909024804,107.99891308615419,109.48418123671772
high-extra,BSDC91,9,106.08312613582584,108.09807539503785,113.74747667249832,117.5137441908053
mid,BS2DCE,36,102.88387992024448,121.367016646784,173.80968200980135,177.97269896712243
mid,BSDC91,36,102.53750869848905,110.08131739797653,129.74659294123552,130.77826289740904
planar,BS2DCE,9,153.5360240671751,154.16365035868793,155.782918788221,155.782918788221
planar,BSDC91,9,138.66871639951822,140.02310419622827,140.07217640807428,140.08754457384907
small,BS2DCE,27,137.94653619273686,156.28108005270815,160.83489719809143,161.30238893521235
small,BSDC91,27,142.62062608109525,145.55031435222867,151.27365535876353,152.4187141634457
vertical,BS2DCE,36,87.1318365742931,94.48519612455566,103.15659871470255,110.92748348266656
vertical,BSDC91,36,89.59019907954627,93.69775540516538,97.62198622546964,107.082068917927
