version,location,height,facing,n,D3_median,D3_p75,D3_p95,D3_max
v1-old,center,high,ABEF,1,42.97602601232355,42.97602601232355,42.97602601232355,42.97602601232355
v1-old,center,high,ADHE,1,40.990643526554265,40.990643526554265,40.990643526554265,40.990643526554265
v1-old,center,high,BCGF,1,51.29231014613142,51.29231014613142,51.29231014613142,51.29231014613142
v1-old,center,high,CDHG,1,43.13710545614468,43.13710545614468,43.13710545614468,43.13710545614468
v1-old,center,low,ABEF,1,62.181342592238764,62.181342592238764,62.181342592238764,62.181342592238764
v1-old,center,low,ADHE,1,57.79313698891239,57.79313698891239,57.79313698891239,57.79313698891239
v1-old,center,low,BCGF,1,74.06968644231085,74.06968644231085,74.06968644231085,74.06968644231085
v1-old,center,low,CDHG,1,60.58350253474332,60.58350253474332,60.58350253474332,60.58350253474332
v1-old,center,mid,ABEF,1,57.38158156134155,57.38158156134155,57.38158156134155,57.38158156134155
v1-old,center,mid,ADHE,1,50.356021777918336,50.356021777918336,50.356021777918336,50.356021777918336
v1-old,center,mid,BCGF,1,48.18702509528411,48.18702509528411,48.18702509528411,48.18702509528411
v1-old,center,mid,CDHG,1,42.88572151298903,42.88572151298903,42.88572151298903,42.88572151298903
v1-old,edge,high,ABEF,1,38.515475905626154,38.515475905626154,38.515475905626154,38.515475905626154
v1-old,edge,high,ADHE,1,51.8674714925238,51.8674714925238,51.8674714925238,51.8674714925238
v1-old,edge,high,BCGF,1,32.72589605120288,32.72589605120288,32.72589605120288,32.72589605120288
v1-old,edge,high,CDHG,1,54.30938822214607,54.30938822214607,54.30938822214607,54.30938822214607
v1-old,edge,low,ABEF,1,50.35471969246494,50.35471969246494,50.35471969246494,50.35471969246494
v1-old,edge,low,BCGF,1,57.17101892264794,57.17101892264794,57.17101892264794,57.17101892264794
v1-old,edge,low,CDHG,1,80.12397223967558,80.12397223967558,80.12397223967558,80.12397223967558
v1-old,edge,mid,ABEF,1,49.55027751708172,49.55027751708172,49.55027751708172,49.55027751708172
v1-old,edge,mid,ADHE,1,48.89589721098468,48.89589721098468,48.89589721098468,48.89589721098468
v1-old,edge,mid,BCGF,1,50.74605528361722,50.74605528361722,50.74605528361722,50.74605528361722
v1-old,edge,mid,CDHG,1,90.23659589271684,90.23659589271684,90.23659589271684,90.23659589271684
v2,center,high,ABEF,1,43.01809415338714,43.01809415338714,43.01809415338714,43.01809415338714
v2,center,high,ADHE,1,39.594503257419134,39.594503257419134,39.594503257419134,39.594503257419134
v2,center,high,BCGF,1,43.47230055109385,43.47230055109385,43.47230055109385,43.47230055109385
v2,center,high,CDHG,1,44.34578057398602,44.34578057398602,44.34578057398602,44.34578057398602
v2,center,low,ABEF,1,57.07832570655523,57.07832570655523,57.07832570655523,57.07832570655523
v2,center,low,ADHE,1,56.53958005367233,56.53958005367233,56.53958005367233,56.53958005367233
v2,center,low,BCGF,1,60.867392053755786,60.867392053755786,60.867392053755786,60.867392053755786
v2,center,low,CDHG,1,56.929678468015155,56.929678468015155,56.929678468015155,56.929678468015155
v2,center,mid,ABEF,1,49.37885744162305,49.37885744162305,49.37885744162305,49.37885744162305
v2,center,mid,ADHE,1,48.11237300229605,48.11237300229605,48.11237300229605,48.11237300229605
v2,center,mid,BCGF,1,46.24618786978613,46.24618786978613,46.24618786978613,46.24618786978613
v2,center,mid,CDHG,1,43.00870128340241,43.00870128340241,43.00870128340241,43.00870128340241
v2,edge,high,ABEF,1,38.44315015965043,38.44315015965043,38.44315015965043,38.44315015965043
v2,edge,high,ADHE,1,48.65187419562615,48.65187419562615,48.65187419562615,48.65187419562615
v2,edge,high,BCGF,1,32.3563228111041,32.3563228111041,32.3563228111041,32.3563228111041
v2,edge,high,CDHG,1,67.62315305292131,67.62315305292131,67.62315305292131,67.62315305292131
v2,edge,low,ABEF,1,48.47027545960103,48.47027545960103,48.47027545960103,48.47027545960103
v2,edge,low,BCGF,1,52.4761031139113,52.4761031139113,52.4761031139113,52.4761031139113
v2,edge,low,CDHG,1,71.42241969670653,71.42241969670653,71.42241969670653,71.42241969670653
v2,edge,mid,ABEF,1,45.82156914007252,45.82156914007252,45.82156914007252,45.82156914007252
v2,edge,mid,ADHE,1,49.219852759091076,49.219852759091076,49.219852759091076,49.219852759091076
v2,edge,mid,BCGF,1,51.49866331070443,51.49866331070443,51.49866331070443,51.49866331070443
v2,edge,mid,CDHG,1,77.46138159712932,77.46138159712932,77.46138159712932,77.46138159712932
v3-full,center,high,ABEF,1,47.48925250867715,47.48925250867715,47.48925250867715,47.48925250867715
v3-full,center,high,ADHE,1,43.34317881005517,43.34317881005517,43.34317881005517,43.34317881005517
v3-full,center,high,BCGF,1,41.128341154082115,41.128341154082115,41.128341154082115,41.128341154082115
v3-full,center,high,CDHG,1,55.83387076321937,55.83387076321937,55.83387076321937,55.83387076321937
v3-full,center,low,ABEF,1,74.80917991555467,74.80917991555467,74.80917991555467,74.80917991555467
v3-full,center,low,ADHE,1,67.91794379623208,67.91794379623208,67.91794379623208,67.91794379623208
v3-full,center,low,BCGF,1,78.60286579961046,78.60286579961046,78.60286579961046,78.60286579961046
v3-full,center,low,CDHG,1,65.46859605524928,65.46859605524928,65.46859605524928,65.46859605524928
v3-full,center,mid,ABEF,1,51.10747979690893,51.10747979690893,51.10747979690893,51.10747979690893
v3-full,center,mid,ADHE,1,49.075335889300945,49.075335889300945,49.075335889300945,49.075335889300945
v3-full,center,mid,BCGF,1,50.80807831394871,50.80807831394871,50.80807831394871,50.80807831394871
v3-full,center,mid,CDHG,1,51.764701534748696,51.764701534748696,51.764701534748696,51.764701534748696
v3-full,edge,high,ABEF,1,44.07695270210416,44.07695270210416,44.07695270210416,44.07695270210416
v3-full,edge,high,ADHE,1,44.75433211165084,44.75433211165084,44.75433211165084,44.75433211165084
v3-full,edge,high,BCGF,1,42.85113884236239,42.85113884236239,42.85113884236239,42.85113884236239
v3-full,edge,high,CDHG,1,77.33445069209941,77.33445069209941,77.33445069209941,77.33445069209941
v3-full,edge,low,ABEF,1,54.944080539480574,54.944080539480574,54.944080539480574,54.944080539480574
v3-full,edge,low,BCGF,1,60.16647312442333,60.16647312442333,60.16647312442333,60.16647312442333
v3-full,edge,low,CDHG,1,84.6752970354932,84.6752970354932,84.6752970354932,84.6752970354932
v3-full,edge,mid,ABEF,1,42.15608125150978,42.15608125150978,42.15608125150978,42.15608125150978
v3-full,edge,mid,ADHE,1,56.71450220466756,56.71450220466756,56.71450220466756,56.71450220466756
v3-full,edge,mid,BCGF,1,66.72078156151937,66.72078156151937,66.72078156151937,66.72078156151937
v3-full,edge,mid,CDHG,1,146.73090888074148,146.73090888074148,146.73090888074148,146.73090888074148
v3-lite,center,high,ABEF,1,43.02678337277772,43.02678337277772,43.02678337277772,43.02678337277772
v3-lite,center,high,ADHE,1,39.58249388072259,39.58249388072259,39.58249388072259,39.58249388072259
v3-lite,center,high,BCGF,1,43.52012103847971,43.52012103847971,43.52012103847971,43.52012103847971
v3-lite,center,high,CDHG,1,44.37582400274763,44.37582400274763,44.37582400274763,44.37582400274763
v3-lite,center,low,ABEF,1,56.9366229560033,56.9366229560033,56.9366229560033,56.9366229560033
v3-lite,center,low,ADHE,1,56.721121682692356,56.721121682692356,56.721121682692356,56.721121682692356
v3-lite,center,low,BCGF,1,60.715749540142845,60.715749540142845,60.715749540142845,60.715749540142845
v3-lite,center,low,CDHG,1,57.00517509587144,57.00517509587144,57.00517509587144,57.00517509587144
v3-lite,center,mid,ABEF,1,49.28644699576742,49.28644699576742,49.28644699576742,49.28644699576742
v3-lite,center,mid,ADHE,1,48.06495041938063,48.06495041938063,48.06495041938063,48.06495041938063
v3-lite,center,mid,BCGF,1,46.18668924082806,46.18668924082806,46.18668924082806,46.18668924082806
v3-lite,center,mid,CDHG,1,42.96416904633321,42.96416904633321,42.96416904633321,42.96416904633321
v3-lite,edge,high,ABEF,1,38.448797206356936,38.448797206356936,38.448797206356936,38.448797206356936
v3-lite,edge,high,ADHE,1,48.6872979127397,48.6872979127397,48.6872979127397,48.6872979127397
v3-lite,edge,high,BCGF,1,32.345394427597746,32.345394427597746,32.345394427597746,32.345394427597746
v3-lite,edge,high,CDHG,1,67.26368769422791,67.26368769422791,67.26368769422791,67.26368769422791
v3-lite,edge,low,ABEF,1,48.65281049783677,48.65281049783677,48.65281049783677,48.65281049783677
v3-lite,edge,low,BCGF,1,52.6374819639798,52.6374819639798,52.6374819639798,52.6374819639798
v3-lite,edge,low,CDHG,1,71.31922261877928,71.31922261877928,71.31922261877928,71.31922261877928
v3-lite,edge,mid,ABEF,1,45.724765629666976,45.724765629666976,45.724765629666976,45.724765629666976
v3-lite,edge,mid,ADHE,1,49.15470885470571,49.15470885470571,49.15470885470571,49.15470885470571
v3-lite,edge,mid,BCGF,1,51.40488352925938,51.40488352925938,51.40488352925938,51.40488352925938
v3-lite,edge,mid,CDHG,1,77.10039262587031,77.10039262587031,77.10039262587031,77.10039262587031
v4-io,center,high,ABEF,1,43.000382047841285,43.000382047841285,43.000382047841285,43.000382047841285
