group_by,group,n,D3_median,D3_p75,D3_p95,D3_max
location,center,96,48.349154144845784,57.09366362438404,67.88801205761357,78.60286579961046
location,edge,88,50.42625964291273,67.35355403390126,84.27067873534074,146.73090888074148
height,high,64,43.081944414461205,47.60099837045454,76.53120728428611,82.2905884581769
height,low,56,58.20873351338517,66.07345005584035,76.54251430804125,84.6752970354932
height,mid,64,49.25314987742925,51.5651728667155,87.49275750641655,146.73090888074148
facing,ABEF,48,47.88690969815475,51.119943724925065,61.519678235704966,74.80917991555467
facing,ADHE,40,48.79159756186219,51.21913568282911,57.58040472020616,67.91794379623208
facing,BCGF,48,50.77706679878297,54.14303367133942,67.88801205761357,78.60286579961046
facing,CDHG,48,63.0260492949963,77.36618341835688,88.19396564001775,146.73090888074148
