version,eval_set,anchor,n_pairs,rms,p50_abs,p95_abs,max_abs
v1-old,all1000,A,7,36.93945809281575,28.695647181603817,62.13397920047983,71.07507403900081
v1-old,all1000,B,7,35.29303898890491,19.859658465137727,62.98651388397232,71.07507403900081
v1-old,all1000,C,7,101.17383199107655,44.11320685557257,176.69929136483094,183.11640161246896
v1-old,all1000,D,7,78.82679221327011,24.586987359773957,146.46305997661997,161.72603412034232
v1-old,all1000,E,7,52.63940676372975,38.02532311383857,93.75804829374516,105.6997012477168
v1-old,all1000,F,7,39.760544087417564,13.97741379140598,76.24614902823765,89.13717344089036
v1-old,all1000,G,7,75.81561797712402,38.02532311383857,142.0316087483426,183.11640161246896
v1-old,all1000,H,7,62.02084579697593,28.695647181603817,109.30452792320258,110.84945364126793
v1-old,solve,A,7,36.93945809281575,28.695647181603817,62.13397920047983,71.07507403900081
v1-old,solve,B,7,35.29303898890491,19.859658465137727,62.98651388397232,71.07507403900081
v1-old,solve,C,7,101.17383199107655,44.11320685557257,176.69929136483094,183.11640161246896
v1-old,solve,D,7,78.82679221327011,24.586987359773957,146.46305997661997,161.72603412034232
v1-old,solve,E,7,52.63940676372975,38.02532311383857,93.75804829374516,105.6997012477168
v1-old,solve,F,7,39.760544087417564,13.97741379140598,76.24614902823765,89.13717344089036
v1-old,solve,G,7,75.81561797712402,38.02532311383857,142.0316087483426,183.11640161246896
v1-old,solve,H,7,62.02084579697593,28.695647181603817,109.30452792320258,110.84945364126793
v2,all1000,A,7,26.870531701935104,18.74910717315379,46.03902354331129,51.79116695977791
v2,all1000,B,7,23.542478240333804,13.461854389307518,40.036626472148775,43.21631400097431
v2,all1000,C,7,42.679630595744,34.06341381370157,65.24514512310989,65.8237352534934
v2,all1000,D,7,49.47463670560505,40.21686756281633,83.01510465046483,90.38283439202405
v2,all1000,E,7,58.84538059355536,62.31533343389856,89.7230431730164,90.38283439202405
v2,all1000,F,7,32.388059068483564,40.21686756281633,42.79423128442877,42.91151689561411
v2,all1000,G,7,33.11824523777981,24.47889221376863,56.37690286122787,62.31533343389856
v2,all1000,H,7,43.83884393188058,34.06341381370157,77.26582131799903,88.18353032866526
v2,solve,A,7,26.870531701935104,18.74910717315379,46.03902354331129,51.79116695977791
v2,solve,B,7,23.542478240333804,13.461854389307518,40.036626472148775,43.21631400097431
v2,solve,C,7,42.679630595744,34.06341381370157,65.24514512310989,65.8237352534934
v2,solve,D,7,49.47463670560505,40.21686756281633,83.01510465046483,90.38283439202405
v2,solve,E,7,58.84538059355536,62.31533343389856,89.7230431730164,90.38283439202405
v2,solve,F,7,32.388059068483564,40.21686756281633,42.79423128442877,42.91151689561411
v2,solve,G,7,33.11824523777981,24.47889221376863,56.37690286122787,62.31533343389856
v2,solve,H,7,43.83884393188058,34.06341381370157,77.26582131799903,88.18353032866526
v3-full,all1000,A,7,3.327065999356961,2.2627019408309934,5.681883875208039,6.29071903258864
v3-full,all1000,B,7,29.386216147940083,1.0159606164340858,55.56817169256814,77.5920223471876
v3-full,all1000,C,7,95.72250926103105,0.5940199179899537,183.90193153261615,191.88926067443754
v3-full,all1000,D,7,62.582939676351195,2.414163618848761,117.90612015073236,165.26483020169962
v3-full,all1000,E,7,113.33613403123044,1.727797975467638,203.09429380958053,207.89645086749897
v3-full,all1000,F,7,37.77735548865593,4.261268507986642,71.71325563516132,99.3323456775961
v3-full,all1000,G,7,29.617725593781653,3.413050832808949,56.53515465257401,77.5920223471876
v3-full,all1000,H,7,78.64085583600524,1.0112309414905667,147.6656158968421,207.89645086749897
v3-full,solve,A,7,3.327065999356961,2.2627019408309934,5.681883875208039,6.29071903258864
v3-full,solve,B,7,29.386216147940083,1.0159606164340858,55.56817169256814,77.5920223471876
v3-full,solve,C,7,95.72250926103105,0.5940199179899537,183.90193153261615,191.88926067443754
v3-full,solve,D,7,62.582939676351195,2.414163618848761,117.90612015073236,165.26483020169962
v3-full,solve,E,7,113.33613403123044,1.727797975467638,203.09429380958053,207.89645086749897
v3-full,solve,F,7,37.77735548865593,4.261268507986642,71.71325563516132,99.3323456775961
