archives: 1   nodes: 9
node          uwb  rate_hz              8/8             7+/8      uwb_deliv  imu_samp        imu_deliv
BSF1120     19918    8.334      19862/19918      19918/19918    19918/19918    478037    478037/478037
BSF3C79     19920   8.3344      19895/19920      19920/19920    19920/19920    478055    478055/478055
BSF44AD     19919    8.334      19892/19919      19919/19919    19919/19919    478032    478032/478032
BSF6C53     14797   8.3341      14794/14797      14797/14797    14797/14797    355090    355090/355090
BSF8BC4     19919   8.3339      19917/19919      19919/19919    19919/19919    478011    478011/478011
BSFAA61     19918   8.3339      19889/19918      19918/19918    19918/19918    471209    471209/478039
BSFB165     19917   8.3334      19905/19917      19917/19917    19917/19917    477290    477290/478020
BSFC2CC     19918   8.3335      19906/19918      19918/19918    19918/19918    477985    477985/477985
BSFEC35     19919   8.3343      19890/19919      19919/19919    19919/19919    478020    478020/478020

freshness: INSUFFICIENT (static bench) -- labelled, not numbered
