version,solver,solver_family,eval_set,n_positions,height,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v1-old,T1+F0,external_position_filter,all8,24,high,8,202.440529667343,369.4800467880183,233.90126139340947
v1-old,T1+F0,external_position_filter,all8,24,low,8,214.40023689357827,306.6554550225512,218.48207911548002
v1-old,T1+F0,external_position_filter,all8,24,mid,8,87.5688514130714,147.0369034080059,97.5639100424424
v1-old,T1+F1,external_position_filter,all8,24,high,8,204.21788935073283,359.4116186510256,230.5900527340682
v1-old,T1+F1,external_position_filter,all8,24,low,8,217.4505111493071,305.0080099567084,218.05947620888915
v1-old,T1+F1,external_position_filter,all8,24,mid,8,88.60734766114419,146.28317343813487,93.69201779896854
v1-old,T1+F2,external_position_filter,all8,24,high,8,204.21788935073283,359.4116186510256,230.5900527340682
v1-old,T1+F2,external_position_filter,all8,24,low,8,217.4505111493071,305.0080099567084,218.06609352026993
v1-old,T1+F2,external_position_filter,all8,24,mid,8,88.60734766114419,146.28317343813487,93.69201779896854
v1-old,T1+F3,external_position_filter,all8,24,high,8,204.17610364594344,360.9824494408809,231.15410369916626
v1-old,T1+F3,external_position_filter,all8,24,low,8,217.65317318727404,306.43654737681936,218.540294757158
v1-old,T1+F3,external_position_filter,all8,24,mid,8,88.38808029032168,146.39654119418685,94.29786215182682
v1-old,T1+F4,external_position_filter,all8,24,high,8,204.29460795643337,358.6340433001964,230.38528396836566
v1-old,T1+F4,external_position_filter,all8,24,low,8,216.31050713034466,303.5002780468541,217.19064962913512
v1-old,T1+F4,external_position_filter,all8,24,mid,8,88.06935181337914,146.06749176968734,93.38635753490544
v1-old,T1+F5,external_position_filter,all8,24,high,8,204.6343750960622,356.7695615447584,229.77413624624455
v1-old,T1+F5,external_position_filter,all8,24,low,8,216.8026734025591,302.7884600722474,217.04922360719485
v1-old,T1+F5,external_position_filter,all8,24,mid,8,86.90593142270211,145.7274348477021,92.63002634516988
v1-old,T2+F0,external_position_filter,all8,24,high,8,201.74796802932553,369.8401039436605,233.80041719496097
v1-old,T2+F0,external_position_filter,all8,24,low,8,214.4187251886221,305.64302754734365,218.13550889019356
v1-old,T2+F0,external_position_filter,all8,24,mid,8,87.79523055439421,147.72175023578598,97.87794921399238
v1-old,T2+F1,external_position_filter,all8,24,high,8,203.03377310621443,359.8193016628892,230.46728012598217
v1-old,T2+F1,external_position_filter,all8,24,low,8,217.50591277696273,304.0701986404789,217.7135920407457
