version,solver,solver_family,eval_set,n_positions,location,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v1-old,T1+F0,external_position_filter,all8,24,center,12,114.38193119142228,262.7012540942596,163.32031466195136
v1-old,T1+F0,external_position_filter,all8,24,edge,12,189.972621648298,368.9286786107308,219.0169669940399
v1-old,T1+F1,external_position_filter,all8,24,center,12,118.15132555424367,251.37771635432114,160.4318151091899
v1-old,T1+F1,external_position_filter,all8,24,edge,12,188.94430744097815,364.9255871160186,217.39725670577315
v1-old,T1+F2,external_position_filter,all8,24,center,12,118.15132555424367,251.40486685192462,160.43781126974602
v1-old,T1+F2,external_position_filter,all8,24,edge,12,188.94430744097815,364.9255871160186,217.39725670577315
v1-old,T1+F3,external_position_filter,all8,24,center,12,116.97183806749274,252.64461452848002,160.85247721823038
v1-old,T1+F3,external_position_filter,all8,24,edge,12,189.12221594928675,365.32105529281534,217.9814789610245
v1-old,T1+F4,external_position_filter,all8,24,center,12,117.48535498264934,251.58097826992216,160.09143388871988
v1-old,T1+F4,external_position_filter,all8,24,edge,12,188.6835802632312,364.6310371897567,216.83521903714174
v1-old,T1+F5,external_position_filter,all8,24,center,12,117.87826104700028,250.84228491481872,159.98808782338594
v1-old,T1+F5,external_position_filter,all8,24,edge,12,188.37263746568578,363.56992231014397,216.16746373868804
v1-old,T2+F0,external_position_filter,all8,24,center,12,115.20943660606991,262.46868967546914,163.1993971557317
v1-old,T2+F0,external_position_filter,all8,24,edge,12,190.4818063538254,369.0255794939029,218.89839867492108
v1-old,T2+F1,external_position_filter,all8,24,center,12,118.36898081276084,251.69101430337136,160.14883228282528
v1-old,T2+F1,external_position_filter,all8,24,edge,12,189.17535643895104,365.3173873051984,217.34684545528822
v1-old,T2+F2,external_position_filter,all8,24,center,12,118.36898081276084,251.79049673211975,160.17087801201586
v1-old,T2+F2,external_position_filter,all8,24,edge,12,189.17535643895104,365.3173873051984,217.34684545528822
v1-old,T2+F3,external_position_filter,all8,24,center,12,117.61018973743427,252.89188382966023,160.81514885679508
v1-old,T2+F3,external_position_filter,all8,24,edge,12,189.36046453087923,365.53719101508113,217.72131376090735
v1-old,T2+F4,external_position_filter,all8,24,center,12,117.62021935262823,252.7213561891621,160.02309594187108
v1-old,T2+F4,external_position_filter,all8,24,edge,12,188.69344642997876,364.69871731250976,216.65152048180303
v1-old,T2+F5,external_position_filter,all8,24,center,12,118.14563518573468,251.75790298811245,159.85740120362033
v1-old,T2+F5,external_position_filter,all8,24,edge,12,188.39824580022818,363.4319201886913,216.07883296279834
v1-old,T3+F0,external_position_filter,all8,24,center,12,100.54074110273886,248.72100892138727,142.39169078268856
v1-old,T3+F0,external_position_filter,all8,24,edge,12,175.99491993689145,298.55562594789365,191.2404977510081
v1-old,T3+F1,external_position_filter,all8,24,center,12,99.15655671871033,244.39954711518578,137.81207219123795
v1-old,T3+F1,external_position_filter,all8,24,edge,12,174.8156208995614,296.7085574642002,189.54258532134656
v1-old,T3+F2,external_position_filter,all8,24,center,12,99.15655671871033,244.39954711518578,137.81207219123795
v1-old,T3+F2,external_position_filter,all8,24,edge,12,174.8156208995614,296.7085574642002,189.54258532134656
v1-old,T3+F3,external_position_filter,all8,24,center,12,99.33407472930264,246.83683222574717,138.9128170848219
v1-old,T3+F3,external_position_filter,all8,24,edge,12,174.9238402671242,297.58105461336237,189.80514163509184
v1-old,T3+F4,external_position_filter,all8,24,center,12,99.13692230426317,243.39918622939612,137.37696118192693
v1-old,T3+F4,external_position_filter,all8,24,edge,12,174.6581884702802,296.40880874366115,189.29926508277987
v1-old,T3+F5,external_position_filter,all8,24,center,12,98.94902163956107,243.41554734582598,136.79542485327144
v1-old,T3+F5,external_position_filter,all8,24,edge,12,174.6418644772839,296.4930434960751,189.0289048088229
v1-old,T4+F0,external_position_filter,all8,24,center,12,107.30115265979833,192.9332432738027,127.01381011007301
v1-old,T4+F0,external_position_filter,all8,24,edge,12,181.97918950773396,275.7784538442701,187.80819752002648
v1-old,T4+F1,external_position_filter,all8,24,center,12,110.77492145548607,195.4832665693841,127.13709236369756
v1-old,T4+F1,external_position_filter,all8,24,edge,12,181.64415629930028,275.16828702681977,188.2508576861089
v1-old,T4+F2,external_position_filter,all8,24,center,12,110.77492145548607,195.4832665693841,127.13709236369756
v1-old,T4+F2,external_position_filter,all8,24,edge,12,181.64415629930028,275.16828702681977,188.2508576861089
v1-old,T4+F3,external_position_filter,all8,24,center,12,110.34362647295217,196.177293692052,127.47975918793931
v1-old,T4+F3,external_position_filter,all8,24,edge,12,181.59849408072392,274.9608927156597,188.29197603186623
v1-old,T4+F4,external_position_filter,all8,24,center,12,109.45680539458857,195.32637523497093,126.70970117787554
v1-old,T4+F4,external_position_filter,all8,24,edge,12,181.2239078852429,274.8366092051116,188.01006245400694
v1-old,T4+F5,external_position_filter,all8,24,center,12,110.38180266520183,195.8508891986576,126.65227199821052
v1-old,T4+F5,external_position_filter,all8,24,edge,12,181.0351300182946,274.33390594209084,187.75645459453457
v1-old,T5a,native_range_filter,all8,24,center,12,158.45278745784643,314.14744834852854,185.37534630788755
