version,solver,solver_family,eval_set,n_positions,component,role,signed_mean_bias_mm,signed_std_mm,p95_abs_error_mm,axis_convention,horizontal_2d_rmse_mm,horizontal_2d_p50_mm,horizontal_2d_p95_mm
v1-old,T1+F0,external_position_filter,all8,24,X,OptiTrack horizontal X,16.810342945663123,38.68640880474222,73.44039388942625,OptiTrack frame; Y is vertical,,,
v1-old,T1+F0,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,6.870071979319737,188.7072165026594,320.17239162876626,OptiTrack frame; Y is vertical,,,
v1-old,T1+F0,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-8.106706496068975,37.73430686976014,67.64076635438133,OptiTrack frame; Y is vertical,,,
v1-old,T1+F0,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,56.09932520775279,53.73956914967711,85.0123606697413
v1-old,T1+F1,external_position_filter,all8,24,X,OptiTrack horizontal X,15.855819704834039,37.42678975491868,71.36145555174286,OptiTrack frame; Y is vertical,,,
v1-old,T1+F1,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,8.138191410366971,186.87105505382553,315.6087630519349,OptiTrack frame; Y is vertical,,,
v1-old,T1+F1,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-6.39173432701035,37.29998017416084,66.53882680079003,OptiTrack frame; Y is vertical,,,
v1-old,T1+F1,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,54.47915979732963,52.855840543484994,88.16827396657422
v1-old,T1+F2,external_position_filter,all8,24,X,OptiTrack horizontal X,15.855574348643401,37.426761753120424,71.36145555174286,OptiTrack frame; Y is vertical,,,
v1-old,T1+F2,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,8.136159791463674,186.87378901354373,315.6087630519349,OptiTrack frame; Y is vertical,,,
v1-old,T1+F2,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-6.393331590780529,37.30005285578472,66.53882680079003,OptiTrack frame; Y is vertical,,,
v1-old,T1+F2,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,54.47930506341058,52.855840543484994,88.16827396657422
v1-old,T1+F3,external_position_filter,all8,24,X,OptiTrack horizontal X,16.130416174067506,37.508012483384455,71.21879061198713,OptiTrack frame; Y is vertical,,,
v1-old,T1+F3,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,7.8460101987064945,187.36013912128428,316.22980097141885,OptiTrack frame; Y is vertical,,,
v1-old,T1+F3,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-6.623999031876475,37.38914092960513,66.65118412622567,OptiTrack frame; Y is vertical,,,
v1-old,T1+F3,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,54.69917668363665,52.95288149500968,87.8212898510875
v1-old,T1+F4,external_position_filter,all8,24,X,OptiTrack horizontal X,15.809103553304046,37.41036993010366,71.3932401139266,OptiTrack frame; Y is vertical,,,
v1-old,T1+F4,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,8.374487028198985,186.41476883564982,315.1584635802937,OptiTrack frame; Y is vertical,,,
v1-old,T1+F4,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-6.279772388034218,37.115227922283516,65.63710636152113,OptiTrack frame; Y is vertical,,,
v1-old,T1+F4,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,54.32060126401037,52.99091434112352,87.86726030568965
v1-old,T1+F5,external_position_filter,all8,24,X,OptiTrack horizontal X,15.570057738142992,37.164130692927124,71.3217486268633,OptiTrack frame; Y is vertical,,,
v1-old,T1+F5,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,8.40468915329212,186.06503618898802,314.80949450822504,OptiTrack frame; Y is vertical,,,
v1-old,T1+F5,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-6.015455243781436,36.99658136776987,65.40530079517383,OptiTrack frame; Y is vertical,,,
v1-old,T1+F5,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,53.98103424068869,52.94099465438242,87.71440670539266
v1-old,T2+F0,external_position_filter,all8,24,X,OptiTrack horizontal X,17.399271492178812,38.45331786718629,72.1359893905502,OptiTrack frame; Y is vertical,,,
v1-old,T2+F0,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,7.20634139148072,188.55625322105513,320.2043234760752,OptiTrack frame; Y is vertical,,,
v1-old,T2+F0,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-7.704337428082321,37.839108989008466,68.43558022142632,OptiTrack frame; Y is vertical,,,
v1-old,T2+F0,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,56.136247604122545,53.47806468533261,85.56059308559071
v1-old,T2+F1,external_position_filter,all8,24,X,OptiTrack horizontal X,16.317249858565404,37.324482538437174,70.63994231769568,OptiTrack frame; Y is vertical,,,
v1-old,T2+F1,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,8.509080685618978,186.67866994605254,315.9448011028871,OptiTrack frame; Y is vertical,,,
v1-old,T2+F1,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-6.104980261158157,37.33417991322856,66.73866437827989,OptiTrack frame; Y is vertical,,,
v1-old,T2+F1,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,54.53767655530986,52.752432879383576,88.42545144555852
v1-old,T2+F2,external_position_filter,all8,24,X,OptiTrack horizontal X,16.317133976214304,37.32447156136437,70.63994231769568,OptiTrack frame; Y is vertical,,,
v1-old,T2+F2,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,8.501522231831592,186.68888399411276,315.9448011028871,OptiTrack frame; Y is vertical,,,
v1-old,T2+F2,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-6.105516234956156,37.33421824329419,66.73866437827989,OptiTrack frame; Y is vertical,,,
v1-old,T2+F2,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,54.53771983056481,52.752432879383576,88.42545144555852
v1-old,T2+F3,external_position_filter,all8,24,X,OptiTrack horizontal X,16.65108443178813,37.440988146933,70.48918835975152,OptiTrack frame; Y is vertical,,,
v1-old,T2+F3,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,8.227604162078924,187.12756722785116,316.1988321324801,OptiTrack frame; Y is vertical,,,
v1-old,T2+F3,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-6.264971686192358,37.487042226789804,67.15094636639984,OptiTrack frame; Y is vertical,,,
v1-old,T2+F3,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,54.83294323945597,52.95204813943106,88.35288422826697
v1-old,T2+F4,external_position_filter,all8,24,X,OptiTrack horizontal X,16.10834343631845,37.380235963398334,71.04879866352805,OptiTrack frame; Y is vertical,,,
v1-old,T2+F4,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,8.605510151971368,186.23857491381813,315.11516453446296,OptiTrack frame; Y is vertical,,,
v1-old,T2+F4,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-6.025346172976555,37.17123000208109,65.84067693439181,OptiTrack frame; Y is vertical,,,
v1-old,T2+F4,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,54.39646103186078,52.96867111666532,88.31162962247167
v1-old,T2+F5,external_position_filter,all8,24,X,OptiTrack horizontal X,15.807002800079891,37.255462128495296,71.09946956300648,OptiTrack frame; Y is vertical,,,
v1-old,T2+F5,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,8.608691946006028,185.90270986363757,314.5309789208694,OptiTrack frame; Y is vertical,,,
v1-old,T2+F5,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-5.795846651428643,37.03864161908412,65.663601453793,OptiTrack frame; Y is vertical,,,
v1-old,T2+F5,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,54.11368286008504,52.93211147621639,88.32907575260353
v1-old,T3+F0,external_position_filter,all8,24,X,OptiTrack horizontal X,20.920688940974742,46.217611115729376,84.51831230447097,OptiTrack frame; Y is vertical,,,
v1-old,T3+F0,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,-12.199106841003234,159.2147436355112,308.13588489307773,OptiTrack frame; Y is vertical,,,
v1-old,T3+F0,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-10.30422568383427,38.10256018444252,68.31348077527639,OptiTrack frame; Y is vertical,,,
v1-old,T3+F0,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,63.104914768859516,55.714125372032726,103.03647858634444
v1-old,T3+F1,external_position_filter,all8,24,X,OptiTrack horizontal X,19.50748788349704,43.824050228221736,83.15916858751527,OptiTrack frame; Y is vertical,,,
v1-old,T3+F1,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,-10.088985056278554,157.43346877858696,297.11610327692034,OptiTrack frame; Y is vertical,,,
v1-old,T3+F1,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-8.46338006522644,37.003689457054584,63.84837344769498,OptiTrack frame; Y is vertical,,,
v1-old,T3+F1,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,60.040948085450516,52.35710653930214,101.22963012324765
