version,solver,solver_family,eval_set,n_positions,metric,value_mm,unit
v1-old,T1+F0,external_position_filter,all8,24,mean_3d_error_mm,169.49383788460318,mm
v1-old,T1+F0,external_position_filter,all8,24,rmse_3d_error_mm,193.18638281792425,mm
v1-old,T1+F0,external_position_filter,all8,24,p50_3d_error_mm,157.9705273048486,mm
v1-old,T1+F0,external_position_filter,all8,24,p90_3d_error_mm,280.4766183545289,mm
v1-old,T1+F0,external_position_filter,all8,24,p95_3d_error_mm,327.4214240801682,mm
v1-old,T1+F0,external_position_filter,all8,24,p99_3d_error_mm,393.86349557037244,mm
v1-old,T1+F0,external_position_filter,all8,24,max_3d_error_mm,411.7853952601149,mm
v1-old,T1+F0,external_position_filter,all8,24,repeatability_d3_std_p50_mm,63.020869004676186,mm
v1-old,T1+F0,external_position_filter,all8,24,repeatability_d3_std_p95_mm,94.91155379438695,mm
v1-old,T1+F1,external_position_filter,all8,24,mean_3d_error_mm,167.14801789446457,mm
v1-old,T1+F1,external_position_filter,all8,24,rmse_3d_error_mm,191.04964606408606,mm
v1-old,T1+F1,external_position_filter,all8,24,p50_3d_error_mm,159.69814985353702,mm
v1-old,T1+F1,external_position_filter,all8,24,p90_3d_error_mm,267.8391993391544,mm
v1-old,T1+F1,external_position_filter,all8,24,p95_3d_error_mm,322.5233875037215,mm
v1-old,T1+F1,external_position_filter,all8,24,p99_3d_error_mm,388.84225842405914,mm
v1-old,T1+F1,external_position_filter,all8,24,max_3d_error_mm,406.03236592671334,mm
v1-old,T1+F1,external_position_filter,all8,24,repeatability_d3_std_p50_mm,32.307254211454364,mm
v1-old,T1+F1,external_position_filter,all8,24,repeatability_d3_std_p95_mm,54.124035199104775,mm
v1-old,T1+F2,external_position_filter,all8,24,mean_3d_error_mm,167.15007475034363,mm
v1-old,T1+F2,external_position_filter,all8,24,rmse_3d_error_mm,191.05216369910923,mm
v1-old,T1+F2,external_position_filter,all8,24,p50_3d_error_mm,159.69814985353702,mm
v1-old,T1+F2,external_position_filter,all8,24,p90_3d_error_mm,267.8391993391544,mm
v1-old,T1+F2,external_position_filter,all8,24,p95_3d_error_mm,322.5233875037215,mm
v1-old,T1+F2,external_position_filter,all8,24,p99_3d_error_mm,388.84225842405914,mm
v1-old,T1+F2,external_position_filter,all8,24,max_3d_error_mm,406.03236592671334,mm
v1-old,T1+F2,external_position_filter,all8,24,repeatability_d3_std_p50_mm,32.307254211454364,mm
v1-old,T1+F2,external_position_filter,all8,24,repeatability_d3_std_p95_mm,53.30441709472178,mm
v1-old,T1+F3,external_position_filter,all8,24,mean_3d_error_mm,167.64755873043381,mm
v1-old,T1+F3,external_position_filter,all8,24,rmse_3d_error_mm,191.55866542299373,mm
v1-old,T1+F3,external_position_filter,all8,24,p50_3d_error_mm,159.38725689979606,mm
v1-old,T1+F3,external_position_filter,all8,24,p90_3d_error_mm,271.31058786016274,mm
