pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,5534.768901753081,5533.935550935551,0.8333508175301176,0.8333508175301176
A-C,8271.51159453198,8272.0,-0.4884054680205736,0.4884054680205736
A-D,9329.412449485906,9329.59900990099,-0.18656041508438648,0.18656041508438648
A-E,1511.0,1511.0,0.0,0.0
A-F,5784.749679957413,5784.5,0.24967995741280902,0.24967995741280902
A-G,8603.17361541832,8602.999999999998,0.17361541832178773,0.17361541832178773
A-H,9602.34091946377,9603.0,-0.659080536230249,0.659080536230249
B-C,5835.220163410589,5834.7772637144735,0.4428996961150915,0.4428996961150915
B-D,4369.011628768506,4369.414355628059,-0.40272685955278575,0.40272685955278575
B-E,5858.0155191706945,5858.409174311926,-0.3936551412316476,0.3936551412316476
B-F,1174.8546159031048,1175.0,-0.1453840968952136,0.1453840968952136
B-G,6155.610518804139,6155.609756097561,0.0007627065779161057,0.0007627065779161057
B-H,4713.269234037877,4712.268493150685,1.0007408871924781,1.0007408871924781
C-D,9112.204705882354,9112.204705882354,0.0,0.0
C-E,8290.447593956653,8290.144554455444,0.3030395012083318,0.3030395012083318
C-F,5832.331510243017,5832.0,0.3315102430169645,0.3315102430169645
C-G,1425.9999999999998,1425.9999999999998,0.0,0.0
C-H,9353.622830327651,9354.0,-0.3771696723488276,0.3771696723488276
D-E,9696.294374503694,9695.880430450377,0.4139440533162997,0.4139440533162997
D-F,4563.622824032891,4563.532224532225,0.09059950066603051,0.09059950066603051
D-G,9347.756363210652,9347.576470588236,0.1798926224164461,0.1798926224164461
D-H,1394.0502260852006,1394.1455621301775,-0.0953360449768752,0.0953360449768752
E-F,5803.840791566792,5804.0,-0.15920843320782296,0.15920843320782296
E-G,8374.359273317072,8374.417241379311,-0.05796806223952444,0.05796806223952444
E-H,9759.403352343483,9759.332563510394,0.07078883308895456,0.07078883308895456
F-G,5874.864701454347,5875.08679245283,-0.22209099848350888,0.22209099848350888
F-H,4553.726915389371,4553.72,0.006915389370988123,0.006915389370988123
G-H,9377.935550935552,9377.935550935552,0.0,0.0
