candidate,x_mm,y_mm,z_mm,z_uncertainty_improve_med,z_uncertainty_improve_p05,d3_uncertainty_improve_med,d3_uncertainty_improve_p05
center_low_level,1538.4472839734951,2291.9294054334077,70.90507193322514,3.5363186466905567,0.10628385429215718,2.7759267149859213,0.3213019829598707
center_extra_high,1538.4472839734951,2291.9294054334077,-2473.451606730163,3.3203191759537916,1.758466916090623,2.749511158499871,1.3435643060829454
center_high_level,1538.4472839734951,2291.9294054334077,-1673.451606730163,2.1525662381279176,0.22668885180182524,1.7828146611147844,0.33790199140408683
center_mid_level,1538.4472839734951,2291.9294054334077,-735.3788714269259,1.5005334840162021,0.07899079021166461,1.4023448731103159,0.19914639461770495
west_mid_extra_high,-800.0,2291.9294054334077,-2473.451606730163,1.3652837838577057,0.4320571505586056,1.5065113296652939,0.6641105020116661
north_mid_extra_high,1538.4472839734951,5472.264243973856,-2473.451606730163,1.2682219101717678,0.31494682040599753,1.0909751571583541,0.32567886361450105
east_mid_extra_high,3967.2485543331886,2291.9294054334077,-2473.451606730163,1.2556357451147235,0.5841088573473648,1.25968678756891,0.6512191135002798
south_mid_extra_high,1538.4472839734951,-903.5380023829606,-2473.451606730163,0.9277427898657393,0.38149917947745493,0.7945011338644079,0.39774029807287975
east_mid_low_level,3967.2485543331886,2291.9294054334077,70.90507193322514,0.857963572635903,0.014025357824197117,0.9468931827919107,0.6881401270720218
ne_corner_extra_high,3967.2485543331886,5472.264243973856,-2473.451606730163,0.8445057541730492,0.23609742645970969,0.788367256232327,0.39156457448922666
