condition,group_by,group,captures,ok_captures,solved_rate_median,fail_rate_median,X_med,Y_med,Z_med,D3_med,Z_share_med,D3_p95,Z_p95,worst_capture,worst_D3
baseline_all_available,all,all,23,23,100.0,0.0,25.975113058014927,16.258500416885887,37.86954842595105,49.248322877789434,62.14159532367675,81.64710266011102,67.8255015527524,ID08,88.19396564001775
no_A,all,all,23,23,100.0,0.0,28.83033903565682,17.27323570294372,43.86586639578658,54.35892442974706,62.38935217921456,74.45684503667694,59.557359857811086,ID08,93.32538513711523
no_B,all,all,23,23,100.0,0.0,30.244455414674526,22.24062086575091,45.23135604887456,58.40265289428553,58.08691001864261,78.05862915574967,59.820147638156485,ID07,96.3573420177466
no_C,all,all,23,23,100.0,0.0,29.137834826500363,17.71117586035015,45.523742515629046,56.4173708874141,59.96788421969626,68.64782891384488,56.488390764395916,ID08,92.16142387241013
no_D,all,all,23,23,100.0,0.0,29.00945578370114,18.87411575188009,43.3797717571863,56.38260079670042,62.28824016022522,72.75482274866361,58.1918539114521,ID08,81.1004465797892
no_E,all,all,23,23,100.0,0.0,26.92414571807233,16.710799335086687,41.158219046681545,51.059619966694605,61.295678528361115,80.58280504966432,70.63461079774733,ID17,85.5635501251987
no_F,all,all,23,23,100.0,0.0,25.239882202513506,17.328378374149096,36.34368480315341,48.38351533773863,56.58117115232479,69.67864945371548,55.57965150324941,ID08,76.3072988657374
no_G,all,all,23,23,100.0,0.0,25.666150894024327,16.0990083276607,39.42788432968835,51.14559505168116,61.71532473295378,110.51834500689083,106.6398111186211,ID18,128.76527261371186
no_H,all,all,23,23,100.0,0.0,25.810375625819994,16.410994431860242,37.367310875124396,49.0223788541589,61.71740466954835,73.35344767169418,62.030949717710435,ID09,77.63468639217207
random_keep_8,all,all,23,23,100.0,0.0,25.975113058014927,16.258500416885887,37.86954842595105,49.248322877789434,62.14159532367675,81.64710266011102,67.8255015527524,ID08,88.19396564001775
random_keep_7,all,all,11500,11500,100.0,0.0,27.962417495075254,18.31817548908934,43.62220886193491,53.1669364878332,64.52996268344248,105.64654601930742,87.38831085777943,ID08,150.38962082754236
random_keep_6,all,all,11500,11500,100.0,0.0,38.08860154688823,23.576773835034935,60.91665103342102,77.08853346361703,65.90595722278346,166.54714254847616,139.16622428872984,ID08,289.6769949079056
random_keep_5,all,all,11500,11500,100.0,0.0,49.620553945519475,31.44565320277466,83.41275918331573,100.69035574670468,68.4203716860709,225.16748385991303,193.1134492209712,ID08,373.1166402145643
random_keep_4,all,all,11500,11500,100.0,0.0,78.50466466206267,50.52558045614887,124.60920007348852,156.28860864080767,65.34771707892975,355.30850369327186,265.25561043787076,ID08,779.9311555661906
dropout_p05,all,all,11500,11500,100.0,0.0,29.67873555081701,19.097196652748366,46.94710705058743,59.49385741065372,64.48153475877658,115.46797804270713,99.27333711113472,ID17,262.2182014938512
dropout_p10,all,all,11500,11500,99.83361064891847,0.16638935108153077,34.6873235357413,21.729119388755393,55.74615110883212,69.38681608781228,65.46737100167496,142.46649386242018,124.44822698531797,ID21,422.5873655919478
dropout_p20,all,all,11500,11500,97.5,2.5,44.62157656764072,27.56428729352083,70.91161717810458,87.88711608983067,65.66752696813137,188.4170707807674,162.92850157457787,ID08,555.1162386423605
dropout_p30,all,all,11500,11500,89.51747088186356,10.482529118136439,52.897720023039085,33.17148578778504,83.84400751394165,104.82152554514937,65.77136594022028,224.97948401681492,190.62512180626334,ID08,593.966057658446
dropout_p40,all,all,11500,11500,74.70881863560732,25.291181364392678,59.54981299839784,37.67326622500278,94.9168868827048,119.02151291197987,65.58024703135531,285.30368285051077,212.50604768985394,ID08,853.9325949966097
