candidate,x_mm,y_mm,z_mm,z_uncertainty_improve_med,z_uncertainty_improve_p05,d3_uncertainty_improve_med,d3_uncertainty_improve_p05
center_low_level,1538.4472839734951,2291.9294054334077,70.90507193322514,3.5363186466905567,0.10628385429215718,2.7759267149859213,0.3213019829598707
center_extra_high,1538.4472839734951,2291.9294054334077,-2473.451606730163,3.3203191759537916,1.758466916090623,2.749511158499871,1.3435643060829454
center_high_level,1538.4472839734951,2291.9294054334077,-1673.451606730163,2.1525662381279176,0.22668885180182524,1.7828146611147844,0.33790199140408683
center_mid_level,1538.4472839734951,2291.9294054334077,-735.3788714269259,1.5005334840162021,0.07899079021166461,1.4023448731103159,0.19914639461770495
west_mid_extra_high,-800.0,2291.9294054334077,-2473.451606730163,1.3652837838577057,0.4320571505586056,1.5065113296652939,0.6641105020116661
north_mid_extra_high,1538.4472839734951,5472.264243973856,-2473.451606730163,1.2682219101717678,0.31494682040599753,1.0909751571583541,0.32567886361450105
east_mid_extra_high,3967.2485543331886,2291.9294054334077,-2473.451606730163,1.2556357451147235,0.5841088573473648,1.25968678756891,0.6512191135002798
south_mid_extra_high,1538.4472839734951,-903.5380023829606,-2473.451606730163,0.9277427898657393,0.38149917947745493,0.7945011338644079,0.39774029807287975
east_mid_low_level,3967.2485543331886,2291.9294054334077,70.90507193322514,0.857963572635903,0.014025357824197117,0.9468931827919107,0.6881401270720218
ne_corner_extra_high,3967.2485543331886,5472.264243973856,-2473.451606730163,0.8445057541730492,0.23609742645970969,0.788367256232327,0.39156457448922666
nw_corner_extra_high,-800.0,5472.264243973856,-2473.451606730163,0.7783269743343411,0.15611588928894912,1.0134425915225265,0.3860582359090238
north_mid_low_level,1538.4472839734951,5472.264243973856,70.90507193322514,0.7664157711935857,0.00017172160601077734,0.724456828545307,0.1105167250039564
west_mid_low_level,-800.0,2291.9294054334077,70.90507193322514,0.7659076296995835,0.001354111014902415,1.0410916533971815,0.5125083912415114
sw_corner_extra_high,-800.0,-903.5380023829606,-2473.451606730163,0.7572031437090452,0.2160776469489278,0.8701878151481353,0.3851649152809237
se_corner_extra_high,3967.2485543331886,-903.5380023829606,-2473.451606730163,0.6223781859875608,0.29548305471775504,0.6808905701065342,0.4355782850142589
west_mid_high_level,-800.0,2291.9294054334077,-1673.451606730163,0.5998646178073237,0.014534066130708113,0.8960045749586527,0.36915274572741696
south_mid_low_level,1538.4472839734951,-903.5380023829606,70.90507193322514,0.5558698000954578,0.009186633954370292,0.5377290109486168,0.11502646586018414
ne_corner_low_level,3967.2485543331886,5472.264243973856,70.90507193322514,0.48795506517237897,0.0032352245343918893,0.6153760608350538,0.21468336117990602
north_mid_high_level,1538.4472839734951,5472.264243973856,-1673.451606730163,0.4596087612652724,0.004712411159101749,0.46589709635658494,0.09917656690862914
east_mid_high_level,3967.2485543331886,2291.9294054334077,-1673.451606730163,0.45264428834872916,0.027951868866428243,0.6740425299855417,0.4297989378749939
se_corner_low_level,3967.2485543331886,-903.5380023829606,70.90507193322514,0.3892790368518959,0.019102221302654245,0.5676334905813931,0.32211594140430294
south_mid_high_level,1538.4472839734951,-903.5380023829606,-1673.451606730163,0.38142851556737867,0.028853740815714346,0.39420400624120333,0.11822631526778907
nw_corner_low_level,-800.0,5472.264243973856,70.90507193322514,0.3672366274538348,0.005045028684795838,0.6117300430426695,0.28874169696575186
sw_corner_low_level,-800.0,-903.5380023829606,70.90507193322514,0.3271662374438158,0.00035398711110303795,0.46421811575152105,0.22038372141446985
west_mid_mid_level,-800.0,2291.9294054334077,-735.3788714269259,0.300090224097076,0.0045508089394751036,0.7386162066239663,0.2857638849687696
nw_corner_high_level,-800.0,5472.264243973856,-1673.451606730163,0.29106540535972414,0.0006104833486116235,0.5465790371054382,0.20348994866323483
sw_corner_high_level,-800.0,-903.5380023829606,-1673.451606730163,0.2574703844160169,0.013670381559621348,0.432885050248359,0.17867303189946
se_corner_high_level,3967.2485543331886,-903.5380023829606,-1673.451606730163,0.2234701492539557,0.02639931458573166,0.4110709981858065,0.27339616925700766
ne_corner_high_level,3967.2485543331886,5472.264243973856,-1673.451606730163,0.21471945175467155,0.004390173359512773,0.3449401929025413,0.21645516903100628
north_mid_mid_level,1538.4472839734951,5472.264243973856,-735.3788714269259,0.20935766949143897,0.011172192479270393,0.28876204732048194,0.0946772770486973
nw_corner_mid_level,-800.0,5472.264243973856,-735.3788714269259,0.12741181306750704,0.002480626903886218,0.5126224681623981,0.18287219246097663
east_mid_mid_level,3967.2485543331886,2291.9294054334077,-735.3788714269259,0.11128397669594392,0.017617518820013344,0.5542711107588119,0.35068443465641014
sw_corner_mid_level,-800.0,-903.5380023829606,-735.3788714269259,0.087707933783566,0.00044559419583407596,0.3247835084967292,0.14596187080214448
south_mid_mid_level,1538.4472839734951,-903.5380023829606,-735.3788714269259,0.08608450991528471,0.007599035108936647,0.16260714189481007,0.08242568157645991
ne_corner_mid_level,3967.2485543331886,5472.264243973856,-735.3788714269259,0.0752639148405585,0.0040558158720671155,0.3069215867599411,0.21774350250383423
se_corner_mid_level,3967.2485543331886,-903.5380023829606,-735.3788714269259,0.03493826459855853,0.0033939013873300903,0.3088789448513367,0.2385118839834661
