condition,group_by,group,captures,ok_captures,solved_rate_median,fail_rate_median,X_med,Y_med,Z_med,D3_med,Z_share_med,D3_p95,Z_p95,worst_capture,worst_D3
baseline_all_available,all,all,23,23,100.0,0.0,25.975113058014927,16.258500416885887,37.86954842595105,49.248322877789434,62.14159532367675,81.64710266011102,67.8255015527524,ID08,88.19396564001775
baseline_all_available,location,edge,11,11,100.0,0.0,26.346519430161592,18.08924765184743,41.75476883881653,50.42625964291273,62.14159532367675,85.24227704909732,69.6140722421479,ID08,88.19396564001775
baseline_all_available,location,center,12,12,100.0,0.0,25.93764891234761,15.007821275469855,36.52587257369059,46.88088226389751,63.01666208387813,64.38542845556383,55.79062991735505,ID18,67.88801205761357
baseline_all_available,height,low,7,7,100.0,0.0,27.105614516869775,16.37581561286489,49.94361318484686,59.68265202148891,70.77473253479776,73.46541495154679,65.92463516246534,ID07,75.85573047751818
baseline_all_available,height,mid,8,8,100.0,0.0,22.73276559563378,16.647653195835126,39.81215863238379,48.81191827946937,66.07824142280818,76.25249753833629,60.951182362534254,ID08,88.19396564001775
baseline_all_available,height,high,8,8,100.0,0.0,25.93764891234761,15.179989642935146,29.29719871047305,41.56308420484635,47.2683546020502,69.9218300401421,54.20374128172271,ID09,82.2905884581769
baseline_all_available,facing,ABEF,6,6,100.0,0.0,23.64457794926507,17.56521075499198,36.102420456218965,47.30265800267497,64.4141281434689,58.60160082430037,49.35180715786839,ID17,61.519678235704966
baseline_all_available,facing,BCGF,6,6,100.0,0.0,25.800014978049624,14.177886654357263,39.72734404696904,49.69198550316573,63.41702120297857,64.43488038058499,56.71222623214918,ID18,67.88801205761357
baseline_all_available,facing,CDHG,6,6,100.0,0.0,30.363360079566036,17.599146610878435,55.952261505399406,67.76919124950355,63.033695800177,86.71812134455755,70.34414205542798,ID08,88.19396564001775
baseline_all_available,facing,ADHE,5,5,100.0,0.0,25.90018476668029,17.6781297694714,35.35182589225964,47.77646796885217,54.751449264403526,56.14061855659143,48.38514463237692,ID20,57.5692082850111
no_A,all,all,23,23,100.0,0.0,28.83033903565682,17.27323570294372,43.86586639578658,54.35892442974706,62.38935217921456,74.45684503667694,59.557359857811086,ID08,93.32538513711523
no_A,location,edge,11,11,100.0,0.0,29.25340446037293,19.007241999218053,44.313645706084124,55.49538665343549,60.74184296637683,84.08132311684949,67.3797485021272,ID08,93.32538513711523
no_A,location,center,12,12,100.0,0.0,28.796668093763763,16.396724473827497,43.22445496377074,53.31948940658954,63.061891594274826,65.32491351520851,54.88769656048125,ID18,71.03310049751559
no_A,height,low,7,7,100.0,0.0,31.93711896998891,17.28309237389976,44.313645706084124,57.76491182278217,62.38935217921456,67.91954396171172,57.0126113831101,ID18,71.03310049751559
no_A,height,mid,8,8,100.0,0.0,26.386901506759596,17.489564332415398,44.87839978610913,56.746117507304774,66.1302276305374,83.015801075157,67.88374317351987,ID08,93.32538513711523
no_A,height,high,8,8,100.0,0.0,29.00820080612182,16.534714128351677,34.02002216982796,48.938284853217965,50.34547114069004,67.49313655587619,53.729975832840125,ID09,74.83726109658376
no_A,facing,ABEF,6,6,100.0,0.0,28.796668093763763,18.140238851080888,43.51016317492596,52.96831674253311,63.061891594274826,61.324757907807424,52.0614624654328,ID02,62.511373269482505
no_A,facing,BCGF,6,6,100.0,0.0,30.83712833000414,16.06288657527512,43.15905679804781,54.64047247329695,55.885521306860525,69.24218304173104,56.10443975694478,ID18,71.03310049751559
