capture_id,n_matched_samples,abs_relative_distance_error_mean_mm,abs_relative_distance_error_rmse_mm,abs_relative_distance_error_p50_mm,abs_relative_distance_error_p90_mm,abs_relative_distance_error_p95_mm,abs_relative_distance_error_max_mm,signed_relative_distance_error_median_mm
R01,1200,81.42828273928454,101.35502701223245,69.23528541534853,168.60689171386804,194.81082316212817,319.02410261081195,51.799526838582324
R02,1199,83.34963830521339,100.4924895789322,76.15576574454599,161.63964317441278,182.2604957721034,305.86465642764495,4.206836890379805
R03,1050,61.69111986093766,76.8065635010274,52.82877172995944,125.89321286565459,147.58150702661626,258.7048544494205,36.82850057907285
R04,1200,81.41050852683642,96.33553006974783,75.68370374964479,149.888755234524,174.4691606326398,284.18856872569245,33.73751456919342
R05,1198,90.42185165037009,111.61133664186036,77.32709577591982,179.03511201164483,216.76969492413363,430.928706778529,72.46030877589419
R06,1200,80.08526754677524,98.38996338098322,68.87295005865826,160.870119418414,190.9550878354038,351.8381713228075,17.777827612793715
R07,1200,57.11332065913077,71.89593067843904,47.95551425171419,118.28480713402075,138.21413003980996,253.683448098663,-15.244137976430977
R08,1200,66.46081635221084,82.36979717451042,55.054133562246136,135.121147003777,161.48564928149582,322.03475326028104,24.820834101854985
R09,1200,96.70275067463523,112.41323264031544,95.65491823300442,172.27437725976614,197.51516472811895,317.5195138294944,35.49661298874588
R10,1200,57.321708013600556,72.2246316658044,47.85768848420008,116.75108001390275,140.82760737427338,265.42433351391026,22.784055783169947
R11,1201,70.46038471857925,93.50494810724419,54.97285651844243,158.0304823775906,184.2373433506507,496.0448451957161,-38.91097334288236
R12,1200,75.4515660700413,95.087742853191,63.26592598747834,155.1121506692547,193.1496664899531,325.89362131980204,27.37787228540037
R13,1201,61.61813928805208,76.11908042453663,54.994198048103044,125.20364064135197,143.07491920886002,282.90528657469645,-27.34459284122636
R14,1201,55.1317666981929,72.14490528933877,44.044599492700854,115.21980152486981,144.78654922457463,292.94121958807693,8.655949111756286
R15,1199,88.49275820958599,109.63464397834497,78.13166322828351,176.16097522529742,219.98349822169462,331.25103054609826,-72.33031574838367
R16,1201,60.405088860690846,75.5738004829616,51.73364316462903,122.66875479899181,144.9599482688942,296.41042958546393,17.939009092507945
R17,1201,68.73200267581839,85.18647081782193,59.600870789069404,140.7372045036775,164.01179713399404,304.3747413536339,-43.518978639215675
