listener,src,dp_peak_tap,mainlobe_end_tap,near_in_blind_mm,n_reflectors_postFP,n_preFP_artifacts,delay_spread_ns,strongest_dB,strongest_excess_mm
L9336,0xb136,806,809,2702.5,25,34,55.95,-13.63,3002.7
L9336,0xb15a,802,809,2702.5,8,0,9.66,-7.73,4804.4
L9336,0xb1f4,803,809,2702.5,16,10,43.52,-18.75,6906.3
L955A,0xb136,802,814,4203.8,34,85,61.62,-9.56,8407.6
L955A,0xb15a,803,809,2702.5,16,26,68.62,-12.82,3002.7
L955A,0xb1f4,803,807,2101.9,6,12,34.1,-28.86,15013.6
LB,0xb136,804,809,2702.5,8,0,29.27,-13.72,4804.4
LB,0xb15a,803,809,2702.5,38,87,58.02,-9.71,4804.4
LB,0xb1f4,802,811,3303.0,21,30,53.91,-4.63,4203.8
LE,0xb136,803,810,3002.7,15,12,38.24,-11.87,5104.6
LE,0xb15a,806,814,4203.8,7,2,12.52,-3.42,5104.6
LE,0xb1f4,804,807,2101.9,14,9,15.68,-1.57,4804.4
LF,0xb136,804,806,1801.6,25,34,41.6,-7.19,2402.2
LF,0xb15a,802,809,2702.5,8,0,18.11,-12.12,4804.4
LF,0xb1f4,802,808,2402.2,25,26,38.24,-4.37,3303.0
