capture_id,tag,b0_p95_mm,fusion_p95_mm,improvement_p95_mm
R01,BS2DCE,595.4802850951193,169.43691081224833,426.0433742828709
R02,BS2DCE,336.26272848775994,120.66846483644105,215.5942636513189
R01,BSDC91,304.25507185810864,106.08250906648556,198.17256279162308
R05,BS2DCE,334.88371378802753,139.80956927375792,195.07414451426962
R04,BS2DCE,326.61429251530615,132.9464433506938,193.66784916461233
R09,BS2DCE,349.5924137462236,167.0525708370818,182.5398429091418
R08,BS2DCE,312.3937580582147,159.4597154497234,152.9340426084913
R03,BS2DCE,310.8326703379214,176.9488910314113,133.8837793065101
R05,BSDC91,189.85922999319786,60.09662683081795,129.76260316237992
R03,BSDC91,225.32846866485008,102.60599714360113,122.72247152124895
R12,BS2DCE,244.63101745445218,123.51498926385291,121.11602819059927
R07,BS2DCE,276.90277662663766,156.43128605679775,120.47149056983991
R17,BS2DCE,275.8541822436681,156.3440935995367,119.5100886441314
R13,BS2DCE,249.72353514227854,131.3111526194027,118.41238252287584
R08,BSDC91,182.18448993708114,64.42244493674167,117.76204500033947
R04,BSDC91,216.15981068919183,99.08132964042855,117.07848104876328
R06,BS2DCE,272.08960363594827,155.63636892194103,116.45323471400724
R10,BS2DCE,270.43865722104186,156.93916315261103,113.49949406843083
R09,BSDC91,212.32958297609255,100.34481988384032,111.98476309225224
R16,BS2DCE,244.32922347298398,132.91701887262766,111.41220460035632
R11,BS2DCE,261.4130936183177,151.12757505341014,110.28551856490756
R10,BSDC91,192.1404130077654,94.27177257962292,97.86864042814248
R13,BSDC91,180.92280009161016,86.86727138991112,94.05552870169903
R12,BSDC91,181.2620329226443,91.5176240148614,89.7444089077829
R14,BS2DCE,234.64761289969928,149.25080741409624,85.39680548560304
R06,BSDC91,196.01392407723662,110.62542866744464,85.38849540979199
R02,BSDC91,225.64721168527757,144.6148314556079,81.03238022966966
R15,BS2DCE,228.95666309125616,150.62155250720224,78.33511058405392
R07,BSDC91,177.82776317433792,100.1977512796846,77.63001189465332
R14,BSDC91,152.15983362913704,75.64015297817609,76.51968065096095
R17,BSDC91,180.87812504706253,104.51531475296754,76.36281029409498
R16,BSDC91,167.07141402631177,94.13094909890316,72.94046492740861
R11,BSDC91,165.30583743708036,97.13783748248065,68.16799995459971
R15,BSDC91,165.79139617562797,120.16060278689605,45.63079338873192
