capture_id,tag,b0_p95_mm,fusion_p95_mm,improvement_p95_mm
R01,BS2DCE,595.4802850951193,148.7310696775669,446.74921541755236
R02,BS2DCE,336.26272848775994,103.65685150253564,232.6058769852243
R04,BS2DCE,326.61429251530615,116.054269975897,210.56002253940915
R09,BS2DCE,349.5924137462236,141.8749646069453,207.7174491392783
R05,BS2DCE,334.88371378802753,130.94642779987032,203.9372859881572
R01,BSDC91,304.25507185810864,111.59181763495397,192.66325422315467
R08,BS2DCE,312.3937580582147,133.64623112156406,178.74752693665064
R04,BSDC91,216.15981068919183,74.7843804916641,141.37543019752775
R03,BS2DCE,310.8326703379214,170.9732575450189,139.8594127929025
R06,BS2DCE,272.08960363594827,132.95522846515752,139.13437517079075
R10,BS2DCE,270.43865722104186,132.04411752205925,138.3945396989826
R13,BS2DCE,249.72353514227854,119.3743555788735,130.34917956340502
R11,BS2DCE,261.4130936183177,133.694729781775,127.7183638365427
R07,BS2DCE,276.90277662663766,150.09516052419477,126.80761610244289
R15,BS2DCE,228.95666309125616,103.09544107608781,125.86122201516835
R16,BS2DCE,244.32922347298398,120.63021444679516,123.69900902618882
R12,BS2DCE,244.63101745445218,127.58066846242004,117.05034899203214
R17,BS2DCE,275.8541822436681,162.6693355454493,113.18484669821882
R10,BSDC91,192.1404130077654,80.39476565189344,111.74564735587197
R05,BSDC91,189.85922999319786,82.04727694093147,107.81195305226639
R06,BSDC91,196.01392407723662,89.46564701994302,106.5482770572936
R12,BSDC91,181.2620329226443,74.73661290973831,106.52542001290598
R09,BSDC91,212.32958297609255,106.12618644100154,106.20339653509102
R08,BSDC91,182.18448993708114,84.01778942400205,98.16670051307909
R03,BSDC91,225.32846866485008,130.95374060309413,94.37472806175595
R13,BSDC91,180.92280009161016,87.82261553087541,93.10018456073475
R02,BSDC91,225.64721168527757,134.39970300196714,91.24750868331043
R17,BSDC91,180.87812504706253,92.99747104166607,87.88065400539645
R14,BS2DCE,234.64761289969928,154.69571827147377,79.95189462822552
R14,BSDC91,152.15983362913704,72.84768139661321,79.31215223252383
R07,BSDC91,177.82776317433792,99.73832681105056,78.08943636328736
R15,BSDC91,165.79139617562797,90.16307367991956,75.6283224957084
R11,BSDC91,165.30583743708036,95.82965226341703,69.47618517366332
R16,BSDC91,167.07141402631177,102.97399843817182,64.09741558813995
