capture_id,tag,b0_p95_mm,fusion_p95_mm,improvement_p95_mm
R01,BS2DCE,595.4802850951193,185.11360453423603,410.3666805608832
R02,BS2DCE,336.26272848775994,120.3555634739474,215.90716501381254
R01,BSDC91,304.25507185810864,131.6163834352041,172.63868842290452
R04,BS2DCE,326.61429251530615,154.6876277911879,171.92666472411824
R05,BS2DCE,334.88371378802753,164.12930915299432,170.7544046350332
R09,BS2DCE,349.5924137462236,189.52679231413083,160.06562143209277
R08,BS2DCE,312.3937580582147,165.32481321695028,147.06894484126443
R03,BS2DCE,310.8326703379214,188.87443029503973,121.95824004288167
R07,BS2DCE,276.90277662663766,159.4062745636695,117.49650206296815
R13,BS2DCE,249.72353514227854,132.8904544471645,116.83308069511403
R04,BSDC91,216.15981068919183,100.4673287951158,115.69248189407602
R03,BSDC91,225.32846866485008,115.98274364195655,109.34572502289353
R06,BS2DCE,272.08960363594827,162.78263826709164,109.30696536885662
R05,BSDC91,189.85922999319786,83.00103901140933,106.85819098178852
R09,BSDC91,212.32958297609255,106.01384122029975,106.3157417557928
R12,BS2DCE,244.63101745445218,139.53197990563862,105.09903754881356
R11,BS2DCE,261.4130936183177,157.69890407218747,103.71418954613023
R17,BS2DCE,275.8541822436681,172.73202422438362,103.12215801928448
R16,BS2DCE,244.32922347298398,142.1745742538837,102.15464921910029
R08,BSDC91,182.18448993708114,80.91396603196796,101.27052390511318
R10,BS2DCE,270.43865722104186,169.75822535526333,100.68043186577853
R15,BS2DCE,228.95666309125616,131.07616027671543,97.88050281454073
R02,BSDC91,225.64721168527757,133.65510925639052,91.99210242888705
R06,BSDC91,196.01392407723662,105.31085628413982,90.7030677930968
R10,BSDC91,192.1404130077654,106.41448459534494,85.72592841242046
R12,BSDC91,181.2620329226443,95.71732548218522,85.54470744045908
R13,BSDC91,180.92280009161016,97.40374010145561,83.51905999015455
R14,BS2DCE,234.64761289969928,154.10232120588,80.54529169381928
R17,BSDC91,180.87812504706253,108.73363343985481,72.14449160720771
R11,BSDC91,165.30583743708036,94.29627031240851,71.00956712467185
R07,BSDC91,177.82776317433792,111.50902780373073,66.31873537060719
R14,BSDC91,152.15983362913704,86.62006666701221,65.53976696212483
R15,BSDC91,165.79139617562797,105.35935722317328,60.43203895245469
R16,BSDC91,167.07141402631177,113.87044280294687,53.2009712233649
