capture_id,tag,b0_p95_mm,fusion_p95_mm,improvement_p95_mm
R01,BS2DCE,595.4802850951193,188.44943064009163,407.0308544550276
R02,BS2DCE,336.26272848775994,123.48139828761269,212.78133020014724
R05,BS2DCE,334.88371378802753,171.27337691184798,163.61033687617956
R04,BS2DCE,326.61429251530615,163.42990640215373,163.1843861131524
R01,BSDC91,304.25507185810864,144.76880477860144,159.4862670795072
R09,BS2DCE,349.5924137462236,201.06377148192493,148.52864226429867
R08,BS2DCE,312.3937580582147,164.79049075309692,147.60326730511778
R04,BSDC91,216.15981068919183,90.86189746417631,125.29791322501552
R07,BS2DCE,276.90277662663766,159.54581047027267,117.35696615636499
R03,BSDC91,225.32846866485008,110.7296686064208,114.59880005842928
R03,BS2DCE,310.8326703379214,198.47863119204104,112.35403914588036
R06,BS2DCE,272.08960363594827,161.64287395255676,110.44672968339151
R05,BSDC91,189.85922999319786,79.55248738934168,110.30674260385618
R13,BS2DCE,249.72353514227854,140.80035655515798,108.92317858712056
R12,BS2DCE,244.63101745445218,137.36363916618777,107.26737828826441
R16,BS2DCE,244.32922347298398,139.06654723493347,105.26267623805052
R17,BS2DCE,275.8541822436681,171.46194899086228,104.39223325280582
R09,BSDC91,212.32958297609255,108.35783338265792,103.97174959343464
R15,BS2DCE,228.95666309125616,126.24009528428277,102.71656780697339
R08,BSDC91,182.18448993708114,79.50405707819205,102.68043285888909
R11,BS2DCE,261.4130936183177,163.97119991492852,97.44189370338918
R10,BSDC91,192.1404130077654,101.44833135348884,90.69208165427656
R10,BS2DCE,270.43865722104186,180.66414569560382,89.77451152543804
R12,BSDC91,181.2620329226443,94.5934787344422,86.6685541882021
R02,BSDC91,225.64721168527757,139.42130890091752,86.22590278436004
R06,BSDC91,196.01392407723662,113.50999842859464,82.50392564864198
R07,BSDC91,177.82776317433792,100.46051064851336,77.36725252582455
R14,BS2DCE,234.64761289969928,159.8286405396068,74.81897236009249
R13,BSDC91,180.92280009161016,106.29878576101022,74.62401433059993
R17,BSDC91,180.87812504706253,107.97845535789432,72.8996696891682
R11,BSDC91,165.30583743708036,97.8286880600865,67.47714937699385
R16,BSDC91,167.07141402631177,104.28391964790501,62.78749437840676
R14,BSDC91,152.15983362913704,90.85042669117571,61.30940693796133
R15,BSDC91,165.79139617562797,118.3526428249991,47.43875335062887
