dataset,ID,capture,peer,version,N,value_mm,x_std,y_std,z_std,rms_3d,radius_mm,radial_std,z_plane_std
static,ID01,ID01_static_center_low_20260504_191930,BSF66F,V3-lite,601,65.52344408012215,18.39512976699863,25.68968712122281,57.40192418891421,,,,
static,ID01,ID01_static_center_low_20260504_191930,BSF66F,V4-interonly,601,80.67525867779956,18.941671117931374,27.495072180732155,73.44202791158702,,,,
static,ID02,ID02_static_center_mid_20260504_192643,BSF66F,V3-lite,601,41.47890938393591,13.205456659228776,18.133764646358888,34.88957462985843,,,,
static,ID02,ID02_static_center_mid_20260504_192643,BSF66F,V4-interonly,601,41.0052013977347,12.978518523219845,18.449333122334213,34.24334542582493,,,,
static,ID03,ID03_static_center_high_20260504_193419,BSF66F,V3-lite,601,51.500412340563074,17.48223265637707,27.65737095505196,39.771017644146006,,,,
static,ID03,ID03_static_center_high_20260504_193419,BSF66F,V4-interonly,601,49.77084553131904,17.145999146607924,27.809621565698563,37.546993575246134,,,,
static,ID04,ID04_static_abef_low_20260504_193907,BSF66F,V3-lite,600,120.32611504222581,38.64138553720615,53.4396075902862,100.64504769493719,,,,
static,ID04,ID04_static_abef_low_20260504_193907,BSF66F,V4-interonly,600,128.1846860858856,42.98291038503873,58.435945205527275,105.68360076050294,,,,
static,ID05,ID05_static_abef_mid_20260504_194325,BSF66F,V3-lite,601,134.45132184418006,34.86382057531571,36.653052379846635,124.57217069546351,,,,
static,ID05,ID05_static_abef_mid_20260504_194325,BSF66F,V4-interonly,601,140.26827538679876,37.44388274438773,38.48702271522515,129.583539878833,,,,
static,ID06,ID06_static_abef_high_20260504_194915,BSF66F,V3-lite,601,44.82352769271366,18.65141164872977,29.077034060667874,28.562205246861733,,,,
static,ID06,ID06_static_abef_high_20260504_194915,BSF66F,V4-interonly,601,44.38470941388819,18.163948296598026,29.578217918553914,27.662292688718786,,,,
static,ID07,ID07_static_bcgf_low_20260504_195344,BSF66F,V3-lite,601,65.36628671125067,19.524372434921112,25.342580946760467,57.00266581833529,,,,
static,ID07,ID07_static_bcgf_low_20260504_195344,BSF66F,V4-interonly,601,73.7950805844556,19.988136341371558,29.01978535836952,64.83857171328808,,,,
static,ID08,ID08_static_bcgf_mid_20260504_195949,BSF66F,V3-lite,601,61.37248657641165,19.226531547311087,31.7313721658672,48.88806207760038,,,,
static,ID08,ID08_static_bcgf_mid_20260504_195949,BSF66F,V4-interonly,601,62.788369705712874,19.24866501751445,34.445010469207624,48.84065436827168,,,,
static,ID09,ID09_static_bcgf_high_20260504_200457,BSF66F,V3-lite,601,53.66552820773016,30.847880498303542,29.02011203833746,32.95800788669435,,,,
static,ID09,ID09_static_bcgf_high_20260504_200457,BSF66F,V4-interonly,601,53.031351641404434,30.38787228850756,29.216669844104693,32.175886590927476,,,,
static,ID10,ID10_static_cdhg_low_20260504_200934,BSF66F,V3-lite,601,62.06097620725074,21.130063641488462,22.315934712189335,53.91738343266384,,,,
static,ID10,ID10_static_cdhg_low_20260504_200934,BSF66F,V4-interonly,601,80.90959626119889,29.703324233800505,32.72007042611814,67.77515981480086,,,,
static,ID11,ID11_static_cdhg_mid_20260504_201411,BSF66F,V3-lite,601,71.51381210754485,20.22400206929902,17.287657033131328,66.38035836570215,,,,
