listener,azimuth_deg,excess_delay_ns,bistatic_range_m,power_dB
LB,-157.0,15.024,4.504,-5.18
LB,-149.0,15.024,4.504,-4.89
LB,-141.0,15.024,4.504,-5.09
LB,-137.0,15.024,4.504,-5.85
LB,-79.5,15.024,4.504,-4.74
LB,-75.5,15.024,4.504,-3.37
LB,-71.0,15.024,4.504,-5.07
LB,-57.5,15.024,4.504,-3.65
LB,-53.5,15.024,4.504,-0.91
LB,-49.0,15.024,4.504,-0.96
LB,-41.5,15.024,4.504,-2.85
LB,-38.0,15.024,4.504,-0.63
LB,-30.5,15.024,4.504,0.0
LB,-23.5,15.024,4.504,-2.1
LB,-19.0,15.024,4.504,-0.55
LB,-13.0,15.024,4.504,-5.17
LB,-8.0,15.024,4.504,-1.94
LB,-4.0,15.024,4.504,-1.06
LB,0.5,15.024,4.504,-1.06
LB,4.5,15.024,4.504,-1.41
LB,8.5,15.024,4.504,-2.81
LB,16.5,15.024,4.504,-4.45
LB,20.5,15.024,4.504,-0.99
LB,24.5,15.024,4.504,-5.24
LB,28.5,15.024,4.504,-1.93
LB,32.0,15.024,4.504,-4.19
LB,36.5,15.024,4.504,-1.26
LB,44.0,15.024,4.504,-2.75
LB,48.5,15.024,4.504,-1.37
LB,53.5,15.024,4.504,-1.87
LB,58.0,15.024,4.504,-2.4
LB,62.5,15.024,4.504,-2.48
LB,67.5,15.024,4.504,-2.63
LB,72.0,15.024,4.504,-5.41
LB,79.5,15.024,4.504,-4.21
LB,-177.5,16.026,4.804,-5.94
LB,-173.5,16.026,4.804,-5.34
LB,-169.0,16.026,4.804,-4.65
LB,-165.0,16.026,4.804,-4.61
LB,-153.0,16.026,4.804,-5.57
LB,-19.0,16.026,4.804,-4.07
LB,-8.0,16.026,4.804,-5.43
LB,-3.5,16.026,4.804,-4.19
LB,1.0,16.026,4.804,-4.17
LB,5.0,16.026,4.804,-5.09
LB,61.5,16.026,4.804,-5.88
LB,78.0,16.026,4.804,-4.65
LB,86.0,16.026,4.804,-5.1
LB,94.0,16.026,4.804,-3.98
LB,105.5,16.026,4.804,-4.98
LB,110.0,16.026,4.804,-4.11
LB,114.5,16.026,4.804,-4.31
LB,118.5,16.026,4.804,-4.54
LB,123.0,16.026,4.804,-5.22
LB,168.5,16.026,4.804,-5.55
LB,-180.0,17.027,5.105,-5.57
LB,-175.5,17.027,5.105,-5.77
LB,-171.0,17.027,5.105,-5.88
LB,4.0,17.027,5.105,-6.0
LB,16.0,17.027,5.105,-4.48
LB,20.0,17.027,5.105,-4.05
LB,24.0,17.027,5.105,-5.58
LB,28.0,17.027,5.105,-3.87
LB,32.0,17.027,5.105,-5.59
LB,36.0,17.027,5.105,-4.34
LB,40.0,17.027,5.105,-5.04
LB,52.5,17.027,5.105,-5.59
LB,57.0,17.027,5.105,-5.48
LB,78.0,17.027,5.105,-5.74
LB,86.0,17.027,5.105,-5.11
LB,129.5,17.027,5.105,-5.66
LB,133.5,17.027,5.105,-5.92
LB,141.0,17.027,5.105,-4.3
LB,148.5,17.027,5.105,-3.8
LB,156.0,17.027,5.105,-3.44
LB,160.0,17.027,5.105,-5.44
LB,167.0,17.027,5.105,-4.22
LB,171.5,17.027,5.105,-3.75
LB,176.0,17.027,5.105,-4.75
LB,-176.0,18.029,5.405,-5.34
LB,-172.0,18.029,5.405,-4.7
LB,-168.0,18.029,5.405,-5.68
LB,-156.5,18.029,5.405,-4.84
LB,-148.0,18.029,5.405,-4.54
LB,-140.5,18.029,5.405,-5.8
LB,-136.0,18.029,5.405,-4.79
LB,36.5,18.029,5.405,-5.6
LB,49.0,18.029,5.405,-5.91
LB,53.5,18.029,5.405,-5.36
LB,58.5,18.029,5.405,-5.49
LB,63.5,18.029,5.405,-5.78
LB,91.5,18.029,5.405,-5.49
LB,103.5,18.029,5.405,-3.65
LB,108.0,18.029,5.405,-4.32
LB,112.5,18.029,5.405,-5.72
LB,117.0,18.029,5.405,-5.71
LB,121.0,18.029,5.405,-3.92
LB,125.5,18.029,5.405,-2.14
LB,129.5,18.029,5.405,-2.69
LB,137.0,18.029,5.405,-5.18
LB,141.0,18.029,5.405,-2.57
LB,148.0,18.029,5.405,-2.44
LB,155.5,18.029,5.405,-3.71
LB,159.5,18.029,5.405,-5.7
LB,171.0,18.029,5.405,-4.29
LB,175.0,18.029,5.405,-4.89
LB,179.5,18.029,5.405,-5.56
LB,-84.5,19.03,5.705,-5.96
LB,60.0,19.03,5.705,-5.6
LB,64.5,19.03,5.705,-5.7
LB,76.5,19.03,5.705,-3.8
LB,84.5,19.03,5.705,-4.96
LB,92.5,19.03,5.705,-3.84
LB,104.5,19.03,5.705,-4.12
LB,109.0,19.03,5.705,-4.94
LE,-176.0,15.024,4.504,-4.28
LE,-172.0,15.024,4.504,-3.98
LE,-167.5,15.024,4.504,-3.24
LE,-163.5,15.024,4.504,-2.72
LE,-159.5,15.024,4.504,-2.88
LE,-155.5,15.024,4.504,-2.28
LE,-151.5,15.024,4.504,-1.97
LE,-147.0,15.024,4.504,-1.6
LE,-143.0,15.024,4.504,-1.4
LE,-139.0,15.024,4.504,-0.87
LE,-134.5,15.024,4.504,-1.01
LE,-130.5,15.024,4.504,-1.19
LE,-126.0,15.024,4.504,-1.14
LE,-121.0,15.024,4.504,-1.07
LE,-116.0,15.024,4.504,-1.24
LE,-110.5,15.024,4.504,-1.35
LE,-104.5,15.024,4.504,-1.62
LE,-98.0,15.024,4.504,-2.07
LE,-89.5,15.024,4.504,-2.67
LE,-78.5,15.024,4.504,-3.58
LE,-75.0,15.024,4.504,-2.13
LE,-70.5,15.024,4.504,-3.07
LE,-65.5,15.024,4.504,-3.88
LE,-61.0,15.024,4.504,-3.2
LE,-57.0,15.024,4.504,-1.92
LE,-53.0,15.024,4.504,-2.06
LE,-41.0,15.024,4.504,-1.91
LE,-33.5,15.024,4.504,-3.59
LE,-26.0,15.024,4.504,-3.5
LE,-18.5,15.024,4.504,-4.67
LE,-14.5,15.024,4.504,-4.8
LE,17.5,15.024,4.504,-5.11
LE,25.5,15.024,4.504,-5.67
LE,33.5,15.024,4.504,-5.5
LE,41.5,15.024,4.504,-4.14
LE,46.0,15.024,4.504,-5.18
LE,64.5,15.024,4.504,-5.69
LE,70.0,15.024,4.504,-3.63
LE,75.5,15.024,4.504,-3.51
LE,83.0,15.024,4.504,-2.95
LE,91.5,15.024,4.504,-2.78
LE,106.0,15.024,4.504,-2.47
LE,114.0,15.024,4.504,-3.38
LE,119.0,15.024,4.504,-2.96
LE,123.0,15.024,4.504,-2.34
LE,138.0,15.024,4.504,-2.86
LE,146.0,15.024,4.504,-3.14
LE,153.5,15.024,4.504,-3.26
LE,159.5,15.024,4.504,-4.02
LE,165.0,15.024,4.504,-3.63
LE,170.0,15.024,4.504,-4.2
LE,175.0,15.024,4.504,-4.5
LE,179.5,15.024,4.504,-4.43
LE,-176.0,16.026,4.804,-3.69
LE,-172.0,16.026,4.804,-3.3
LE,-167.5,16.026,4.804,-2.75
LE,-163.5,16.026,4.804,-2.42
LE,-159.5,16.026,4.804,-2.11
LE,-155.5,16.026,4.804,-2.06
LE,-151.5,16.026,4.804,-1.98
LE,-147.5,16.026,4.804,-2.01
LE,-143.0,16.026,4.804,-1.87
LE,-139.0,16.026,4.804,-2.27
LE,-135.0,16.026,4.804,-2.04
LE,-130.5,16.026,4.804,-1.73
LE,-126.0,16.026,4.804,-1.78
LE,-121.0,16.026,4.804,-1.89
LE,-116.5,16.026,4.804,-1.66
LE,-111.5,16.026,4.804,-2.08
LE,-104.5,16.026,4.804,-2.73
LE,-99.5,16.026,4.804,-1.85
LE,-96.0,16.026,4.804,-5.01
LE,-91.5,16.026,4.804,-1.5
LE,-88.0,16.026,4.804,-3.27
LE,-83.5,16.026,4.804,-4.29
LE,-79.5,16.026,4.804,-0.98
LE,-75.5,16.026,4.804,-1.54
LE,-71.5,16.026,4.804,-3.87
LE,-67.0,16.026,4.804,-5.53
LE,-62.5,16.026,4.804,-5.85
LE,-57.5,16.026,4.804,-3.63
LE,-53.0,16.026,4.804,-0.89
LE,-49.0,16.026,4.804,-1.34
LE,-41.0,16.026,4.804,-2.4
LE,-37.5,16.026,4.804,-1.82
LE,-30.0,16.026,4.804,-1.19
LE,-25.5,16.026,4.804,-3.33
LE,-18.5,16.026,4.804,-0.56
LE,-13.5,16.026,4.804,-3.25
LE,-7.5,16.026,4.804,-4.36
LE,-3.0,16.026,4.804,-3.51
LE,1.5,16.026,4.804,-3.92
LE,6.0,16.026,4.804,-5.63
LE,18.0,16.026,4.804,-3.89
LE,30.0,16.026,4.804,-5.25
LE,35.5,16.026,4.804,-5.25
LE,42.5,16.026,4.804,-3.52
LE,47.5,16.026,4.804,-3.75
LE,53.0,16.026,4.804,-4.5
LE,58.0,16.026,4.804,-4.61
LE,62.5,16.026,4.804,-3.94
LE,67.0,16.026,4.804,-2.57
LE,71.5,16.026,4.804,-1.76
LE,76.0,16.026,4.804,-3.68
LE,79.5,16.026,4.804,-3.0
LE,84.0,16.026,4.804,-2.18
LE,87.5,16.026,4.804,-3.59
LE,92.0,16.026,4.804,-3.03
LE,95.5,16.026,4.804,-2.14
LE,99.5,16.026,4.804,-4.97
LE,103.5,16.026,4.804,-4.6
LE,108.0,16.026,4.804,-3.28
LE,112.0,16.026,4.804,-3.01
LE,116.5,16.026,4.804,-3.38
LE,120.5,16.026,4.804,-4.0
LE,125.0,16.026,4.804,-5.58
LE,136.0,16.026,4.804,-5.35
LE,170.0,16.026,4.804,-5.6
LE,175.0,16.026,4.804,-4.95
LE,179.5,16.026,4.804,-4.29
LE,-88.0,17.027,5.105,-5.36
LE,-79.5,17.027,5.105,-5.65
LE,-75.5,17.027,5.105,-4.57
LE,-71.5,17.027,5.105,-4.45
LE,-67.0,17.027,5.105,-4.73
LE,-63.0,17.027,5.105,-4.7
LE,-58.5,17.027,5.105,-4.57
LE,-53.5,17.027,5.105,-3.93
LE,-48.5,17.027,5.105,-3.57
LE,-42.5,17.027,5.105,-5.67
LE,-37.5,17.027,5.105,-2.97
LE,-30.0,17.027,5.105,-2.11
LE,-23.5,17.027,5.105,-2.23
LE,-18.0,17.027,5.105,-1.23
LE,-12.5,17.027,5.105,-1.36
LE,-7.5,17.027,5.105,-0.57
LE,-3.0,17.027,5.105,-0.16
LE,1.5,17.027,5.105,0.0
LE,6.0,17.027,5.105,-0.08
LE,10.0,17.027,5.105,-0.53
LE,14.5,17.027,5.105,-0.92
LE,18.5,17.027,5.105,-0.45
LE,22.5,17.027,5.105,-0.9
LE,26.5,17.027,5.105,-1.64
LE,30.5,17.027,5.105,-1.34
LE,34.5,17.027,5.105,-2.42
LE,38.5,17.027,5.105,-2.91
LE,43.0,17.027,5.105,-2.1
LE,47.5,17.027,5.105,-3.01
LE,52.0,17.027,5.105,-4.46
LE,57.5,17.027,5.105,-5.27
LE,62.5,17.027,5.105,-4.89
LE,67.0,17.027,5.105,-3.94
LE,71.5,17.027,5.105,-3.79
LE,76.0,17.027,5.105,-5.94
LE,79.5,17.027,5.105,-5.13
LE,84.0,17.027,5.105,-5.24
LE,95.5,17.027,5.105,-5.71
LE,163.0,17.027,5.105,-5.17
LE,167.0,17.027,5.105,-5.16
LE,-165.5,18.029,5.405,-5.87
LE,6.0,18.029,5.405,-5.25
LE,10.5,18.029,5.405,-4.39
LE,14.5,18.029,5.405,-4.02
LE,18.5,18.029,5.405,-4.45
LE,22.5,18.029,5.405,-3.57
LE,26.5,18.029,5.405,-3.58
LE,30.5,18.029,5.405,-3.7
LE,34.5,18.029,5.405,-3.89
LE,39.0,18.029,5.405,-3.79
LE,43.0,18.029,5.405,-4.68
LE,47.0,18.029,5.405,-5.26
LE,51.5,18.029,5.405,-5.58
LE,101.5,18.029,5.405,-5.51
LE,128.5,18.029,5.405,-2.81
LE,132.5,18.029,5.405,-2.32
LE,140.5,18.029,5.405,-3.03
LE,144.0,18.029,5.405,-2.89
LE,148.0,18.029,5.405,-5.25
LE,151.5,18.029,5.405,-2.81
LE,155.5,18.029,5.405,-3.29
LE,163.0,18.029,5.405,-2.29
LE,167.5,18.029,5.405,-3.31
LE,49.5,19.03,5.705,-5.35
LE,54.0,19.03,5.705,-4.5
LE,58.5,19.03,5.705,-3.93
LE,63.5,19.03,5.705,-3.82
LE,68.5,19.03,5.705,-4.15
LE,74.5,19.03,5.705,-3.35
LE,81.0,19.03,5.705,-3.73
LE,88.5,19.03,5.705,-3.57
LE,99.5,19.03,5.705,-3.32
LE,129.0,19.03,5.705,-5.31
LE,132.5,19.03,5.705,-5.48
LF,-170.0,15.024,4.504,-5.46
LF,-165.0,15.024,4.504,-5.16
LF,-159.0,15.024,4.504,-4.24
LF,-152.0,15.024,4.504,-4.07
LF,-143.0,15.024,4.504,-3.82
LF,-127.5,15.024,4.504,-4.94
LF,-123.0,15.024,4.504,-5.12
LF,-118.0,15.024,4.504,-5.72
LF,-49.0,15.024,4.504,-5.0
LF,-45.0,15.024,4.504,-2.63
LF,-37.0,15.024,4.504,-3.76
LF,-34.0,15.024,4.504,-4.67
LF,-29.5,15.024,4.504,-4.43
LF,-22.5,15.024,4.504,-2.96
LF,-11.0,15.024,4.504,-4.22
LF,-6.5,15.024,4.504,-4.84
LF,10.5,15.024,4.504,-5.63
LF,22.5,15.024,4.504,-4.88
LF,30.5,15.024,4.504,-5.51
LF,38.5,15.024,4.504,-3.98
LF,50.5,15.024,4.504,-4.77
LF,55.5,15.024,4.504,-4.42
LF,60.0,15.024,4.504,-4.6
LF,64.5,15.024,4.504,-5.57
LF,138.5,15.024,4.504,-5.79
LF,142.5,15.024,4.504,-5.83
LF,146.0,15.024,4.504,-5.79
LF,-179.5,16.026,4.804,-5.24
LF,-175.0,16.026,4.804,-5.21
LF,-170.5,16.026,4.804,-5.64
LF,-22.0,16.026,4.804,-4.85
LF,-10.5,16.026,4.804,-4.34
LF,-6.0,16.026,4.804,-3.3
LF,-2.0,16.026,4.804,-3.18
LF,2.5,16.026,4.804,-3.27
LF,7.0,16.026,4.804,-3.72
LF,11.5,16.026,4.804,-5.72
LF,176.0,16.026,4.804,-5.47
LF,-176.5,17.027,5.105,-5.5
LF,25.0,17.027,5.105,-5.87
LF,136.5,17.027,5.105,-4.18
LF,144.5,17.027,5.105,-4.75
LF,147.5,17.027,5.105,-5.56
LF,152.0,17.027,5.105,-4.07
LF,159.0,17.027,5.105,-2.73
LF,164.0,17.027,5.105,-5.68
LF,170.0,17.027,5.105,-5.45
LF,174.5,17.027,5.105,-4.53
LF,179.0,17.027,5.105,-4.76
LF,-176.5,18.029,5.405,-2.09
LF,-172.5,18.029,5.405,-2.31
LF,-168.5,18.029,5.405,-4.03
LF,-159.5,18.029,5.405,-3.12
LF,-157.0,18.029,5.405,-2.66
LF,-149.0,18.029,5.405,-2.07
LF,-141.5,18.029,5.405,-2.57
LF,-136.5,18.029,5.405,-2.17
LF,-131.5,18.029,5.405,-4.29
LF,-125.0,18.029,5.405,-4.55
LF,-120.5,18.029,5.405,-4.95
LF,-112.5,18.029,5.405,-4.74
LF,-108.0,18.029,5.405,-3.18
LF,-103.5,18.029,5.405,-5.11
LF,-95.5,18.029,5.405,-4.76
LF,66.5,18.029,5.405,-4.82
LF,71.5,18.029,5.405,-4.23
LF,79.0,18.029,5.405,-5.33
LF,84.0,18.029,5.405,-4.47
LF,92.0,18.029,5.405,-5.68
LF,96.0,18.029,5.405,-1.95
LF,107.5,18.029,5.405,-2.26
LF,112.0,18.029,5.405,-0.68
LF,116.0,18.029,5.405,-0.36
LF,120.5,18.029,5.405,-0.54
LF,125.0,18.029,5.405,-2.59
LF,132.0,18.029,5.405,-4.91
LF,136.0,18.029,5.405,0.0
LF,143.5,18.029,5.405,-2.73
LF,147.0,18.029,5.405,-3.25
LF,151.0,18.029,5.405,-3.33
LF,158.5,18.029,5.405,-1.39
LF,170.0,18.029,5.405,-2.88
LF,174.5,18.029,5.405,-2.04
LF,179.0,18.029,5.405,-2.11
LF,-177.5,19.03,5.705,-4.24
LF,-173.0,19.03,5.705,-3.64
LF,-169.0,19.03,5.705,-3.96
LF,-161.0,19.03,5.705,-5.99
LF,-157.0,19.03,5.705,-2.96
LF,-149.0,19.03,5.705,-2.82
LF,-141.0,19.03,5.705,-3.21
LF,-136.5,19.03,5.705,-3.13
LF,-132.0,19.03,5.705,-5.16
LF,-128.5,19.03,5.705,-5.7
LF,-124.0,19.03,5.705,-4.63
LF,-119.5,19.03,5.705,-4.49
LF,-115.0,19.03,5.705,-5.38
LF,-112.5,19.03,5.705,-4.33
LF,-107.5,19.03,5.705,-2.51
LF,-103.0,19.03,5.705,-2.82
LF,-99.5,19.03,5.705,-4.69
LF,-95.0,19.03,5.705,-2.06
LF,-91.0,19.03,5.705,-4.68
LF,-87.0,19.03,5.705,-2.38
LF,-83.0,19.03,5.705,-2.96
LF,-79.0,19.03,5.705,-5.02
LF,-74.5,19.03,5.705,-3.69
LF,-70.5,19.03,5.705,-2.66
LF,-66.0,19.03,5.705,-2.63
LF,-62.0,19.03,5.705,-2.85
LF,-57.0,19.03,5.705,-3.48
LF,-52.5,19.03,5.705,-5.64
LF,-46.0,19.03,5.705,-5.13
LF,-41.5,19.03,5.705,-4.24
LF,-34.0,19.03,5.705,-4.05
LF,-26.5,19.03,5.705,-4.3
LF,-15.0,19.03,5.705,-5.0
LF,27.0,19.03,5.705,-5.62
LF,35.0,19.03,5.705,-5.39
LF,40.5,19.03,5.705,-5.69
LF,47.5,19.03,5.705,-4.82
LF,52.5,19.03,5.705,-3.7
LF,57.0,19.03,5.705,-3.1
LF,61.5,19.03,5.705,-2.75
LF,66.5,19.03,5.705,-2.52
LF,71.5,19.03,5.705,-3.92
LF,74.0,19.03,5.705,-4.79
LF,79.0,19.03,5.705,-1.6
LF,83.5,19.03,5.705,-4.58
LF,86.5,19.03,5.705,-1.81
LF,91.0,19.03,5.705,-5.3
LF,95.0,19.03,5.705,-1.33
LF,99.0,19.03,5.705,-3.8
LF,103.0,19.03,5.705,-5.81
LF,107.5,19.03,5.705,-3.52
LF,111.5,19.03,5.705,-2.53
LF,116.0,19.03,5.705,-2.56
LF,120.5,19.03,5.705,-3.13
LF,125.0,19.03,5.705,-4.51
LF,130.5,19.03,5.705,-5.13
LF,136.0,19.03,5.705,-3.44
LF,142.0,19.03,5.705,-5.06
LF,148.0,19.03,5.705,-4.91
LF,158.5,19.03,5.705,-4.49
LF,170.0,19.03,5.705,-4.51
LF,174.0,19.03,5.705,-4.25
LF,178.0,19.03,5.705,-4.56
LF,-102.0,20.032,6.005,-5.27
LF,-94.0,20.032,6.005,-4.75
LF,-86.0,20.032,6.005,-4.35
LF,-82.0,20.032,6.005,-4.74
LF,-78.0,20.032,6.005,-5.52
LF,-74.0,20.032,6.005,-4.42
LF,-70.0,20.032,6.005,-3.51
LF,-65.5,20.032,6.005,-3.08
LF,-61.5,20.032,6.005,-2.88
LF,-57.0,20.032,6.005,-3.0
LF,-52.0,20.032,6.005,-4.03
LF,-46.5,20.032,6.005,-2.97
LF,-41.5,20.032,6.005,-2.34
LF,-34.5,20.032,6.005,-1.67
LF,-27.0,20.032,6.005,-1.43
LF,-19.5,20.032,6.005,-2.93
LF,-15.5,20.032,6.005,-1.54
LF,-10.5,20.032,6.005,-4.93
LF,-5.0,20.032,6.005,-5.07
LF,-0.5,20.032,6.005,-4.32
LF,4.0,20.032,6.005,-4.83
LF,8.0,20.032,6.005,-5.68
