phase,material,wall_count,walls,distance_cm,seed,metal_box_count,device,tag_points,trials,samples,range_bias_mean_m,range_sigma_mean_m,hor_err_p50_m,hor_err_p90_m,hor_err_p95_m,z_err_p50_m,z_err_p90_m,z_err_p95_m,pos_err_p50_m,pos_err_p90_m,pos_err_p95_m,failure_gt_0p5m_ratio,failure_gt_1p0m_ratio
phase3,light_drywall,4,x_min+x_max+y_min+y_max,0,,0,cuda:1,847,128,108416,0.040179505944252014,0.055112194269895554,0.05207604914903641,0.0975925475358963,0.11234857141971588,0.07693319022655487,0.16039741039276123,0.18423007428646088,0.10389307886362076,0.17305609583854675,0.19510529935359955,0.0,0.0
phase3,light_drywall,4,x_min+x_max+y_min+y_max,5,,0,cuda:1,847,128,108416,0.0348307341337204,0.0517692044377327,0.047032952308654785,0.08822169899940491,0.1013830304145813,0.06705224514007568,0.14224369823932648,0.16413122415542603,0.09225061535835266,0.15442204475402832,0.1741424947977066,0.0,0.0
phase3,light_drywall,4,x_min+x_max+y_min+y_max,10,,0,cuda:1,847,128,108416,0.03019399382174015,0.048871248960494995,0.042642995715141296,0.07963749766349792,0.09168799966573715,0.059183601289987564,0.12796860933303833,0.14802341163158417,0.08245862275362015,0.13890190422534943,0.15706269443035126,0.0,0.0
phase3,light_drywall,4,x_min+x_max+y_min+y_max,15,,0,cuda:1,847,128,108416,0.026174496859312057,0.04635906592011452,0.03887292742729187,0.07238161563873291,0.08333449065685272,0.05212198197841644,0.11461680382490158,0.13238021731376648,0.07365747541189194,0.12490280717611313,0.14120274782180786,0.0,0.0
phase3,light_drywall,4,x_min+x_max+y_min+y_max,20,,0,cuda:1,847,128,108416,0.022690093144774437,0.04418130964040756,0.035897307097911835,0.06656485795974731,0.076618492603302,0.04652278125286102,0.103950634598732,0.12094124406576157,0.06678469479084015,0.11396680772304535,0.12933939695358276,0.0,0.0
phase3,light_drywall,4,x_min+x_max+y_min+y_max,25,,0,cuda:1,847,128,108416,0.019669542089104652,0.04229346290230751,0.033099304884672165,0.06165427342057228,0.07052638381719589,0.041463665664196014,0.0942075178027153,0.10993627458810806,0.06058467924594879,0.10381682217121124,0.11789024621248245,0.0,0.0
phase3,light_drywall,4,x_min+x_max+y_min+y_max,30,,0,cuda:1,847,128,108416,0.0170510932803154,0.040656935423612595,0.030909081920981407,0.057295601814985275,0.06576676666736603,0.03736738860607147,0.0865694135427475,0.10113820433616638,0.05566071718931198,0.09554390609264374,0.10878850519657135,0.0,0.0
phase3,light_drywall,4,x_min+x_max+y_min+y_max,35,,0,cuda:1,847,128,108416,0.014781218953430653,0.03923826292157173,0.028930362313985825,0.053567253053188324,0.061507489532232285,0.03404388576745987,0.07980528473854065,0.09371780604124069,0.051300980150699615,0.08865319192409515,0.10114797949790955,0.0,0.0
phase3,light_drywall,4,x_min+x_max+y_min+y_max,40,,0,cuda:1,847,128,108416,0.01281350664794445,0.0380084402859211,0.027357835322618484,0.05056409537792206,0.05805736780166626,0.03140667825937271,0.07443603873252869,0.08778613805770874,0.04782111942768097,0.0830339640378952,0.09450049698352814,0.0,0.0
phase3,light_drywall,4,x_min+x_max+y_min+y_max,45,,0,cuda:1,847,128,108416,0.011107747443020344,0.036942340433597565,0.026072723791003227,0.04797231778502464,0.055032603442668915,0.029251186177134514,0.06950493156909943,0.08230572938919067,0.044944167137145996,0.07792957127094269,0.08930361270904541,0.0,0.0
phase3,light_drywall,4,x_min+x_max+y_min+y_max,50,,0,cuda:1,847,128,108416,0.009629061445593834,0.036018162965774536,0.02494623139500618,0.046126026660203934,0.052946001291275024,0.027459554374217987,0.06585519015789032,0.07773172855377197,0.04273538291454315,0.07413269579410553,0.08481858670711517,0.0,0.0
