version,ID,path,location,height,facing,status,N_frames,mean_x,mean_y,mean_z,X_std,Y_std,Z_std,D3_std,radial_p50,radial_p75,radial_p95,radial_max,median_anchors,pct_ge7,pct_ge8,mean_x_raw_no_us,mean_y_raw_no_us,mean_z_raw_no_us,coordinate_gauge
v1-old,ID01,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID01_static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,ok,1201,1363.269693499102,1487.2452823279907,-60.35802332850207,19.897513462499372,33.43495744162575,50.96088272328398,64.1156688263483,48.76945563082525,70.62686889086274,119.86859209356965,202.137888646735,8.0,99.7502081598668,91.75686927560366,1318.2790663905323,775.4355732958202,208.57071414579605,US30_FGH_height
v1-old,ID02,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID02_static_ID02_BSF66F_120s_20260528_111027,edge,mid,ABEF,ok,1201,1489.5179672953589,1539.600083613785,1011.2068929807276,25.112387506930705,32.5615350182735,46.00179245284826,61.70130045565836,49.11997856140439,69.26360359399027,108.08822777307562,242.42914102534036,8.0,99.91673605328891,95.67027477102414,1494.3756555467162,702.7558376242778,-854.7442293348686,US30_FGH_height
v1-old,ID03,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID03_static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,ok,1201,1461.399305121943,1605.4528990142057,1986.495328224984,25.325824783638215,38.453007404312274,52.777148101965906,70.03897872745203,50.908661801352125,73.67672151774573,135.69189151025876,280.0866844552835,8.0,100.0,92.2564529558701,1511.7822998650406,618.2800913422486,-1828.8467092636715,US30_FGH_height
v1-old,ID04,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID04_static_ID04_BSF66F_120s_20260528_111732,edge,low,BCGF,ok,1201,2230.6910657796025,1195.09876179826,-173.05067651077871,20.502902930891878,25.273698006603794,50.00340387124749,59.661287601204776,37.89683416484779,54.01593853816241,118.1223993776658,248.6417870946788,8.0,100.0,93.83846794338052,2179.4993554261664,1070.4520563170613,355.9950985841634,US30_FGH_height
v1-old,ID05,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID05_static_ID05_BSF66F_120s_20260528_112057,edge,mid,BCGF,ok,1200,2256.7981161782695,1122.368893992652,1173.0947856371718,20.79698500494836,30.734869452259332,44.64194363478891,58.05213102923216,47.14371658253074,64.43884367331424,101.09361123193123,205.74632491808367,8.0,99.75,91.5,2268.372209512415,1117.5055460342533,-988.6113129448972,US30_FGH_height
v1-old,ID06,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID06_static_ID06_BSF66F_120s_20260528_112429,edge,high,BCGF,ok,1201,2178.1063503152004,1179.7702600419632,1896.325529427923,26.067067957493624,36.20820822259112,36.19757613625492,57.45250989061379,41.28059136748286,57.0631663058267,93.55326706710832,264.2531638682336,8.0,99.83347210657784,92.83930058284764,2223.502960210398,1046.244262255674,-1713.4965448984806,US30_FGH_height
v1-old,ID07,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID07_static_ID07_BSF66F_120s_20260528_112810,edge,low,CDHG,ok,1201,1792.4507064833615,632.5408123431439,-54.54211848818977,17.523902632537173,25.730344611077932,69.95622946391025,76.5703065038056,59.7269096063197,82.2420107754979,131.48877473615937,271.55572680206467,8.0,100.0,90.84096586178184,1747.2641768903393,1630.2555447717243,206.45198745587336,US30_FGH_height
v1-old,ID08,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID08_static_ID08_BSF66F_120s_20260528_113136,edge,mid,CDHG,ok,1201,1564.727148192769,526.2883132143893,1092.7937668957497,34.959040394902395,47.5271060242053,58.451619911578184,83.05150319323587,61.32424411714247,84.66681686918996,144.17203811125756,365.218765166542,8.0,100.0,90.25811823480431,1573.3087827694326,1714.392938065116,-952.076245418672,US30_FGH_height
v1-old,ID09,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID09_static_ID09_BSF66F_120s_20260528_113816,edge,high,CDHG,ok,1201,1579.046967909107,541.0272022212762,1593.906870486679,34.06015006041037,35.73030325900902,46.44558603888896,67.77861650708324,51.22135585768142,72.14834912544278,122.7371752872106,293.1011566504456,8.0,99.91673605328891,93.42214820982517,1610.9886515358269,1690.1075473323926,-1451.6031035185197,US30_FGH_height
v1-old,ID10,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID10_static_ID10_BSF66F_120s_20260528_114216,edge,low,ADHE,ok,1201,703.758753258771,951.7018561703787,29.70143368370853,24.233426783538693,24.149144423070176,37.69690423388211,50.90674551430202,37.02372491403116,52.59163913670775,93.93951564479552,222.8810984666774,8.0,99.91673605328891,90.75770191507078,663.6871010859438,1308.5751495340696,77.63676666910669,US30_FGH_height
v1-old,ID11,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID11_static_ID11_BSF66F_120s_20260528_114551,edge,mid,ADHE,ok,1201,690.8514215569148,1208.8654614625734,1210.613739888297,19.618838769753076,22.759981010653973,30.5911635247074,42.88047173334598,31.62188043610823,42.84452996950019,72.04336936700429,218.86399303656253,8.0,100.0,91.84013322231472,705.8803417650684,1028.9134790240828,-1097.4643670774908,US30_FGH_height
v1-old,ID12,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID12_static_ID12_BSF66F_120s_20260528_115143,edge,high,ADHE,ok,1201,687.9260319446413,1071.9433369688438,1730.8476188558852,27.363281751406006,24.177702604106294,23.41754165592153,43.37847102683837,34.72456375408095,46.31071442488207,79.40345591318268,147.75301589396526,8.0,100.0,91.3405495420483,727.2257090488046,1155.88121084177,-1619.7890604230352,US30_FGH_height
v1-old,ID13,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID13_static_ID13_BSF66F_120s_20260528_115704,center,mid,ABEF,ok,1200,1506.3444895373525,1157.493621849461,1042.1727183617204,37.776620570155686,42.965330856422035,61.56220371737756,84.04164232000237,70.68919518492957,98.5531936212455,146.42426190797198,253.32082405348515,8.0,99.83333333333331,91.66666666666666,1512.6283368167155,1084.2167003077443,-892.1850116661492,US30_FGH_height
v1-old,ID14,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID14_static_ID14_BSF66F_120s_20260528_120122,center,mid,BCGF,ok,1201,1543.720543118475,1204.5587184392746,1109.243996347649,15.705623700142333,19.210200956641277,28.83810476198164,38.04385262914419,30.669592299128944,43.00298295769254,66.45779025187962,110.2429616704518,8.0,99.91673605328891,91.9233971690258,1553.092406036963,1035.9136806451936,-956.528825841184,US30_FGH_height
v1-old,ID15,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID15_static_ID15_BSF66F_120s_20260528_120437,center,mid,CDHG,ok,1201,1478.4054909310175,1167.442016236389,1019.0525112356705,24.626283181702238,30.666600802723384,41.24711658061588,56.99314743330027,48.29216809582406,64.74179329109816,96.24806251231236,225.75577166504715,8.0,99.91673605328891,95.58701082431308,1483.6412539557575,1074.68639200787,-870.2071950667828,US30_FGH_height
v1-old,ID16,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID16_static_ID16_BSF66F_120s_20260528_120804,center,mid,ADHE,ok,1201,1543.880796698188,1209.1776776721463,1169.6258946086878,19.028305872806055,21.27503681742719,31.931226466589585,42.82880852455013,34.03308423601099,47.51547564624556,71.24543942713608,329.3864699681073,8.0,99.91673605328891,89.75853455453789,1556.069145413299,1030.1435344736797,-1016.7382814030468,US30_FGH_height
v1-old,ID17,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID17_static_ID17_BSF66F_120s_20260528_121200,center,low,ABEF,ok,1199,1403.7314823858421,1185.6408027327943,53.933304868861775,18.606276011486244,25.384855696882784,58.99082302462367,66.86180977874919,51.60015610249903,78.71323798641052,115.08960376295217,240.96347764589703,8.0,99.83319432860718,92.49374478732275,1364.0282057230595,1074.8402340357595,90.55041271228563,US30_FGH_height
v1-old,ID18,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID18_static_ID18_BSF66F_120s_20260528_121519,center,low,BCGF,ok,1199,1468.4500500184106,1330.0287952054591,91.39276565307779,16.029862621945988,22.92973888479067,33.2885473089734,43.48398329206861,34.81503574854362,48.48436715305277,76.13838690054676,155.34573314776608,8.0,99.83319432860718,92.91075896580485,1430.42370926952,929.8214760932289,58.91509190532225,US30_FGH_height
v1-old,ID19,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID19_static_ID19_BSF66F_120s_20260528_121846,center,low,CDHG,ok,1201,1681.2515952709819,1195.7194137239653,-49.15923030162867,26.110819165421816,23.025022224734222,102.79187642445604,108.52693852126994,65.07463775544073,105.84052080468176,201.2107779348775,446.1385248154136,8.0,99.91673605328891,89.84179850124896,1636.437213114563,1066.977903930101,206.64769399163416,US30_FGH_height
v1-old,ID20,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID20_static_ID20_BSF66F_120s_20260528_122210,center,low,ADHE,ok,1201,1494.3738489818695,1050.3214737730639,-76.81697941193093,21.367828859366217,24.182494799412783,90.49905884035572,96.0804705227704,69.12194852879992,106.80443273229906,184.5069358893689,344.0937169261371,8.0,100.0,91.42381348875936,1448.4727360497911,1212.7105421738186,222.77709566078423,US30_FGH_height
