version,anchor,raw_x_mm,raw_y_mm,raw_z_mm,us_x_mm,us_y_mm,us_z_mm,delta_3d_mm
v1-old,A,0.0,0.0,0.0,36.007205369239045,2258.5552034769603,101.24971521112843,2261.110265073707
v1-old,B,2869.960834332821,0.0,0.0,2902.8438469100292,2258.5552034769603,235.1260063289539,2270.9991498283766
v1-old,C,2912.8637669062396,2241.938068587743,0.0,2947.697798226958,17.026207869351765,194.3479496324239,2233.6555963777755
v1-old,D,121.23750852604245,2313.0140497145285,-139.2967427604595,152.67714337033706,-56.69768107854861,201.88925176757016,2394.353779323253
v1-old,E,187.27923816648018,-101.70003626855676,-1456.0786549021636,155.08202191228966,2332.4223524949725,1566.154589954921,3880.706411277948
v1-old,F,2938.951532066157,34.20202830013278,-1425.1200689678883,2905.3238630649566,2197.136462791348,1661.0005779168896,3768.7606497572656
v1-old,G,2927.5697509462243,2331.556711715306,-1446.5156565656803,2895.0037071690167,-100.20773926704578,1638.0012481285166,3927.9490103122603
v1-old,H,52.656156148086254,2158.0774807120224,-1600.5053741951504,15.883201069227049,70.29829299717858,1660.9981739545938,3872.6708589129876
v2,A,0.0,0.0,0.0,24.31302112580238,2305.169857826493,19.92918126458456,2305.3842128144183
v2,B,2883.649173589982,0.0,0.0,2906.6452296532643,2305.169857826493,107.07042311589731,2307.7696955139386
v2,C,2925.517383085248,2308.989220525281,0.0,2949.117832325658,-3.727171994053151,87.7119320492635,2314.49940083289
v2,D,94.81874286835158,2358.4337192248213,-72.13334550568352,117.54560977631121,-53.81428027937136,73.82669593878917,2416.7666944266475
v2,E,165.39001749207483,-91.04858791321574,-1499.2661084174156,144.29827603926196,2382.8173648884167,1524.261913856195,3906.6839282775886
v2,F,2924.035364941381,62.77452015701926,-1554.0407819799323,2900.070111365957,2228.5109318776385,1660.9991903962673,3876.528158340681
v2,G,2890.131916718733,2371.8574741558746,-1552.6914538318817,2866.8464604484643,-80.46777007440778,1638.0014538234425,4024.2965282052487
v2,H,16.056064091788496,2181.533820556909,-1660.8950796778813,-9.237877947160612,108.88137663547968,1660.9993557802898,3915.547289604009
v3-lite,A,0.0,0.0,0.0,24.30139557509642,2303.97130652972,18.797227830883156,2304.176137996679
v3-lite,B,2883.5353985590896,0.0,0.0,2906.522838759598,2303.97130652972,105.83714505726066,2306.515489866285
v3-lite,C,2925.363243263414,2307.8643214958292,0.0,2948.9866053878695,-3.7910052654528954,85.4107942438704,2313.3532840349403
v3-lite,D,95.49580564787249,2358.2612388138177,-74.58847551638942,118.17160685874327,-54.88698480563016,74.06842195507342,2417.8290705267177
v3-lite,E,166.21081063015683,-92.41569882727013,-1499.6800299959693,145.14419061388904,2382.282748607596,1523.6132379316775,3907.0293564435988
v3-lite,F,2923.0823479683986,61.849413470933094,-1555.3283933357343,2899.1235919086485,2227.501242366963,1661.0005778525344,3877.549988961798
v3-lite,G,2890.908232411606,2370.8576716142306,-1554.9978148798093,2867.6294218986195,-81.40184737426307,1637.999303828679,4026.083612093679
v3-lite,H,16.479718713986976,2179.8307702297143,-1663.0224112736619,-8.804093807940838,108.60095020860263,1661.0001183187865,3916.60031350641
v3-full,A,0.0,0.0,0.0,-30.118716029952566,2154.7735293441538,245.80801270539504,2168.957740235556
v3-full,B,2844.406173144549,0.0,0.0,2811.999669417566,2154.7735293441538,131.7485504762301,2159.0407186523034
v3-full,C,3063.950997400314,1929.6057544951072,0.0,3033.6594307779806,226.01415284070754,180.0446722854199,1713.3470192153727
v3-full,D,152.20708900388644,2418.891965058458,-146.93704182303236,130.7280541438563,-258.7058676075608,458.0374824812732,2745.1749812158605
v3-full,E,197.69744993531637,5.510819620122649,-1511.1041670054667,227.9943157339415,2194.0168395834453,1747.2699935161684,3925.2361291326147
v3-full,F,2903.0863936156697,-88.91728899437926,-1536.1459759287377,2932.09887123474,2289.1451486232113,1661.0014927895365,3984.692537423306
v3-full,G,2973.982049717809,2206.250977531081,-1447.9584531197663,3002.128420885353,-7.628088827836109,1637.9979538620128,3798.0494578749262
v3-full,H,204.3970372788966,2238.522341077905,-1358.8361891504064,231.23714393295353,-42.524674511981175,1661.0005533484505,3784.6148852958386
v4-io,A,0.0,0.0,0.0,12.56945666022284,2253.9906701225914,81.9851856603196,2255.516238670912
v4-io,B,2862.3469272697457,0.0,0.0,2874.548368229211,2253.9906701225914,127.88335321572237,2257.6485484217583
v4-io,C,2930.2967347254485,2167.219728601172,0.0,2942.189246625745,86.85180066844987,147.69144353701117,2085.637770540329
v4-io,D,180.84982551281308,2333.497163455245,-32.31207310096374,192.55469580789324,-79.14031169872533,137.3465138978632,2418.623705053845
v4-io,E,197.4296601766821,-62.341315742614746,-1483.2502153369726,186.19911325066133,2329.1422954282207,1567.6167305695496,3876.481537336138
v4-io,F,2907.299788184796,61.13259668886404,-1532.1225662970987,2894.920080369834,2206.0951597354,1661.0006108540247,3846.6938113783417
v4-io,G,2886.533500530282,2363.601422228439,-1489.5605839896016,2874.51999834298,-96.65542009243154,1637.999363532084,3979.2762256173314
v4-io,H,70.13848917296214,2179.35352068196,-1559.3255085600276,57.393966286181204,88.18825162696658,1661.0000256138915,3839.7436309495965
