version,eval_set,rms,p50_abs,p75_abs,p95_abs,max_abs
v1-old,all1000,85.2463578425899,60.876924043491954,80.68240023637907,182.22076061099776,192.3260979234135
v1-old,solve,85.2463578425899,60.876924043491954,80.68240023637907,182.22076061099776,192.3260979234135
v2,all1000,52.3579326922222,51.70408588621672,63.90497786528664,87.23606188418795,98.26143377924836
v2,solve,52.3579326922222,51.70408588621672,63.90497786528664,87.23606188418795,98.26143377924836
v3-full,all1000,102.49657601163851,4.8958268423136815,8.07644170975368,258.59489870056893,370.03169685860644
v3-full,solve,102.49657601163851,4.8958268423136815,8.07644170975368,258.59489870056893,370.03169685860644
v3-lite,all1000,52.29109680475433,51.93891143451242,63.09165607925121,87.90975655994784,98.89625859365151
v3-lite,solve,52.29109680475433,51.93891143451242,63.09165607925121,87.90975655994784,98.89625859365151
v4-io,all1000,48.168758821052705,21.984695459493423,31.351221630774262,108.78846050661649,141.72779945142702
v4-io,solve,48.168758821052705,21.984695459493423,31.351221630774262,108.78846050661649,141.72779945142702
