hour,phase,BSFC2CC_gyro_median_dps,BSF3C79_gyro_median_dps,gyro_difference_dps,gyro_ratio,one_second_gyro_correlation,BSFC2CC_T4_angular_rate_rad_s,BSF3C79_T4_angular_rate_rad_s,T4_angular_rate_difference_rad_s,BSFC2CC_gyro_vs_T4_ratio,BSF3C79_gyro_vs_T4_ratio,apparent_radius_ratio
0,SUPPORTED_ROTATION,53.7243566222,53.631116336,0.0932402862764,1.0017385483,0.998953801832,0.937587092845,0.93760351976,-1.6426915e-05,1.00008513207,0.998331962131,1.33289172558
1,SUPPORTED_ROTATION,53.7647671153,53.680445946,0.0843211693451,1.0015707986,0.995001291064,0.939183482536,0.939182784444,6.98091999984e-07,0.999136191361,0.997569952531,1.33289172558
2,SUPPORTED_ROTATION,53.7964573516,53.7204387237,0.0760186278917,1.00141507831,0.995002440987,0.939186141185,0.939183884787,2.256398e-06,0.999722276044,0.99831198824,1.33289172558
3,SUPPORTED_ROTATION,53.8007851697,53.7426248192,0.0581603504274,1.00108220152,0.995466397823,0.939186345102,0.939183773269,2.57183300001e-06,0.999802484636,0.998724401397,1.33289172558
4,SUPPORTED_ROTATION,53.8003697142,53.746263851,0.0541058632269,1.00100669069,0.994485100353,0.939188174135,0.939185222089,2.95204599998e-06,0.999792816992,0.998790486459,1.33289172558
5,SUPPORTED_ROTATION,53.8247722805,53.7609907491,0.0637815314642,1.00118639055,0.995657189891,0.939189482151,0.939186103158,3.37899299996e-06,1.00024490615,0.999063225648,1.33289172558
6,SUPPORTED_ROTATION,53.8197888257,53.7578724485,0.0619163771991,1.00115176391,0.997064014535,0.939187463236,0.939186128676,1.33455999995e-06,1.0001544468,0.999005249808,1.33289172558
7,MIXED_DEGRADATION_BOUNDARY,53.8185428899,53.7643513816,0.0541915083859,1.00100794499,0.993669386881,0.939189464184,0.939174664278,1.4799906e-05,1.0001291623,0.99913784677,1.33289172558
8,DEPLETION_TAIL,,53.845912225,,,,,,,,,1.33289172558
9,DEPLETION_TAIL,,53.6774270506,,,,,,,,,1.33289172558
10,DEPLETION_TAIL,,53.7823116132,,,,,,,,,1.33289172558
11,DEPLETION_TAIL,,,,,,,,,,,1.33289172558
