node,anchor_id,records,valid_count,valid_rate,range_median_mm,range_std_mm,range_p05_mm,range_p95_mm,quality_median,cfo_ppm_q8_median,t_round_us_median
BSFC2CC,0,218522,218505,0.999922204629,3389.0,289.406798247,2948.0,3795.0,100.0,-594.0,1231.0
BSFC2CC,1,218522,218521,0.999995423802,2832.0,327.246908715,2324.0,3324.0,100.0,-344.0,2257.0
BSFC2CC,2,218522,218512,0.999954238017,2627.0,274.966647566,2246.0,2969.0,100.0,-688.0,3282.0
BSFC2CC,3,218522,218518,0.999981695207,2925.0,292.657998179,2569.0,3357.0,100.0,-777.0,4308.0
BSFC2CC,4,218522,218493,0.99986729025,2975.0,373.482300948,2630.0,3720.0,100.0,-983.0,5334.0
BSFC2CC,5,218522,218517,0.999977119009,2484.0,318.665724378,2081.0,3045.0,100.0,325.0,6359.0
BSFC2CC,6,218522,218519,0.999986271405,2298.0,317.846801202,2018.0,3002.0,100.0,-1406.0,7385.0
BSFC2CC,7,218522,218514,0.999963390414,2462.0,361.636383225,2099.0,3163.0,100.0,-748.0,8411.0
BSF3C79,0,218483,218264,0.998997633683,3407.0,410.201492968,2638.0,3912.0,100.0,-1005.0,1231.0
BSF3C79,1,218483,218282,0.999080019956,2759.0,404.460619386,2153.0,3342.0,100.0,-761.0,2257.0
BSF3C79,2,218483,218246,0.998915247411,2688.0,431.6850491,1992.0,3290.0,100.0,-1107.0,3282.0
BSF3C79,3,218483,218227,0.998828284123,2931.0,408.198232762,2393.0,3703.0,100.0,-1192.0,4308.0
BSF3C79,4,218483,218231,0.998846592183,3046.0,394.856238625,2434.0,3560.0,100.0,-1394.0,5334.0
BSF3C79,5,218483,218266,0.999006787713,2616.0,383.386973309,1922.0,3028.0,100.0,-91.0,6359.0
BSF3C79,6,218483,218152,0.998485007987,2406.0,392.930217801,1778.0,2897.0,100.0,-1825.0,7385.0
BSF3C79,7,218483,218183,0.998626895456,2515.0,384.142401627,1893.0,3054.0,100.0,-1159.0,8411.0
