node,hour,time_s,quaternion_norm_error,quaternion_sign_dot,attitude_only_quaternion_norm_error,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_asymmetry,cumulative_abs_rotation_rad,gyro_bias_x_dps,gyro_bias_y_dps,gyro_bias_z_dps,q1_status
BSFC2CC,0,0.006,0.0,1.0,0.0,1.21846967915e-05,9.86960440109,0.0,0.0,0.06103515625,-0.3662109375,0.0,RUNNING
BSFC2CC,1,3600.005,0.0,0.999806114672,2.22044604925e-16,-2.0153286001e-07,3.09369679752e+19,0.0,3316.81906071,0.06103515625,-0.3662109375,0.0,NOT_AVAILABLE_AFTER_NUMERICAL_FAILURE
BSFC2CC,2,7200.005,0.0,0.999806114672,2.22044604925e-16,-2.0153286001e-07,3.09369679752e+19,0.0,6700.21364764,0.06103515625,-0.3662109375,0.0,NOT_AVAILABLE_AFTER_NUMERICAL_FAILURE
BSFC2CC,3,10800.005,0.0,0.999806114672,2.22044604925e-16,-2.0153286001e-07,3.09369679752e+19,0.0,10083.4133859,0.06103515625,-0.3662109375,0.0,NOT_AVAILABLE_AFTER_NUMERICAL_FAILURE
BSFC2CC,4,14400.055,0.0,0.999797166092,2.22044604925e-16,-2.0153286001e-07,3.09369679752e+19,0.0,13466.693777,0.06103515625,-0.3662109375,0.0,NOT_AVAILABLE_AFTER_NUMERICAL_FAILURE
BSFC2CC,5,18000.005,0.0,0.999797166092,2.22044604925e-16,-2.0153286001e-07,3.09369679752e+19,0.0,16849.8482707,0.06103515625,-0.3662109375,0.0,NOT_AVAILABLE_AFTER_NUMERICAL_FAILURE
BSFC2CC,6,21600.005,0.0,0.999796208576,2.22044604925e-16,-2.0153286001e-07,3.09369679752e+19,0.0,20232.8743412,0.06103515625,-0.3662109375,0.0,NOT_AVAILABLE_AFTER_NUMERICAL_FAILURE
BSFC2CC,7,25200.005,0.0,0.999794050973,2.22044604925e-16,-2.0153286001e-07,3.09369679752e+19,0.0,23615.6023537,0.06103515625,-0.3662109375,0.0,NOT_AVAILABLE_AFTER_NUMERICAL_FAILURE
BSFC2CC,0,664.005,0.0,0.999794050973,2.22044604925e-16,-2.0153286001e-07,3.09369679752e+19,0.0,557.129551538,0.06103515625,-0.3662109375,0.0,NUMERICAL_FAILURE_EVENT
BSF3C79,0,0.0,0.0,1.0,0.0,1.21846967915e-05,9.86960440109,0.0,0.0,-0.18310546875,-0.30517578125,0.0,RUNNING
BSF3C79,1,3600.0,0.0,0.999791852401,2.22044604925e-16,-1.76244240993e-05,2.6765374977e+19,0.0,3313.55946646,-0.18310546875,-0.30517578125,0.0,NOT_AVAILABLE_AFTER_NUMERICAL_FAILURE
BSF3C79,2,7200.05,0.0,0.999791852401,2.22044604925e-16,-1.76244240993e-05,2.6765374977e+19,0.0,6691.64493195,-0.18310546875,-0.30517578125,0.0,NOT_AVAILABLE_AFTER_NUMERICAL_FAILURE
BSF3C79,3,10800.001,0.0,0.999791852401,2.22044604925e-16,-1.76244240993e-05,2.6765374977e+19,0.0,10069.8554399,-0.18310546875,-0.30517578125,0.0,NOT_AVAILABLE_AFTER_NUMERICAL_FAILURE
BSF3C79,4,14400.001,0.0,0.999788273328,2.22044604925e-16,-1.76244240993e-05,2.6765374977e+19,0.0,13448.4666791,-0.18310546875,-0.30517578125,0.0,NOT_AVAILABLE_AFTER_NUMERICAL_FAILURE
BSF3C79,5,18000.051,0.0,0.999788273328,2.22044604925e-16,-1.76244240993e-05,2.6765374977e+19,0.0,16827.4325196,-0.18310546875,-0.30517578125,0.0,NOT_AVAILABLE_AFTER_NUMERICAL_FAILURE
BSF3C79,6,21600.0,0.0,0.999781966129,2.22044604925e-16,-1.76244240993e-05,2.6765374977e+19,0.0,20206.2457823,-0.18310546875,-0.30517578125,0.0,NOT_AVAILABLE_AFTER_NUMERICAL_FAILURE
BSF3C79,7,25200.051,0.0,0.999781966129,2.22044604925e-16,-1.76244240993e-05,2.6765374977e+19,0.0,23584.9625863,-0.18310546875,-0.30517578125,0.0,NOT_AVAILABLE_AFTER_NUMERICAL_FAILURE
BSF3C79,0,596.1,0.0,0.999781966129,2.22044604925e-16,-1.76244240993e-05,2.6765374977e+19,0.0,494.805728082,-0.18310546875,-0.30517578125,0.0,NUMERICAL_FAILURE_EVENT
