node,event,elapsed_s,wall,detail
BSF3C79,DISCONNECT,26222.1428209,2026-08-12T08:53:58.387+02:00,FUSION_DISCONNECTED name=BSF3C79 addr=DB:38:76:DA:EC:E3 (random) reason=0x08 packets=844821 malformed=0
BSF3C79,RECONNECT,26711.0429191,2026-08-12T09:02:07.287+02:00,FUSION_CONNECTED name=BSF3C79 addr=DB:38:76:DA:EC:E3 (random) node_connection=1 connections_total=243 active=2
BSF3C79,UPTIME_RESET,26712.7667512,,before=26966232 after=3771
BSF3C79,DISCONNECT,26787.9674649,2026-08-12T09:03:24.212+02:00,FUSION_DISCONNECTED name=BSF3C79 addr=DB:38:76:DA:EC:E3 (random) reason=0x08 packets=2266 malformed=0
BSF3C79,RECONNECT,27540.8484808,2026-08-12T09:15:57.093+02:00,FUSION_CONNECTED name=BSF3C79 addr=DB:38:76:DA:EC:E3 (random) node_connection=1 connections_total=244 active=2
BSFC2CC,DISCONNECT,27542.1819279,2026-08-12T09:15:58.426+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=886114 malformed=0
BSF3C79,UPTIME_RESET,27542.6405115,,before=74812 after=3771
BSFC2CC,RECONNECT,27545.6248576,2026-08-12T09:16:01.869+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=245 active=2
BSFC2CC,UPTIME_RESET,27546.893229,,before=28285046 after=3771
BSFC2CC,DISCONNECT,27554.0415012,2026-08-12T09:16:10.286+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=118 malformed=0
BSFC2CC,RECONNECT,27557.7154627,2026-08-12T09:16:13.960+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=246 active=2
BSFC2CC,UPTIME_RESET,27559.4433673,,before=6773 after=3771
BSFC2CC,DISCONNECT,27565.4421402,2026-08-12T09:16:21.687+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=99 malformed=0
BSFC2CC,RECONNECT,27569.7791821,2026-08-12T09:16:26.024+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=247 active=2
BSFC2CC,UPTIME_RESET,27571.2936704,,before=5772 after=3771
BSFC2CC,DISCONNECT,27576.3421923,2026-08-12T09:16:32.587+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=60 malformed=0
BSFC2CC,RECONNECT,27580.9244986,2026-08-12T09:16:37.169+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=248 active=2
BSFC2CC,UPTIME_RESET,27582.5446557,,before=4772 after=3771
BSFC2CC,DISCONNECT,27586.5424643,2026-08-12T09:16:42.787+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=32 malformed=0
BSFC2CC,RECONNECT,27591.9288408,2026-08-12T09:16:48.173+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=249 active=2
BSFC2CC,DISCONNECT,27592.1937162,2026-08-12T09:16:48.438+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x3e packets=0 malformed=0
BSFC2CC,RECONNECT,27592.5685515,2026-08-12T09:16:48.813+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=250 active=2
BSFC2CC,DISCONNECT,27597.5984982,2026-08-12T09:16:53.843+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=11 malformed=0
BSFC2CC,RECONNECT,27602.8075511,2026-08-12T09:16:59.052+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=251 active=2
BSFC2CC,DISCONNECT,27608.743002,2026-08-12T09:17:04.987+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=39 malformed=0
BSF3C79,DISCONNECT,27610.0881687,2026-08-12T09:17:06.333+02:00,FUSION_DISCONNECTED name=BSF3C79 addr=DB:38:76:DA:EC:E3 (random) reason=0x08 packets=2025 malformed=0
BSFC2CC,RECONNECT,27614.213695,2026-08-12T09:17:10.458+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=252 active=1
BSFC2CC,DISCONNECT,27620.0196861,2026-08-12T09:17:16.264+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=39 malformed=0
BSFC2CC,RECONNECT,27625.9020839,2026-08-12T09:17:22.147+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=253 active=1
BSFC2CC,DISCONNECT,27631.3826753,2026-08-12T09:17:27.627+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=23 malformed=0
BSFC2CC,RECONNECT,27637.5756888,2026-08-12T09:17:33.820+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=254 active=1
BSFC2CC,DISCONNECT,27642.9838046,2026-08-12T09:17:39.228+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=24 malformed=0
BSFC2CC,RECONNECT,27649.1919741,2026-08-12T09:17:45.436+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=255 active=1
