node,time_s,from_state,to_state,hard_motion_veto,summary
BSFC2CC,0.006,STATIONARY,MOTION_SUSPECTED,True,
BSFC2CC,0.255,MOTION_SUSPECTED,MOVING,True,
BSFC2CC,26222.1428209,MOVING,MOVING,,false_stationary_relocks=0
BSF3C79,0.0,STATIONARY,MOTION_SUSPECTED,True,
BSF3C79,0.2,MOTION_SUSPECTED,MOVING,True,
BSF3C79,26222.1428209,MOVING,MOVING,,false_stationary_relocks=0
