capture_id,n_matched_samples,abs_relative_distance_error_mean_mm,abs_relative_distance_error_rmse_mm,abs_relative_distance_error_p50_mm,abs_relative_distance_error_p90_mm,abs_relative_distance_error_p95_mm,abs_relative_distance_error_max_mm,signed_relative_distance_error_median_mm
R01,1200,82.75191613157432,103.16038041232774,69.336003174918,172.00478173820022,199.1540905489086,334.04151569854196,54.747812462997956
R02,1199,86.34592853292652,105.321866754458,77.23985289054428,170.32452308717336,196.27720129209473,325.7411386841162,11.49463497729323
R03,1050,62.37305090797789,77.59394983698571,53.67893779819019,126.92345989848943,146.08914333581345,260.82518396557055,38.73870327553948
R04,1200,83.76181650830792,99.34289634277985,78.92251881517109,157.82540955050462,180.2632320603095,312.47918495516114,35.761883175028345
R05,1198,96.0259886149127,116.58019235735887,85.530935109508,189.4934979813087,223.37830033974726,445.19269570340884,82.05287055733442
R06,1200,82.85631704315668,101.03513756957543,72.37661342139052,166.13966372800712,195.12585528158337,373.62539060557174,23.586839508700564
R07,1200,59.59338003024153,74.56231802851431,51.577814377497816,122.91496522283866,142.33676044946742,241.97943386338238,-13.889379387697545
R08,1200,69.55644595403197,85.51397214459774,60.13754325882695,139.7966096994576,166.53479508092204,311.5720651419707,24.527453360398113
R09,1200,99.70755881722616,115.60871393801995,97.88312260420946,178.86880668936664,202.4689302182328,309.5988375409513,46.87227981922649
R10,1200,58.83780761358418,75.11950198291811,47.564900045365334,122.32426376950296,150.12190665406283,273.1400497994665,14.143373640888399
R11,1201,72.44303967213355,95.76731425868131,56.168529981401775,161.62416260058592,192.21781344858175,492.10093623332193,-43.943851710055355
R12,1200,77.61364992799028,98.3610806040215,66.8091621906749,153.5934412312383,194.2453331976288,345.4060715407205,18.116645424535534
R13,1201,66.82144204746592,81.44559990588294,59.008787411913886,133.41371016066932,151.2270175033285,275.7963972588228,-32.036247311960096
R14,1201,55.798835882472865,72.1377045127505,44.50858890719917,117.93101387773947,147.95183365434752,324.5755698317928,-2.7337203025155077
R15,1199,87.60291903200269,106.79911727106625,77.47346281515377,172.86428363023197,203.17525928270356,316.0795363584838,-73.01199292193053
R16,1201,60.45670594372046,75.66508946389133,51.494553129533415,124.52155206945133,143.67112380856827,327.95183917954057,12.172445826960256
R17,1201,68.89051508912111,84.00049991111189,61.33337726820616,135.40934516225514,159.03192048929589,280.48829970603776,-43.878674081949384
