experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,U,P,T,kind,seed_id,experiment_uid,delta_vs_B0_trackmedian_err3d_p50_mm,delta_vs_B0_trackmedian_err3d_p95_mm,delta_vs_B0_sample_err3d_rmse_mm,delta_vs_B0_legacy_deltaR_error_rms_mm,delta_vs_B0_trackmedian_radius_error_abs_mm,verdict,screening_score,L,I,R
B0_A0_U4_P0_T1,online_deployable_uwb_only,Phase 3 repeated B0 control.,34,17,40661,102.63336074100665,208.3503804473449,256.9324074144989,141.2659848479643,40661,66.14323345844781,145.82607164755368,178.9530610667181,93.41834672726387,40661,61.57092076688957,163.1159939953268,205.89630418252534,105.96740522354024,105.83784720842489,231.80213799547772,132.8297379891087,167.47209082957747,187.38314568289843,81.85817424679978,68.97030504345278,38.73430278830949,59.73216676551942,97.22019722085115,173.57057176081128,nan,nan,nan,nan,nan,nan,nan,nan,17,80.07935390701411,26.37186507012177,172.16272100899008,A0,U4,P0,T1,baseline,S01,B0_A0_U4_P0_T1__S01,0.0,0.0,0.0,0.0,0.0,BASELINE_UWB_ONLY,272.8902266245117,,,
X_A0_L0_I0_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I0/S01.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S01,X_A0_L0_I0_T11__S01,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I0,
X_A0_L0_I1_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I1/S01.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S01,X_A0_L0_I1_T11__S01,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I1,
X_A0_L0_I3_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I3/S01.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S01,X_A0_L0_I3_T11__S01,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I3,
X_A0_L0_I4_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I4/S01.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S01,X_A0_L0_I4_T11__S01,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I4,
X_A0_L0_I7_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I7/S01.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S01,X_A0_L0_I7_T11__S01,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I7,
X_A0_L0_I8_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I8/S01.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S01,X_A0_L0_I8_T11__S01,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I8,
X_A0_L0_I1+I3+I7_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I1+I3+I7/S01.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S01,X_A0_L0_I1+I3+I7_T11__S01,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I1+I3+I7,
X_A0_L0_I1+I2+I3+I8_T11,imu_only_diagnostic_oracle,Phase 3 IMU-only drift diagnostic L0/I1+I2+I3+I8/S01.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,nan,nan,nan,nan,nan,17,247.34375016361417,12.891067052788173,644.6930803724192,A0,,,T11,imu_only,S01,X_A0_L0_I1+I2+I3+I8_T11__S01,-105.83784720842489,-231.80213799547772,-141.2659848479643,167.26439625660007,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I1+I2+I3+I8,
X_A0_L1_I0_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L1/I0/S01.,34,17,40661,1841.16483188353,7284.247091008781,8780.248245939978,4108.797482654378,40661,1506.8946435642124,6152.594090341887,7851.532951011202,3534.5424064563454,40661,594.9112768957303,3642.4214713797032,4802.156278868606,2095.048145133839,1984.0431998001598,7941.0381041999135,3822.3602116086577,5994.835266441847,3541.590842935033,3827.0083572603726,3624.912502342179,895.1915120850219,1994.7989462695068,666.4658804998267,1306.0145501628829,8708.302898222872,6757.367564425284,72.60813283219744,nan,nan,nan,nan,nan,17,2747.5062620810913,731.8285839979192,4785.9289263775045,A0,,,T11,imu_only,S01,X_A0_L1_I0_T11__S01,1878.205352591735,7709.2359662044355,3967.5314978064134,2667.426908174077,1935.0667795039874,IMU_ONLY_DRIFTS_AS_EXPECTED,7684.060392861647,L1,I0,
X_A0_L1_I1_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L1/I1/S01.,34,17,40661,787.3253859127261,3190.2588402038864,3917.956853133919,1815.1013865797431,40661,615.7584850578222,2815.40773113186,3495.460784590063,1562.6497073640899,40661,198.29804318510924,1360.2020534980368,1856.0838693191702,923.4278183153411,819.5416449895176,3463.7127575129934,1675.0835744867986,2978.8330682630376,1297.0820003984327,1534.5188221807707,1422.7176372843214,306.41574192451975,765.6546991448347,459.5225277117164,865.3125145143918,3883.290842767078,3347.4801366263314,33.14942031746837,nan,nan,nan,nan,nan,17,2326.4134025220405,547.8497819246616,3065.961580538388,A0,,,T11,imu_only,S01,X_A0_L1_I1_T11__S01,713.7037977810927,3231.910619517516,1673.8354017317788,2246.3340486150264,705.9225323793153,IMU_ONLY_DRIFTS_AS_EXPECTED,4043.157841456911,L1,I1,
X_A0_L1_I3_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L1/I3/S01.,34,17,40661,465.29090110969065,1991.147111581422,2507.839014081057,1146.9621940700195,40661,344.5168931339908,1614.9251843783372,2116.493969553438,941.5794430397565,40661,181.51606581413057,1119.464898166632,1528.008558965291,654.9430716259654,492.32014228416745,2174.0077043872125,1031.9120244968472,1568.915388163823,1065.5973722285191,977.7526696574387,904.7141965833661,254.98485587353332,426.5229097520722,299.17569501372975,551.5265466750097,2426.178519663912,1783.1427248041045,20.23222643408086,nan,nan,nan,nan,nan,17,596.715051631089,181.65552215831474,1150.1775872202697,A0,,,T11,imu_only,S01,X_A0_L1_I3_T11__S01,386.48229507574257,1942.2055663917347,1005.6962092220551,516.6356977240748,366.7907429865528,IMU_ONLY_DRIFTS_AS_EXPECTED,1884.1848298374903,L1,I3,
X_A0_L1_I4_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L1/I4/S01.,34,17,40661,672.0725133889089,2870.847468390241,3609.444425117021,1631.1358365937008,40661,490.17609785307184,2424.447147020774,3188.6062496628474,1378.5741514894908,40661,248.29466102086508,1574.940710070125,2038.226884935956,871.8586045140935,816.2980116349283,2936.9818269947373,1448.9684117202328,2408.6023593110262,1548.0917691710324,1610.4263162054717,1533.1765749756585,392.6740906169432,733.872907278262,350.45143610473616,664.095899501432,3315.4601814414023,2722.6247148360617,27.65397089595917,nan,nan,nan,nan,nan,17,3764.334340635993,810.7994298870664,9443.687746068757,A0,,,T11,imu_only,S01,X_A0_L1_I4_T11__S01,710.4601644265034,2705.1796889992597,1489.8698517457365,3684.254986728979,674.1407405127426,IMU_ONLY_DRIFTS_AS_EXPECTED,4846.212143167413,L1,I4,
X_A0_L1_I7_T11,imu_only_diagnostic_screening,Phase 3 IMU-only drift diagnostic L1/I7/S01.,34,17,40661,869.5622938516295,3263.8945091283954,4069.234009305523,1869.7343759771072,40661,593.689577418463,2728.6700700567853,3445.6513688639047,1547.9393150597969,40661,265.8993126572077,1771.5182117872528,2486.2151051840856,1048.7089746935078,940.4845555869715,3534.0589949281707,1748.8468066890064,2857.1392698653162,1342.854813245489,1843.8182903538882,1685.7581501359289,412.51556166500075,968.4051487348842,425.190732349482,780.816883739609,3903.042520464324,3241.1403684156303,32.54334035199061,nan,nan,nan,nan,nan,17,1057.692183207833,347.9429425096854,1908.6957201014648,A0,,,T11,imu_only,S01,X_A0_L1_I7_T11__S01,834.6467083785466,3302.256856932693,1728.468391129143,977.6128293008189,908.6729819693647,IMU_ONLY_DRIFTS_AS_EXPECTED,3401.9923064247564,L1,I7,
