capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R01,BS2DCE,20,20,0.00019229112755378462,0.0002437427868470222,0.0002478261504199329,1.0,1.0,R2:L3:I4:T6,R2,L3,I4,T6,83.884125,1.0,False
R01,BS2DCE,20,20,0.00018358731451299188,0.0002548574824418364,0.0002571185233551364,1.0,1.0,R2:L3:I4:T8,R2,L3,I4,T8,122.599875,1.0,True
