version,solver,solver_family,eval_set,n_positions,location,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v1-old,T1+F0,external_position_filter,all8,24,center,12,114.1460067605188,262.0903410028931,164.5233784939133
v1-old,T1+F0,external_position_filter,all8,24,edge,12,183.73297176840856,365.1503847801812,219.7893303652388
v1-old,T1+F0,external_position_filter,noG,24,center,12,137.9011676334104,308.6977381694287,170.64891491116552
v1-old,T1+F0,external_position_filter,noG,24,edge,12,186.96045015631154,410.34226071526575,228.12985008945938
v1-old,T1+F1,external_position_filter,all8,24,center,12,117.85806744472983,252.12948334157213,161.43897131129884
v1-old,T1+F1,external_position_filter,all8,24,edge,12,184.46748959159623,360.9951958585177,218.2907764580831
v1-old,T1+F1,external_position_filter,noG,24,center,12,140.61082191228166,298.337009096352,168.34060885314105
v1-old,T1+F1,external_position_filter,noG,24,edge,12,189.7945348216906,403.55212763525907,226.9539626762248
v1-old,T1+F2,external_position_filter,all8,24,center,12,117.85806744472983,252.12948334157213,161.4397402109568
v1-old,T1+F2,external_position_filter,all8,24,edge,12,184.46748959159623,360.9951958585177,218.2907764580831
v1-old,T1+F2,external_position_filter,noG,24,center,12,140.61082191228166,298.4659796537577,168.3854346996194
v1-old,T1+F2,external_position_filter,noG,24,edge,12,189.7945348216906,403.55212763525907,226.95498239458692
v1-old,T1+F3,external_position_filter,all8,24,center,12,116.78670116173556,253.3323607586139,161.83565022974796
v1-old,T1+F3,external_position_filter,all8,24,edge,12,184.49873692569565,361.4697232357846,218.85620288200167
v1-old,T1+F3,external_position_filter,noG,24,center,12,140.1023917540708,299.73406656496195,168.61052655759153
v1-old,T1+F3,external_position_filter,noG,24,edge,12,189.5989697456477,404.15726961810367,227.16468213132947
v1-old,T1+F4,external_position_filter,all8,24,center,12,117.2170215172898,251.79632571403312,161.13390175179796
v1-old,T1+F4,external_position_filter,all8,24,edge,12,184.36091149769766,360.62498646866027,217.71451631856004
v1-old,T1+F4,external_position_filter,noG,24,center,12,140.57766134260396,299.19896499361477,168.5740442413555
v1-old,T1+F4,external_position_filter,noG,24,edge,12,189.16555524853234,403.6847772882609,226.8371992791548
v1-old,T1+F5,external_position_filter,all8,24,center,12,117.56656512339143,251.6729605313942,161.01628250089203
v1-old,T1+F5,external_position_filter,all8,24,edge,12,184.29005189165775,359.4627876846986,217.0550776689084
v1-old,T1+F5,external_position_filter,noG,24,center,12,140.8924973577004,297.2767488600893,167.92133103711691
v1-old,T1+F5,external_position_filter,noG,24,edge,12,189.50609912173564,403.07497035708775,226.72974591976904
v1-old,T2+F0,external_position_filter,all8,24,center,12,114.8281389768317,261.43663374349836,164.27522932822617
v1-old,T2+F0,external_position_filter,all8,24,edge,12,184.0955552874129,365.2923961451263,219.7807819196044
v1-old,T2+F0,external_position_filter,noG,24,center,12,138.17732257246357,308.85453064980794,170.95381023169818
v1-old,T2+F0,external_position_filter,noG,24,edge,12,186.9562220537279,410.1454659731579,228.14236388186941
v1-old,T2+F1,external_position_filter,all8,24,center,12,118.05656206184378,250.78332449936246,161.15955188272534
v1-old,T2+F1,external_position_filter,all8,24,edge,12,184.68910105849955,361.3131814246981,218.23746603889606
v1-old,T2+F1,external_position_filter,noG,24,center,12,140.8158381809323,298.457686041564,168.563474542177
v1-old,T2+F1,external_position_filter,noG,24,edge,12,189.8238593829659,403.93670435615076,227.0820533331696
v1-old,T2+F2,external_position_filter,all8,24,center,12,118.05656206184378,250.78332449936246,161.1826863133102
v1-old,T2+F2,external_position_filter,all8,24,edge,12,184.68910105849955,361.3131814246981,218.23746603889606
v1-old,T2+F2,external_position_filter,noG,24,center,12,140.8158381809323,298.48220762453633,168.5718521691615
v1-old,T2+F2,external_position_filter,noG,24,edge,12,189.8238593829659,403.93670435615076,227.0820533331696
v1-old,T2+F3,external_position_filter,all8,24,center,12,117.27819848584602,252.08260401272184,161.667781867041
v1-old,T2+F3,external_position_filter,all8,24,edge,12,184.97544567801074,361.50643177280745,218.55734234097054
v1-old,T2+F3,external_position_filter,noG,24,center,12,140.39201168066927,299.7875524737082,168.75244985405752
v1-old,T2+F3,external_position_filter,noG,24,edge,12,189.6295037742209,404.43435816703106,227.2857880144766
v1-old,T2+F4,external_position_filter,all8,24,center,12,117.31066154209718,251.31362391589212,160.9967201882673
v1-old,T2+F4,external_position_filter,all8,24,edge,12,184.43899408833437,360.52165422419637,217.51415738096546
v1-old,T2+F4,external_position_filter,noG,24,center,12,140.73140606701534,299.35791366354937,168.7189026299737
v1-old,T2+F4,external_position_filter,noG,24,edge,12,189.34767127294447,404.21866163179226,227.02224567275104
v1-old,T2+F5,external_position_filter,all8,24,center,12,117.86626554365128,250.54436950156034,160.86335451380856
v1-old,T2+F5,external_position_filter,all8,24,edge,12,184.52078994293424,359.4039961070131,216.96837697414443
v1-old,T2+F5,external_position_filter,noG,24,center,12,141.05816480467269,297.3770134997386,168.03254790706495
v1-old,T2+F5,external_position_filter,noG,24,edge,12,189.51903361329414,403.26290566484494,226.793524811029
v1-old,T3+F0,external_position_filter,all8,24,center,12,107.6359006025347,248.0353223907274,143.8591372943017
v1-old,T3+F0,external_position_filter,all8,24,edge,12,176.0686338597155,286.34191608697427,189.5567941893905
v1-old,T3+F0,external_position_filter,noG,24,center,12,125.03592943073313,336.00175470289935,174.24826385723847
v1-old,T3+F0,external_position_filter,noG,24,edge,12,173.592656682314,318.4306254931289,199.70553243108193
v1-old,T3+F1,external_position_filter,all8,24,center,12,102.22556762703405,243.37407451999098,139.38917464332903
v1-old,T3+F1,external_position_filter,all8,24,edge,12,174.71052481822807,284.7362102374751,187.98925246074722
v1-old,T3+F1,external_position_filter,noG,24,center,12,124.27685522428737,327.61873461884284,170.87958211027524
v1-old,T3+F1,external_position_filter,noG,24,edge,12,167.43495934072007,316.4294583597811,197.3792490031643
v1-old,T3+F2,external_position_filter,all8,24,center,12,102.22556762703405,243.37407451999098,139.38917464332903
v1-old,T3+F2,external_position_filter,all8,24,edge,12,174.71052481822807,284.7362102374751,187.98925246074722
v1-old,T3+F2,external_position_filter,noG,24,center,12,124.27685522428737,327.74717998552444,170.9277671437225
v1-old,T3+F2,external_position_filter,noG,24,edge,12,167.43487066482487,316.4294583597811,197.37923638837805
v1-old,T3+F3,external_position_filter,all8,24,center,12,103.22236086535912,245.96305313973346,140.47951083689392
v1-old,T3+F3,external_position_filter,all8,24,edge,12,174.86525919127098,285.0765415729412,188.2415117067649
v1-old,T3+F3,external_position_filter,noG,24,center,12,124.36731873420008,328.81407935316173,171.34279600698275
v1-old,T3+F3,external_position_filter,noG,24,edge,12,167.94591146448806,316.6038576034552,197.77847209168294
v1-old,T3+F4,external_position_filter,all8,24,center,12,101.6786779029841,242.62243573289095,138.98257929395697
v1-old,T3+F4,external_position_filter,all8,24,edge,12,174.64295430139163,284.62256227089375,187.72524816441322
v1-old,T3+F4,external_position_filter,noG,24,center,12,123.65058403417588,327.55213730256474,170.71740909140922
v1-old,T3+F4,external_position_filter,noG,24,edge,12,167.48317323960345,316.42893504512045,197.78444506752984
v1-old,T3+F5,external_position_filter,all8,24,center,12,101.31274793543827,242.6147027352079,138.43564058212587
v1-old,T3+F5,external_position_filter,all8,24,edge,12,174.60304440535845,283.4954947108912,187.42491889764358
v1-old,T3+F5,external_position_filter,noG,24,center,12,123.53082447461964,327.03665681406375,170.5910679901722
v1-old,T3+F5,external_position_filter,noG,24,edge,12,167.93562608727532,315.4277135419641,197.35296761274287
v1-old,T4+F0,external_position_filter,all8,24,center,12,107.38767846685474,195.2138804295936,126.8724042217662
v1-old,T4+F0,external_position_filter,all8,24,edge,12,181.73168344568035,279.6479511414647,188.31757082765168
v1-old,T4+F0,external_position_filter,noG,24,center,12,125.03592943073313,336.00175470289935,174.24826385723847
v1-old,T4+F0,external_position_filter,noG,24,edge,12,173.592656682314,318.4306254931289,199.70553243108193
v1-old,T4+F1,external_position_filter,all8,24,center,12,110.75272549317393,197.73845670591874,127.44073836210178
v1-old,T4+F1,external_position_filter,all8,24,edge,12,181.81221054370536,279.0357039714476,188.79408635259674
v1-old,T4+F1,external_position_filter,noG,24,center,12,124.27685522428737,327.61873461884284,170.87958211027524
v1-old,T4+F1,external_position_filter,noG,24,edge,12,167.43495934072007,316.4294583597811,197.3792490031643
v1-old,T4+F2,external_position_filter,all8,24,center,12,110.75272549317393,197.73845670591874,127.44073836210178
v1-old,T4+F2,external_position_filter,all8,24,edge,12,181.81221054370536,279.0357039714476,188.79408635259674
v1-old,T4+F2,external_position_filter,noG,24,center,12,124.27685522428737,327.74717998552444,170.9277671437225
v1-old,T4+F2,external_position_filter,noG,24,edge,12,167.43487066482487,316.4294583597811,197.37923638837805
v1-old,T4+F3,external_position_filter,all8,24,center,12,110.40295734574133,198.51362867812017,127.76443571681335
v1-old,T4+F3,external_position_filter,all8,24,edge,12,181.72542261338492,279.079468367977,188.8929554598719
