phase,wall_count,walls,distance_cm,seed,metal_box_count,device,tag_points,trials,samples,range_bias_mean_m,range_sigma_mean_m,hor_err_p50_m,hor_err_p90_m,hor_err_p95_m,z_err_p50_m,z_err_p90_m,z_err_p95_m,pos_err_p50_m,pos_err_p90_m,pos_err_p95_m,failure_gt_0p5m_ratio,failure_gt_1p0m_ratio
phase1,0,none,0,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.019335322082042694,0.03547809273004532,0.04056189954280853,0.019088197499513626,0.04665036499500275,0.055906325578689575,0.03123142570257187,0.05422729253768921,0.062210503965616226,0.0,0.0
phase1,0,none,5,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.019371652975678444,0.03554392606019974,0.04060889035463333,0.01915121078491211,0.047077663242816925,0.05625280737876892,0.031409718096256256,0.054486289620399475,0.062352921813726425,0.0,0.0
phase1,0,none,10,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.019429031759500504,0.03547687456011772,0.04060039296746254,0.01907847449183464,0.04683326184749603,0.056192681193351746,0.03131332993507385,0.05425676330924034,0.06245173141360283,0.0,0.0
phase1,0,none,15,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.019354702904820442,0.03554844483733177,0.04069142043590546,0.019122030586004257,0.04729589819908142,0.05656709149479866,0.03140751272439957,0.054709505289793015,0.06293092668056488,0.0,0.0
phase1,0,none,20,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.019323021173477173,0.035623081028461456,0.040781278163194656,0.019090276211500168,0.04688868671655655,0.0562419518828392,0.03130696713924408,0.05452120304107666,0.062399476766586304,0.0,0.0
phase1,0,none,25,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.01941487565636635,0.035622864961624146,0.04074329510331154,0.019030675292015076,0.046979255974292755,0.056132882833480835,0.03128013014793396,0.05442257225513458,0.062366511672735214,0.0,0.0
phase1,0,none,30,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.01939627155661583,0.035561107099056244,0.04060553014278412,0.019064556807279587,0.04705777019262314,0.05638357251882553,0.03135163336992264,0.0545094832777977,0.06260783970355988,0.0,0.0
phase1,0,none,35,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.019351575523614883,0.035467490553855896,0.040710121393203735,0.019056741148233414,0.04692032188177109,0.05603835731744766,0.031217055395245552,0.05430411547422409,0.062291406095027924,0.0,0.0
phase1,0,none,40,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.019354622811079025,0.03568518906831741,0.04070783033967018,0.01912456937134266,0.04661090672016144,0.05584710091352463,0.03136485815048218,0.0542236790060997,0.06187921017408371,0.0,0.0
phase1,0,none,50,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.01931796222925186,0.03556676581501961,0.040698859840631485,0.019004028290510178,0.047040656208992004,0.056140877306461334,0.03125511854887009,0.05446965992450714,0.062439292669296265,0.0,0.0
phase1,0,none,60,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.019408192485570908,0.03551248461008072,0.040545035153627396,0.018986865878105164,0.04672414809465408,0.05598362535238266,0.03119061142206192,0.05428561568260193,0.062244951725006104,0.0,0.0
phase1,0,none,70,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.019326912239193916,0.035451531410217285,0.040677621960639954,0.01903371699154377,0.046896643936634064,0.05618627369403839,0.031213484704494476,0.05430068075656891,0.062314242124557495,0.0,0.0
phase1,0,none,80,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.019350027665495872,0.035491425544023514,0.04056693613529205,0.01900150626897812,0.04690951853990555,0.05621183291077614,0.031212840229272842,0.05432505160570145,0.062423329800367355,0.0,0.0
phase1,0,none,90,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.019285861402750015,0.03548397123813629,0.04069024324417114,0.019202832132577896,0.04700566828250885,0.0560804083943367,0.0313253179192543,0.054374586790800095,0.06249130144715309,0.0,0.0
phase1,0,none,100,,0,cuda:0,847,128,108416,0.0,0.029999999329447746,0.019443277269601822,0.03564384579658508,0.04068813472986221,0.019109945744276047,0.047252148389816284,0.05626121908426285,0.031357839703559875,0.054552555084228516,0.06253035366535187,0.0,0.0
phase1,1,x_min,0,,0,cuda:0,847,128,108416,0.052506428211927414,0.0504191629588604,0.11847636103630066,0.18152514100074768,0.20574308931827545,0.08192482590675354,0.2438252866268158,0.3062271475791931,0.1590304672718048,0.2882399260997772,0.3436850905418396,0.005820173770189285,0.0
phase1,1,x_min,5,,0,cuda:0,847,128,108416,0.045516666024923325,0.047700922936201096,0.10289257764816284,0.1593293994665146,0.18039602041244507,0.07182028889656067,0.2134944200515747,0.26801925897598267,0.13908153772354126,0.25217169523239136,0.30016106367111206,0.0022967089898884296,0.0
phase1,1,x_min,10,,0,cuda:0,847,128,108416,0.03945738822221756,0.04534453898668289,0.09002159535884857,0.14063595235347748,0.15912000834941864,0.06391239166259766,0.18709784746170044,0.23441562056541443,0.12247622013092041,0.22119006514549255,0.26315516233444214,0.0005534238298423588,0.0
phase1,1,x_min,15,,0,cuda:0,847,128,108416,0.034204740077257156,0.043301839381456375,0.0787244588136673,0.12444236874580383,0.14055012166500092,0.05646107345819473,0.1641354262828827,0.2055915743112564,0.10808846354484558,0.1940297782421112,0.23042680323123932,0.00011068476305808872,0.0
phase1,1,x_min,20,,0,cuda:0,847,128,108416,0.029651332646608353,0.041531071066856384,0.06903702765703201,0.11058269441127777,0.12532608211040497,0.0506477952003479,0.1451728343963623,0.1818128526210785,0.09552624821662903,0.17178568243980408,0.20473967492580414,6.456611299654469e-05,0.0
phase1,1,x_min,25,,0,cuda:0,847,128,108416,0.02570408768951893,0.039996031671762466,0.06066332757472992,0.09818378835916519,0.11122621595859528,0.04562614858150482,0.12812539935112,0.16036838293075562,0.08514605462551117,0.15117943286895752,0.18005917966365814,9.223730558005627e-06,0.0
phase1,1,x_min,30,,0,cuda:0,847,128,108416,0.022282298654317856,0.03866533935070038,0.05366817116737366,0.08833818137645721,0.10004882514476776,0.04097738116979599,0.11373595893383026,0.1414874792098999,0.075873002409935,0.13516271114349365,0.15955807268619537,0.0,0.0
phase1,1,x_min,35,,0,cuda:0,847,128,108416,0.019316036254167557,0.03751179203391075,0.047738172113895416,0.07953628152608871,0.09033306688070297,0.037546634674072266,0.10279744118452072,0.12750394642353058,0.06845699995756149,0.12144675105810165,0.14318446815013885,0.0,0.0
phase1,1,x_min,40,,0,cuda:0,847,128,108416,0.016744645312428474,0.03651180490851402,0.04246492683887482,0.07204289734363556,0.08153185993432999,0.03447330370545387,0.09266720712184906,0.11425407975912094,0.06184655427932739,0.10931512713432312,0.12867388129234314,0.0,0.0
phase1,1,x_min,50,,0,cuda:0,847,128,108416,0.01258322037756443,0.034893471747636795,0.03450976312160492,0.06056927517056465,0.06883208453655243,0.029803242534399033,0.07740327715873718,0.0946941077709198,0.05193907395005226,0.09143956750631332,0.10639059543609619,0.0,0.0
phase1,1,x_min,60,,0,cuda:0,847,128,108416,0.00945600401610136,0.03367733210325241,0.029075371101498604,0.05214983969926834,0.05937959998846054,0.02635219134390354,0.06683240830898285,0.08090871572494507,0.04495839774608612,0.07827179878950119,0.09073024243116379,0.0,0.0
phase1,1,x_min,70,,0,cuda:0,847,128,108416,0.0071059721522033215,0.03276343271136284,0.02551513910293579,0.046434760093688965,0.0532149001955986,0.023864038288593292,0.05977251008152962,0.07186022400856018,0.040099699050188065,0.07003933191299438,0.08077173680067062,0.0,0.0
phase1,1,x_min,80,,0,cuda:0,847,128,108416,0.005339976400136948,0.03207665681838989,0.023208606988191605,0.042561840265989304,0.04866708442568779,0.022377492859959602,0.055313631892204285,0.06605242192745209,0.03715572878718376,0.06465364992618561,0.07419353723526001,0.0,0.0
phase1,1,x_min,90,,0,cuda:0,847,128,108416,0.0040128715336322784,0.031560562551021576,0.021801652386784554,0.040082503110170364,0.04588863253593445,0.021265799179673195,0.05230436474084854,0.06260068714618683,0.03502155840396881,0.06070712208747864,0.06984414160251617,0.0,0.0
phase1,1,x_min,100,,0,cuda:0,847,128,108416,0.00301558175124228,0.031172722578048706,0.020954012870788574,0.03857062757015228,0.044043391942977905,0.020424168556928635,0.05033186078071594,0.060208745300769806,0.03372686356306076,0.058611609041690826,0.06720680743455887,0.0,0.0
phase1,2,x_min+x_max,0,,0,cuda:0,847,128,108416,0.10501285642385483,0.0708383321762085,0.11308204382658005,0.21440961956977844,0.24665901064872742,0.1980241984128952,0.37532728910446167,0.4280097484588623,0.2489091455936432,0.3992389440536499,0.44936010241508484,0.023631198331713676,3.689492223202251e-05
phase1,2,x_min+x_max,5,,0,cuda:0,847,128,108416,0.09103333950042725,0.06540185213088989,0.09948055446147919,0.18778803944587708,0.21624106168746948,0.17162835597991943,0.32782644033432007,0.37432992458343506,0.21671921014785767,0.3494812250137329,0.3922211527824402,0.00796930305659771,9.223730558005627e-06
