layout_delay_config,layout,delay_mode,tag_solver,n_positions,repeatability_3d_sd_median_mm,absolute_3d_rmse_mm,absolute_3d_median_mm,absolute_3d_p95_mm,x_rmse_mm,y_rmse_mm,z_rmse_mm,note
Legacy production mean-aggregated static point v4-io/T1,AutoPos v4-io rigid no-scale,solver residual corrections,T1 production mean aggregation,24,nan,139.55059600371132,73.96289045329999,282.1294949564182,38.48072371984948,130.53817547348999,30.876973476038735,legacy exported production output before the production path was switched to T4
Original FULL median-estimator ablation v4-io/T4,AutoPos v4-io rigid no-scale,solver residual corrections,T4,24,67.43906137380525,108.91685505811395,69.75096368754686,173.81072265295094,37.57429973038984,97.94518725561268,29.28811378330796,median static-point estimator ablation; not the deployed production mean-aggregated static point
Original FULL filtered static v4-io/T4+F5,AutoPos v4-io rigid no-scale,solver residual corrections,T4+F5 stationary smoother,24,18.678582108818077,109.50733056678939,64.88384653508547,175.69285094896946,36.99985210239926,98.90274668921622,29.001949755031983,offline stationary/static-lock diagnostic; reduces per-capture jitter but uses full static dwell
Original FULL filtered static v4-io/T3+F5,AutoPos v4-io rigid no-scale,solver residual corrections,T3+F5 stationary smoother,24,20.971742941157125,105.3842867122085,65.17403345781946,170.10349721837537,43.58683846464116,89.77949570459798,33.847858861770206,best combined filtered static deployment row; static-lock/stationary smoother diagnostic
Vicon truth anchors + delaycal/T4,OptiTrack/Vicon truth anchors,vicon_inter_anchor_delaycal,T4,24,59.78332300936975,77.67175013600712,64.09048082988876,128.3843598352106,40.23822646229013,60.979254496444156,26.368853244266624,"known-anchor + re-estimated-delay control; best static control and better than self-cal, not a lower bound on achievable error"
Full Sim(3) scale-to-Vicon + delaycal/T4,AutoPos v4-io similarity-scaled to Vicon,scaled_layout_inter_anchor_delaycal,T4,24,63.29954812839603,81.6108812979677,67.05420723538984,132.61209744798145,41.30039199049239,65.18845091835497,26.553331891268748,"global scale removed, residual delay corrections re-estimated"
One-baseline E-H + delaycal/T4,AutoPos v4-io one-baseline E-H scale,one_baseline_layout_inter_anchor_delaycal,T4,24,63.52592856743303,78.41099137601643,58.118155660266694,130.2241090849533,37.62390405067134,64.63353012710122,23.563365546218055,pre-registered one-baseline engineering control
