L,P,I,T,stress_count,p50_mean,p95_mean,p95_worst,p95_std_across_stress,rmse_mean,horiz_xz_p95_mean,vertical_y_p95_mean,sameP_delta_p95_mean,sameP_improved_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short,robust_score,robust_rank
L20,P0,I5,T4,5,88.55267403752057,173.2420295751205,179.13371337704717,3.4479204393179415,106.05703753629135,128.6022955054513,135.45533978915572,58.56010842035721,1.0,58.56010842035721,52.88380140234749,140.20383445388552,239.10355797972716,L20 Xsens MTi-3,X_A0_U4_P0_L20_I5_T4,242.32937732008054,26
L16,P0,I5,T4,5,89.15514429758437,174.2607760758601,181.28826309066605,4.8293874562758115,106.87674955274838,129.59582821741304,136.81560791285483,57.541361919617636,1.0,57.541361919617636,53.15430860903008,141.601396319981,234.76462336173964,L16 ICM-45686,X_A0_U4_P0_L16_I5_T4,244.56653712568595,27
L2,P5,I3,T2,5,101.49492478321335,170.17425354157913,187.0314400197315,15.076371230851878,111.84329966639434,135.04799227485086,118.69746339468081,-13.437194108376294,0.24,61.6278844538986,51.304489648637926,122.39588631664886,224.6827865616305,L2 MPU6050/JY61P-like,X_A0_U4_P5_L2_I3_T2,257.3539390230766,28
L2,P4,I5,T2,5,91.8629391620598,165.67195144436104,188.8451693071164,18.849939875984816,105.0609847598881,121.80560332553758,117.82820595965595,-26.785715501333563,0.04,66.13018655111668,21.24190530919182,135.0981183828124,268.78850895378076,L2 MPU6050/JY61P-like,X_A0_U4_P4_L2_I5_T2,258.728907334607,29
L20,P0,I3,T4,5,91.71692154731534,186.58489242146737,193.7702948639299,4.3181002770052075,111.70583631630802,136.82813586824415,146.1124879136504,45.21724557401034,1.0,45.21724557401034,54.78331152905681,144.74085293609906,197.60413474830406,L20 Xsens MTi-3,X_A0_U4_P0_L20_I3_T4,264.8113121707551,30
L16,P0,I3,T4,5,92.07306299354774,187.65455223268893,195.39214234873026,4.396234282700715,113.03028640764587,137.73537297027127,146.7453480951894,44.147585762788786,1.0,44.147585762788786,54.99280559439656,145.19624661634742,190.23726383889274,L16 ICM-45686,X_A0_U4_P0_L16_I3_T4,266.7843426064994,31
L2,P0,I5,T4,5,94.23649949687645,190.20610927392198,200.41631283192314,6.018870184825908,114.36450155544792,140.1951497785297,148.53378526879087,41.59602872155573,1.0,41.59602872155573,55.057509956998544,147.2622197123041,183.24735356195524,L2 MPU6050/JY61P-like,X_A0_U4_P0_L2_I5_T4,272.04214454155175,32
L2,P0,I3,T2,5,100.2560447537788,189.18184671570617,212.35546647534585,17.066722722933573,115.37076923348893,142.2550891596224,141.77013115894312,42.62029127977154,1.0,42.62029127977154,51.945155428197175,149.66062313842514,202.56246083667074,L2 MPU6050/JY61P-like,X_A0_U4_P0_L2_I3_T2,275.30028063289814,33
L2,P5,I5,T2,5,106.45962170071618,179.59374817701092,204.41196031208125,20.172211597623388,117.51878759914341,141.54129426649655,122.09719627133731,-22.856688743808075,0.12,52.20838981846681,46.46770947423954,127.72009125613098,182.96300206836298,L2 MPU6050/JY61P-like,X_A0_U4_P5_L2_I5_T2,276.010120160611,34
L2,P0,I5,T2,5,104.36519747074745,191.9821587377343,217.95080816841923,20.868615436895396,119.20182294017982,145.13964573168414,136.6729997561892,39.81997925774344,1.0,39.81997925774344,47.945464147185874,147.69918386061508,211.3571393533959,L2 MPU6050/JY61P-like,X_A0_U4_P0_L2_I5_T2,280.46482436133743,35
L2,P0,I3,T4,5,97.06271204069942,200.68679936939674,211.86117401014766,6.920581851568196,119.45552079153438,147.16643682097222,157.25503100024162,31.11533862608099,1.0,31.11533862608099,56.42831190801854,151.4294806802854,147.4127278264457,L2 MPU6050/JY61P-like,X_A0_U4_P0_L2_I3_T4,289.773797718471,36
