job_index,L,seed_id,stress_id,I,P_ids,T_ids
0,L2,S00,ST0_nominal,I3,P0+P4+P5,T2+T4
1,L2,S00,ST0_nominal,I5,P0+P4+P5,T2+T4
2,L2,S00,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
3,L2,S00,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
4,L2,S00,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
5,L2,S00,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
6,L2,S00,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
7,L2,S00,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
8,L2,S00,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
9,L2,S00,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
10,L2,S01,ST0_nominal,I3,P0+P4+P5,T2+T4
11,L2,S01,ST0_nominal,I5,P0+P4+P5,T2+T4
12,L2,S01,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
13,L2,S01,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
14,L2,S01,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
15,L2,S01,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
16,L2,S01,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
17,L2,S01,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
18,L2,S01,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
19,L2,S01,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
20,L2,S02,ST0_nominal,I3,P0+P4+P5,T2+T4
21,L2,S02,ST0_nominal,I5,P0+P4+P5,T2+T4
22,L2,S02,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
23,L2,S02,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
24,L2,S02,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
25,L2,S02,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
26,L2,S02,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
27,L2,S02,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
28,L2,S02,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
29,L2,S02,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
30,L2,S03,ST0_nominal,I3,P0+P4+P5,T2+T4
31,L2,S03,ST0_nominal,I5,P0+P4+P5,T2+T4
32,L2,S03,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
33,L2,S03,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
34,L2,S03,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
35,L2,S03,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
36,L2,S03,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
37,L2,S03,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
38,L2,S03,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
39,L2,S03,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
40,L2,S04,ST0_nominal,I3,P0+P4+P5,T2+T4
41,L2,S04,ST0_nominal,I5,P0+P4+P5,T2+T4
42,L2,S04,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
43,L2,S04,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
44,L2,S04,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
45,L2,S04,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
46,L2,S04,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
47,L2,S04,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
48,L2,S04,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
49,L2,S04,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
50,L16,S00,ST0_nominal,I3,P0+P4+P5,T2+T4
51,L16,S00,ST0_nominal,I5,P0+P4+P5,T2+T4
52,L16,S00,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
53,L16,S00,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
54,L16,S00,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
55,L16,S00,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
56,L16,S00,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
57,L16,S00,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
58,L16,S00,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
59,L16,S00,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
60,L16,S01,ST0_nominal,I3,P0+P4+P5,T2+T4
61,L16,S01,ST0_nominal,I5,P0+P4+P5,T2+T4
62,L16,S01,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
63,L16,S01,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
64,L16,S01,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
65,L16,S01,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
66,L16,S01,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
67,L16,S01,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
68,L16,S01,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
69,L16,S01,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
70,L16,S02,ST0_nominal,I3,P0+P4+P5,T2+T4
71,L16,S02,ST0_nominal,I5,P0+P4+P5,T2+T4
72,L16,S02,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
73,L16,S02,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
74,L16,S02,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
75,L16,S02,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
76,L16,S02,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
77,L16,S02,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
78,L16,S02,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
79,L16,S02,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
80,L16,S03,ST0_nominal,I3,P0+P4+P5,T2+T4
81,L16,S03,ST0_nominal,I5,P0+P4+P5,T2+T4
82,L16,S03,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
83,L16,S03,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
84,L16,S03,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
85,L16,S03,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
86,L16,S03,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
87,L16,S03,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
88,L16,S03,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
89,L16,S03,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
90,L16,S04,ST0_nominal,I3,P0+P4+P5,T2+T4
91,L16,S04,ST0_nominal,I5,P0+P4+P5,T2+T4
92,L16,S04,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
93,L16,S04,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
94,L16,S04,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
95,L16,S04,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
96,L16,S04,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
97,L16,S04,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
98,L16,S04,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
99,L16,S04,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
100,L20,S00,ST0_nominal,I3,P0+P4+P5,T2+T4
101,L20,S00,ST0_nominal,I5,P0+P4+P5,T2+T4
102,L20,S00,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
103,L20,S00,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
104,L20,S00,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
105,L20,S00,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
106,L20,S00,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
107,L20,S00,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
108,L20,S00,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
109,L20,S00,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
110,L20,S01,ST0_nominal,I3,P0+P4+P5,T2+T4
111,L20,S01,ST0_nominal,I5,P0+P4+P5,T2+T4
112,L20,S01,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
113,L20,S01,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
114,L20,S01,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
115,L20,S01,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
116,L20,S01,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
117,L20,S01,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
118,L20,S01,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
119,L20,S01,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
120,L20,S02,ST0_nominal,I3,P0+P4+P5,T2+T4
121,L20,S02,ST0_nominal,I5,P0+P4+P5,T2+T4
122,L20,S02,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
123,L20,S02,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
124,L20,S02,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
125,L20,S02,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
126,L20,S02,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
127,L20,S02,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
128,L20,S02,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
129,L20,S02,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
130,L20,S03,ST0_nominal,I3,P0+P4+P5,T2+T4
131,L20,S03,ST0_nominal,I5,P0+P4+P5,T2+T4
132,L20,S03,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
133,L20,S03,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
134,L20,S03,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
135,L20,S03,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
136,L20,S03,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
137,L20,S03,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
138,L20,S03,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
139,L20,S03,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
140,L20,S04,ST0_nominal,I3,P0+P4+P5,T2+T4
141,L20,S04,ST0_nominal,I5,P0+P4+P5,T2+T4
142,L20,S04,ST1_vibration_3x,I3,P0+P4+P5,T2+T4
143,L20,S04,ST1_vibration_3x,I5,P0+P4+P5,T2+T4
144,L20,S04,ST2_bias_rw_2x,I3,P0+P4+P5,T2+T4
145,L20,S04,ST2_bias_rw_2x,I5,P0+P4+P5,T2+T4
146,L20,S04,ST3_extrinsic_4x,I3,P0+P4+P5,T2+T4
147,L20,S04,ST3_extrinsic_4x,I5,P0+P4+P5,T2+T4
148,L20,S04,ST4_harsh_combo,I3,P0+P4+P5,T2+T4
149,L20,S04,ST4_harsh_combo,I5,P0+P4+P5,T2+T4
