experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,L,I,T,P,U,stress_id,seed_id,kind,sameP_uwb_p50_mm,sameP_uwb_p95_mm,sameP_delta_p50_mm,sameP_delta_p95_mm,b0_uwb_p50_mm,b0_uwb_p95_mm,b0_delta_p50_mm,b0_delta_p95_mm
X_A0_L2_I3_T11__ST1_vibration_3x__S00,imu_only_stress_diagnostic,L2/I3 IMU-only stress diagnostic ST1_vibration_3x/S00.,34,17,40661,3192.176677834056,13653.660229705654,17120.16298218964,7726.613920959833,40661,2167.7968230812453,11512.80806829577,14813.69161727831,6394.183604375691,40661,1156.117981112614,7102.562696219236,10157.941243123805,4337.6236255700405,3635.85512942661,14343.374294542344,7099.178735875363,11927.553447323666,5857.926681086807,12351.61174101337,12343.58289379491,1262.5851225261088,9675.366649912043,408.8970379527933,734.4449274169372,16038.836644100247,13738.100756260435,133.66369783627755,nan,nan,nan,nan,nan,17,8994.093788574706,7029.795753944421,15161.322586533479,A0,L2,I3,T11,,,ST1_vibration_3x,S00,imu_only,nan,nan,nan,nan,105.83784720842489,231.80213799547772,-3530.017282218185,-14111.572156546867
X_A0_U4_P0_L2_I3_T2,position_prior_screening,Stress ST1_vibration_3x/S00: A0/U4/P0/L2/I3/T2.,34,17,40661,91.24722559215493,160.99159068802234,186.79699033274335,109.58529701262285,40661,59.06355160689687,117.25674459064832,138.8634404832631,75.79318671453031,40661,55.698967174960444,126.00064850794752,153.39998032729125,79.14752155943428,94.41790799296913,175.48158470018114,106.0616410510759,124.19674681665433,138.3121484713323,82.50201987216654,70.02652638222334,35.51077233563984,50.60363270701043,85.09408660934717,145.99992244537964,nan,nan,nan,1.0,0.7150284523087678,3.604260106071234,nan,nan,17,269.68737870495767,27.171848003055914,689.1535637037424,A0,L2,I3,T2,P0,U4,ST1_vibration_3x,S00,position_fusion,105.83784720842489,231.80213799547772,11.419939215455756,56.32055329529658,105.83784720842489,231.80213799547772,11.419939215455756,56.32055329529658
X_A0_U4_P0_L2_I3_T4,loose_ukf_screening,Stress ST1_vibration_3x/S00: A0/U4/P0/L2/I3/T4.,34,17,40661,93.84266726261524,180.11729903291044,218.5585188325777,121.77709575064576,40661,59.28791378494392,128.8272937742712,155.4763172425133,82.04153574282795,40661,57.22089838823308,140.71638162194495,174.36018934251996,89.99359678566152,95.40426867730937,198.58867985336786,117.79359648180244,145.184635208116,161.96784173552473,85.00421122232379,67.00959794020932,34.44684231132794,56.055845100220864,87.55100678432433,149.76983143296474,nan,nan,nan,1.0,0.3530782428833059,2.1968713057344327,nan,nan,17,159.15233685423502,25.891527537286663,423.95501981210845,A0,L2,I3,T4,P0,U4,ST1_vibration_3x,S00,position_fusion,105.83784720842489,231.80213799547772,10.433578531115515,33.21345814210986,105.83784720842489,231.80213799547772,10.433578531115515,33.21345814210986
X_A0_U4_P4_L2_I3_T2,position_prior_screening,Stress ST1_vibration_3x/S00: A0/U4/P4/L2/I3/T2.,34,17,40661,78.05777437436306,133.07497810750579,151.3385643006757,90.45330481341689,40661,47.4952562192992,92.83722620717788,108.66028562230775,60.071103023696246,40661,49.44824974026437,109.18483444527487,129.45399475320028,67.62590430586032,79.3856902981231,139.01439845700594,88.998567548115,96.55327275700832,111.71156939403768,78.02492841587667,65.99096127734234,38.604176284989876,21.73088331166977,70.12792855194448,125.28244357170767,nan,nan,nan,1.0,0.23208126965820913,0.9306542789480021,nan,nan,17,412.7109629127252,32.08041220035278,1012.3692068780819,A0,L2,I3,T2,P4,U4,ST1_vibration_3x,S00,position_fusion,78.20862527471638,138.8862359430275,-1.177065023406712,-0.12816251397845235,105.83784720842489,231.80213799547772,26.452156910301795,92.78773953847178
X_A0_U4_P4_L2_I3_T4,loose_ukf_screening,Stress ST1_vibration_3x/S00: A0/U4/P4/L2/I3/T4.,34,17,40661,73.96240979814144,129.45007209935588,151.524901997614,87.50428888310684,40661,43.65921511883108,88.5624843628931,106.75702947486253,57.35174133407394,40661,48.079753669389106,106.04677995211097,126.93294460154061,66.08916960355675,76.5848709852726,136.64878748654255,85.48740876947443,88.40887275627988,110.3891372638628,73.49229530094277,64.81299490135626,34.67215511274526,23.476331665317986,68.52367778275847,116.56099746983935,nan,nan,nan,1.0,0.05367081912796799,0.2532217186766517,nan,nan,17,409.69882292381857,32.701951421190756,1107.128582208822,A0,L2,I3,T4,P4,U4,ST1_vibration_3x,S00,position_fusion,78.20862527471638,138.8862359430275,1.6237542894437809,2.237448456484941,105.83784720842489,231.80213799547772,29.252976223152288,95.15335050893518
X_A0_U4_P5_L2_I3_T2,position_prior_screening,Stress ST1_vibration_3x/S00: A0/U4/P5/L2/I3/T2.,34,17,40661,96.793858331143,152.20111376897233,167.9714279529388,107.80862635170867,40661,66.55970154773871,122.08532420090265,138.45684772870538,80.96156984698393,40661,54.28770806883813,112.9509050131212,128.74567392633344,71.18935400573793,95.08102688273955,151.33345956287695,101.80178162039209,120.21279643913482,115.94612570126299,80.26572059526163,54.80778892818418,50.13740924717365,51.389454499114606,64.60563161364259,113.51235296342578,nan,nan,nan,1.0,0.2890616313021835,1.3138220444925086,nan,nan,17,405.4118280775941,45.70508474310952,1047.4901799530326,A0,L2,I3,T2,P5,U4,ST1_vibration_3x,S00,position_fusion,92.92606318184494,156.73705943320283,-2.154963700894612,5.403599870325877,105.83784720842489,231.80213799547772,10.75682032568534,80.46867843260077
X_A0_U4_P5_L2_I3_T4,loose_ukf_screening,Stress ST1_vibration_3x/S00: A0/U4/P5/L2/I3/T4.,34,17,40661,96.65815050507108,151.83621316002453,167.79432273941615,107.07192329904069,40661,65.07511680856024,124.65795699570252,144.47161006913817,81.77300576320769,40661,53.109709997610025,110.43877141587973,125.41280899890194,69.11998471792404,91.4172165873323,154.3910269443587,101.87777143267513,117.95185791266567,113.54619961325412,78.1504716287796,64.04979744300643,47.95191703740801,55.731616471528326,61.14729101995964,111.91455514459805,nan,nan,nan,1.0,0.05986126506505397,0.32719140918600953,nan,nan,17,530.857563655101,47.843920476329856,1257.9398013861662,A0,L2,I3,T4,P5,U4,ST1_vibration_3x,S00,position_fusion,92.92606318184494,156.73705943320283,1.508846594512633,2.3460324888441164,105.83784720842489,231.80213799547772,14.420630621092585,77.41111105111901
X_A0_L2_I5_T11__ST2_bias_rw_2x__S00,imu_only_stress_diagnostic,L2/I5 IMU-only stress diagnostic ST2_bias_rw_2x/S00.,34,17,40661,6780.250582145572,28639.869575059034,35425.37550043109,16278.64907628241,40661,5275.352124685346,24227.50382982269,31258.808499700517,14012.896143541067,40661,2870.991274808769,14627.653939527561,19098.890442849024,8284.513106941293,7898.354849474755,29006.71990532874,14224.613451376343,23590.79509433982,14091.174086250418,29845.186165896255,29378.833212583144,4247.692906713624,27238.781558021496,525.2701243465538,971.8862158321556,32298.504834939813,26006.845442410406,270.47835716576856,nan,nan,nan,nan,nan,17,109858.74622500129,42223.804637084264,225380.54881230142,A0,L2,I5,T11,,,ST2_bias_rw_2x,S00,imu_only,nan,nan,nan,nan,105.83784720842489,231.80213799547772,-7792.51700226633,-28774.917767333263
X_A0_U4_P0_L2_I5_T2,position_prior_screening,Stress ST2_bias_rw_2x/S00: A0/U4/P0/L2/I5/T2.,34,17,40661,103.80950679308567,194.03860734260982,229.2341272921696,129.8077745529068,40661,76.50740396987813,158.52479553760708,190.82229393310234,102.2451099004817,40661,50.968322085653426,129.33930042836118,161.44999304859198,79.97497005824195,106.45190257308451,187.60518887166256,115.9102539730319,162.7026425398418,124.1620801991877,116.01737229649817,95.95949825308877,38.03044682598147,49.184941208774774,91.93833837673886,163.81408318098954,nan,nan,nan,1.0,1.8034262981105784,6.981077532589049,nan,nan,17,275.31953795803537,28.82189996813827,729.8090862517687,A0,L2,I5,T2,P0,U4,ST2_bias_rw_2x,S00,position_fusion,105.83784720842489,231.80213799547772,-0.6140553646596203,44.19694912381516,105.83784720842489,231.80213799547772,-0.6140553646596203,44.19694912381516
X_A0_U4_P0_L2_I5_T4,loose_ukf_screening,Stress ST2_bias_rw_2x/S00: A0/U4/P0/L2/I5/T4.,34,17,40661,91.73087404505159,174.60501804871416,210.87126100744956,117.75085381537575,40661,59.795208552964546,127.47818243233775,153.44461976102554,81.33178609843323,40661,54.507059296837156,133.69097299864666,166.14351430214765,85.14930501353896,95.26701675813946,180.61509279138033,113.31218167584696,141.9542648563367,142.4622319312594,91.07706903218471,70.15736092523787,31.395205905083913,55.21025833561541,86.91839352605253,145.24415777763272,nan,nan,nan,1.0,0.6038050394994421,3.2233929397886953,nan,nan,17,194.80455037060034,26.435299269394932,542.4320040569181,A0,L2,I5,T4,P0,U4,ST2_bias_rw_2x,S00,position_fusion,105.83784720842489,231.80213799547772,10.570830450285428,51.18704520409739,105.83784720842489,231.80213799547772,10.570830450285428,51.18704520409739
