experiment_id,deployability,description,capture_id,tag,n_samples,availability_fraction,effective_update_rate_hz,err3d_p50_mm,err3d_p95_mm,err3d_rmse_mm,err_horizontal_xz_p50_mm,err_horizontal_xz_p95_mm,err_vertical_y_p50_mm,err_vertical_y_p95_mm,max_gap_s,turn_center_abs_error_3d_mm,turn_center_abs_error_xz_mm,turn_center_abs_error_y_mm,fused_radius_mm,opti_radius_mm,nominal_radius_mm,radius_error_mm,radius_error_abs_mm,circle_thickness_rms_mm,circle_thickness_p95_mm,A,U,P,L,I,T,kind
X_A0_U4_P0_T1,uwb_only_control,A0/U4/P0/T1 pure UWB control.,R01,BS2DCE,1201,1.0,9.670244657189972,122.44387286762633,595.4802850951193,237.79541278947428,81.37866712846248,233.37983256769883,74.28207389014119,545.1237261143797,0.2472799999999893,42.94405785498898,16.31204664172615,39.725423086617866,474.042720899038,426.45493419491004,440.0,47.58778670412795,47.58778670412795,76.39110951114701,179.80284859490376,A0,U4,P0,B0,I0,T1,uwb_only
X_A0_U4_P0_T1,uwb_only_control,A0/U4/P0/T1 pure UWB control.,R01,BSDC91,1200,1.0,9.75562167699062,98.17622406386265,304.25507185810864,148.9811343766482,63.58174671147525,173.19136610724595,61.49006814236873,245.42108568462734,0.229810999999998,56.30099524602509,22.65948698767219,51.539787690176354,604.2651690081118,553.4977558404732,560.0,50.76741316763855,50.76741316763855,49.7118737466283,101.2325436926486,A0,U4,P0,B0,I0,T1,uwb_only
X_A0_U4_P0_T1,uwb_only_control,A0/U4/P0/T1 pure UWB control.,R02,BS2DCE,1201,1.0,10.185685038246906,123.19353943187785,336.26272848775994,182.9068489794698,83.91818006117069,202.56801536700763,71.26980848771245,304.71362866611753,0.2527329999999921,26.54178067149277,25.69448429996054,6.652788721484285,467.8513687188747,411.38212265509225,440.0,56.469246063782464,56.469246063782464,66.11642920462752,133.54720793388276,A0,U4,P0,B0,I0,T1,uwb_only
X_A0_U4_P0_T1,uwb_only_control,A0/U4/P0/T1 pure UWB control.,R02,BSDC91,1200,1.0,9.564252649297773,104.61068203841941,225.64721168527757,132.63115184938476,64.7351506628271,136.72909844754912,70.41239683729816,200.84557267621923,0.21061200000000468,55.395601525896,10.196277648043186,54.44913764734815,575.6464153651309,533.9870329923971,560.0,41.65938237273383,41.65938237273383,59.20789417064542,109.3810493623121,A0,U4,P0,B0,I0,T1,uwb_only
X_A0_U4_P0_T1,uwb_only_control,A0/U4/P0/T1 pure UWB control.,R03,BS2DCE,1050,1.0,9.709869110964398,131.7493780327302,310.8326703379214,170.44564323136206,82.1568604649323,205.31437900237745,81.6336908553576,254.05854526100092,0.21259900000000087,67.24298372776025,64.27838311075419,19.746096456741498,482.1093272534669,410.241275797954,440.0,71.8680514555129,71.8680514555129,56.50101153834942,120.60610139069021,A0,U4,P0,B0,I0,T1,uwb_only
X_A0_U4_P0_T1,uwb_only_control,A0/U4/P0/T1 pure UWB control.,R03,BSDC91,1200,1.0,9.619824534400529,92.81429899887313,225.32846866485008,121.07104124220697,62.36344263362394,154.05959744809323,60.552795442985484,177.6217370263746,0.22298299999999927,61.510653308971996,34.234838681518085,51.10319257098308,570.8034527473486,532.4057597268549,560.0,38.39769302049376,38.39769302049376,50.9265005503414,96.84968945513873,A0,U4,P0,B0,I0,T1,uwb_only
X_A0_U4_P0_T1,uwb_only_control,A0/U4/P0/T1 pure UWB control.,R04,BS2DCE,1200,1.0,9.648877353119858,123.94235545012985,326.61429251530615,167.3198647038622,81.63130105573819,209.38451284317193,76.97719156506821,271.48230962971314,0.22420100000000076,67.57477070999687,64.05383483713217,21.52802543583698,473.8930500492601,410.89796258200374,440.0,62.99508746725638,62.99508746725638,59.6488979873866,112.0156948413773,A0,U4,P0,B0,I0,T1,uwb_only
X_A0_U4_P0_T1,uwb_only_control,A0/U4/P0/T1 pure UWB control.,R04,BSDC91,1200,1.0,10.10243872870947,90.91127239327773,216.15981068919183,123.97927520726385,62.643848296748786,172.17993731011617,52.32238887412393,162.61705111098334,0.2215089999999975,54.52411314469612,49.72876398273572,22.35909092438669,585.7799062607759,533.4026523194126,560.0,52.37725394136328,52.37725394136328,60.779968292404845,118.8324372499477,A0,U4,P0,B0,I0,T1,uwb_only
X_A0_U4_P0_T1,uwb_only_control,A0/U4/P0/T1 pure UWB control.,R05,BS2DCE,1200,1.0,9.883473843386287,132.22805429241018,334.88371378802753,184.0546906733597,94.51774104894531,269.7521518972738,72.40026358543219,248.53676740876065,0.24221000000000004,81.76589302909751,81.7658422440349,0.09113160491187955,489.43366967289,412.072896874072,440.0,77.360772798818,77.360772798818,83.17127926064754,156.0035351642812,A0,U4,P0,B0,I0,T1,uwb_only
X_A0_U4_P0_T1,uwb_only_control,A0/U4/P0/T1 pure UWB control.,R05,BSDC91,1201,1.0,10.079629069650302,102.78225385039497,189.85922999319786,115.78088814620898,77.66755733376723,155.83839113575797,48.75642754622436,134.79476383785675,0.20794599999999974,50.96143744284207,40.233608054142636,31.27818551620817,599.750718219652,534.7991719953401,560.0,64.95154622431187,64.95154622431187,44.78574879017737,88.08517423501678,A0,U4,P0,B0,I0,T1,uwb_only
X_A0_U4_P0_T1,uwb_only_control,A0/U4/P0/T1 pure UWB control.,R06,BS2DCE,1200,1.0,9.541347429083926,140.29855916447576,272.08960363594827,164.09025185698425,80.34788209034886,177.95369298088292,96.64576654332853,231.08303924081116,0.19066100000000574,95.21177250069135,33.36051384367153,89.1759930632096,425.9138284492294,361.6911856341384,440.0,64.22264281509104,64.22264281509104,96.42427241275301,168.12233972799453,A0,U4,P0,B0,I0,T1,uwb_only
