job_index,experiment_id,L,I,P,T,seed_id,stress_id,wall_time_s,status
2,X_A0_U4_P0_L2_I3_T2,L2,I3,P0,T2,S00,ST1_vibration_3x,6.126698682986898,ok
2,X_A0_U4_P0_L2_I3_T4,L2,I3,P0,T4,S00,ST1_vibration_3x,5.598566283006221,ok
2,X_A0_U4_P4_L2_I3_T2,L2,I3,P4,T2,S00,ST1_vibration_3x,5.973642456025118,ok
2,X_A0_U4_P4_L2_I3_T4,L2,I3,P4,T4,S00,ST1_vibration_3x,5.479233277990716,ok
2,X_A0_U4_P5_L2_I3_T2,L2,I3,P5,T2,S00,ST1_vibration_3x,5.287412308010971,ok
2,X_A0_U4_P5_L2_I3_T4,L2,I3,P5,T4,S00,ST1_vibration_3x,5.712296359997708,ok
2,L2_S00_ST1_vibration_3x_I3_bundle,L2,I3,,,S00,ST1_vibration_3x,35.206662686978234,bundle_complete
5,X_A0_U4_P0_L2_I5_T2,L2,I5,P0,T2,S00,ST2_bias_rw_2x,5.6991685980174225,ok
5,X_A0_U4_P0_L2_I5_T4,L2,I5,P0,T4,S00,ST2_bias_rw_2x,6.065184200007934,ok
5,X_A0_U4_P4_L2_I5_T2,L2,I5,P4,T2,S00,ST2_bias_rw_2x,4.891209175984841,ok
5,X_A0_U4_P4_L2_I5_T4,L2,I5,P4,T4,S00,ST2_bias_rw_2x,5.804326732992195,ok
5,X_A0_U4_P5_L2_I5_T2,L2,I5,P5,T2,S00,ST2_bias_rw_2x,5.948546002007788,ok
5,X_A0_U4_P5_L2_I5_T4,L2,I5,P5,T4,S00,ST2_bias_rw_2x,5.764206326013664,ok
5,L2_S00_ST2_bias_rw_2x_I5_bundle,L2,I5,,,S00,ST2_bias_rw_2x,35.213040378002916,bundle_complete
3,X_A0_U4_P0_L2_I5_T2,L2,I5,P0,T2,S00,ST1_vibration_3x,6.316811611002777,ok
3,X_A0_U4_P0_L2_I5_T4,L2,I5,P0,T4,S00,ST1_vibration_3x,6.046862935996614,ok
3,X_A0_U4_P4_L2_I5_T2,L2,I5,P4,T2,S00,ST1_vibration_3x,5.803928317996906,ok
3,X_A0_U4_P4_L2_I5_T4,L2,I5,P4,T4,S00,ST1_vibration_3x,5.572723738994682,ok
3,X_A0_U4_P5_L2_I5_T2,L2,I5,P5,T2,S00,ST1_vibration_3x,5.150223882985301,ok
3,X_A0_U4_P5_L2_I5_T4,L2,I5,P5,T4,S00,ST1_vibration_3x,5.43632360000629,ok
3,L2_S00_ST1_vibration_3x_I5_bundle,L2,I5,,,S00,ST1_vibration_3x,35.4974797689938,bundle_complete
0,X_A0_U4_P0_L2_I3_T2,L2,I3,P0,T2,S00,ST0_nominal,5.8631451450055465,ok
0,X_A0_U4_P0_L2_I3_T4,L2,I3,P0,T4,S00,ST0_nominal,5.760577398003079,ok
0,X_A0_U4_P4_L2_I3_T2,L2,I3,P4,T2,S00,ST0_nominal,5.594281874014996,ok
0,X_A0_U4_P4_L2_I3_T4,L2,I3,P4,T4,S00,ST0_nominal,5.825681582005927,ok
0,X_A0_U4_P5_L2_I3_T2,L2,I3,P5,T2,S00,ST0_nominal,6.008848633005982,ok
0,X_A0_U4_P5_L2_I3_T4,L2,I3,P5,T4,S00,ST0_nominal,5.819370223995065,ok
0,L2_S00_ST0_nominal_I3_bundle,L2,I3,,,S00,ST0_nominal,35.986986353993416,bundle_complete
6,X_A0_U4_P0_L2_I3_T2,L2,I3,P0,T2,S00,ST3_extrinsic_4x,5.829534926975612,ok
6,X_A0_U4_P0_L2_I3_T4,L2,I3,P0,T4,S00,ST3_extrinsic_4x,5.680181400995934,ok
6,X_A0_U4_P4_L2_I3_T2,L2,I3,P4,T2,S00,ST3_extrinsic_4x,5.868661535991123,ok
6,X_A0_U4_P4_L2_I3_T4,L2,I3,P4,T4,S00,ST3_extrinsic_4x,5.883770534012001,ok
6,X_A0_U4_P5_L2_I3_T2,L2,I3,P5,T2,S00,ST3_extrinsic_4x,5.993017227010569,ok
6,X_A0_U4_P5_L2_I3_T4,L2,I3,P5,T4,S00,ST3_extrinsic_4x,5.905496608989779,ok
6,L2_S00_ST3_extrinsic_4x_I3_bundle,L2,I3,,,S00,ST3_extrinsic_4x,36.34117791699828,bundle_complete
9,X_A0_U4_P0_L2_I5_T2,L2,I5,P0,T2,S00,ST4_harsh_combo,6.149859884986654,ok
9,X_A0_U4_P0_L2_I5_T4,L2,I5,P0,T4,S00,ST4_harsh_combo,5.760519775009016,ok
9,X_A0_U4_P4_L2_I5_T2,L2,I5,P4,T2,S00,ST4_harsh_combo,5.735062390973326,ok
9,X_A0_U4_P4_L2_I5_T4,L2,I5,P4,T4,S00,ST4_harsh_combo,6.079050693981117,ok
9,X_A0_U4_P5_L2_I5_T2,L2,I5,P5,T2,S00,ST4_harsh_combo,5.9727840809791815,ok
9,X_A0_U4_P5_L2_I5_T4,L2,I5,P5,T4,S00,ST4_harsh_combo,5.851493108988507,ok
9,L2_S00_ST4_harsh_combo_I5_bundle,L2,I5,,,S00,ST4_harsh_combo,36.614164878003066,bundle_complete
1,X_A0_U4_P0_L2_I5_T2,L2,I5,P0,T2,S00,ST0_nominal,6.1333532389835455,ok
1,X_A0_U4_P0_L2_I5_T4,L2,I5,P0,T4,S00,ST0_nominal,6.177142330998322,ok
1,X_A0_U4_P4_L2_I5_T2,L2,I5,P4,T2,S00,ST0_nominal,5.738486249989364,ok
1,X_A0_U4_P4_L2_I5_T4,L2,I5,P4,T4,S00,ST0_nominal,5.855758021003567,ok
1,X_A0_U4_P5_L2_I5_T2,L2,I5,P5,T2,S00,ST0_nominal,5.544465062994277,ok
1,X_A0_U4_P5_L2_I5_T4,L2,I5,P5,T4,S00,ST0_nominal,6.091475152992643,ok
1,L2_S00_ST0_nominal_I5_bundle,L2,I5,,,S00,ST0_nominal,36.65854844101705,bundle_complete
4,X_A0_U4_P0_L2_I3_T2,L2,I3,P0,T2,S00,ST2_bias_rw_2x,6.011258173006354,ok
4,X_A0_U4_P0_L2_I3_T4,L2,I3,P0,T4,S00,ST2_bias_rw_2x,6.060660499002552,ok
4,X_A0_U4_P4_L2_I3_T2,L2,I3,P4,T2,S00,ST2_bias_rw_2x,6.0376977889973205,ok
4,X_A0_U4_P4_L2_I3_T4,L2,I3,P4,T4,S00,ST2_bias_rw_2x,5.979273130011279,ok
4,X_A0_U4_P5_L2_I3_T2,L2,I3,P5,T2,S00,ST2_bias_rw_2x,5.357280808995711,ok
4,X_A0_U4_P5_L2_I3_T4,L2,I3,P5,T4,S00,ST2_bias_rw_2x,6.048173535993556,ok
4,L2_S00_ST2_bias_rw_2x_I3_bundle,L2,I3,,,S00,ST2_bias_rw_2x,36.71567042300012,bundle_complete
8,X_A0_U4_P0_L2_I3_T2,L2,I3,P0,T2,S00,ST4_harsh_combo,5.967922754993197,ok
8,X_A0_U4_P0_L2_I3_T4,L2,I3,P0,T4,S00,ST4_harsh_combo,5.553780799004016,ok
8,X_A0_U4_P4_L2_I3_T2,L2,I3,P4,T2,S00,ST4_harsh_combo,5.883842403010931,ok
8,X_A0_U4_P4_L2_I3_T4,L2,I3,P4,T4,S00,ST4_harsh_combo,6.11935123798321,ok
8,X_A0_U4_P5_L2_I3_T2,L2,I3,P5,T2,S00,ST4_harsh_combo,6.241363623004872,ok
8,X_A0_U4_P5_L2_I3_T4,L2,I3,P5,T4,S00,ST4_harsh_combo,6.188923894020263,ok
8,L2_S00_ST4_harsh_combo_I3_bundle,L2,I3,,,S00,ST4_harsh_combo,37.154796000017086,bundle_complete
7,X_A0_U4_P0_L2_I5_T2,L2,I5,P0,T2,S00,ST3_extrinsic_4x,5.8677721549756825,ok
7,X_A0_U4_P0_L2_I5_T4,L2,I5,P0,T4,S00,ST3_extrinsic_4x,6.107776987977559,ok
7,X_A0_U4_P4_L2_I5_T2,L2,I5,P4,T2,S00,ST3_extrinsic_4x,6.1436559559952,ok
7,X_A0_U4_P4_L2_I5_T4,L2,I5,P4,T4,S00,ST3_extrinsic_4x,5.925553525012219,ok
