version,solver,solver_family,eval_set,n_positions,facing,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v4-io,T4+F0,external_position_filter,all8,24,ABEF,6,68.91880478098571,164.8839453306685,103.87870404256299
v4-io,T4+F0,external_position_filter,all8,24,ADHE,6,78.59803493618234,131.77313848998133,89.52782924298019
v4-io,T4+F0,external_position_filter,all8,24,BCGF,6,58.716800426927335,243.2670572366703,133.19794956070754
v4-io,T4+F0,external_position_filter,all8,24,CDHG,6,97.75576336142396,156.49402649531055,108.24080821367322
v4-io,T4+F1,external_position_filter,all8,24,ABEF,6,61.71002333394633,169.39792919690748,104.63247186916603
v4-io,T4+F1,external_position_filter,all8,24,ADHE,6,77.91532060028683,130.70413314087764,89.225008529849
v4-io,T4+F1,external_position_filter,all8,24,BCGF,6,56.25626078482112,240.590159371666,131.88678903069157
v4-io,T4+F1,external_position_filter,all8,24,CDHG,6,92.86507812189683,165.70470626681362,111.37665283126195
v4-io,T4+F2,external_position_filter,all8,24,ABEF,6,61.71002333394633,169.39792919690748,104.63247186916603
v4-io,T4+F2,external_position_filter,all8,24,ADHE,6,77.91532060028683,130.70413314087764,89.225008529849
v4-io,T4+F2,external_position_filter,all8,24,BCGF,6,56.25626078482112,240.590159371666,131.88678903069157
v4-io,T4+F2,external_position_filter,all8,24,CDHG,6,92.86507812189683,165.70470626681362,111.37665283126195
v4-io,T4+F3,external_position_filter,all8,24,ABEF,6,62.474812408892305,168.75008779208565,104.40618534338857
v4-io,T4+F3,external_position_filter,all8,24,ADHE,6,78.06193867900781,130.88576673373797,89.3228747838373
v4-io,T4+F3,external_position_filter,all8,24,BCGF,6,56.18830629118408,241.1401488519199,132.1327976048981
v4-io,T4+F3,external_position_filter,all8,24,CDHG,6,93.53392384531398,164.41730557795017,110.91877331189818
v4-io,T4+F4,external_position_filter,all8,24,ABEF,6,61.706565592490215,169.39886537306597,104.6365918533451
v4-io,T4+F4,external_position_filter,all8,24,ADHE,6,77.91502158308317,130.70598753066741,89.22396488211581
v4-io,T4+F4,external_position_filter,all8,24,BCGF,6,56.255917991867804,240.59220634865142,131.8881179406707
v4-io,T4+F4,external_position_filter,all8,24,CDHG,6,92.86435457054807,165.68626224072236,111.36640520285304
v4-io,T4+F5,external_position_filter,all8,24,ABEF,6,61.08866632634103,169.97514274216456,104.85519946986739
v4-io,T4+F5,external_position_filter,all8,24,ADHE,6,77.72026215955671,130.61285097969918,89.15958393060693
v4-io,T4+F5,external_position_filter,all8,24,BCGF,6,56.27546817645605,240.2681749641028,131.7549879547194
v4-io,T4+F5,external_position_filter,all8,24,CDHG,6,92.1382024012394,167.28044872371117,111.9474918509288
