version,solver,solver_family,eval_set,n_positions,threshold_mm,within_count,within_fraction,outside_count,outside_fraction
v4-io,T4+F0,external_position_filter,all8,24,50,5,0.20833333333333334,19,0.7916666666666666
v4-io,T4+F0,external_position_filter,all8,24,80,13,0.5416666666666666,11,0.4583333333333333
v4-io,T4+F0,external_position_filter,all8,24,100,15,0.625,9,0.375
v4-io,T4+F0,external_position_filter,all8,24,200,23,0.9583333333333334,1,0.041666666666666664
v4-io,T4+F0,external_position_filter,all8,24,300,24,1.0,0,0.0
v4-io,T4+F1,external_position_filter,all8,24,50,4,0.16666666666666666,20,0.8333333333333334
v4-io,T4+F1,external_position_filter,all8,24,80,14,0.5833333333333334,10,0.4166666666666667
v4-io,T4+F1,external_position_filter,all8,24,100,15,0.625,9,0.375
v4-io,T4+F1,external_position_filter,all8,24,200,23,0.9583333333333334,1,0.041666666666666664
v4-io,T4+F1,external_position_filter,all8,24,300,24,1.0,0,0.0
v4-io,T4+F2,external_position_filter,all8,24,50,4,0.16666666666666666,20,0.8333333333333334
v4-io,T4+F2,external_position_filter,all8,24,80,14,0.5833333333333334,10,0.4166666666666667
v4-io,T4+F2,external_position_filter,all8,24,100,15,0.625,9,0.375
v4-io,T4+F2,external_position_filter,all8,24,200,23,0.9583333333333334,1,0.041666666666666664
v4-io,T4+F2,external_position_filter,all8,24,300,24,1.0,0,0.0
v4-io,T4+F3,external_position_filter,all8,24,50,4,0.16666666666666666,20,0.8333333333333334
v4-io,T4+F3,external_position_filter,all8,24,80,14,0.5833333333333334,10,0.4166666666666667
v4-io,T4+F3,external_position_filter,all8,24,100,15,0.625,9,0.375
v4-io,T4+F3,external_position_filter,all8,24,200,23,0.9583333333333334,1,0.041666666666666664
v4-io,T4+F3,external_position_filter,all8,24,300,24,1.0,0,0.0
v4-io,T4+F4,external_position_filter,all8,24,50,4,0.16666666666666666,20,0.8333333333333334
v4-io,T4+F4,external_position_filter,all8,24,80,14,0.5833333333333334,10,0.4166666666666667
v4-io,T4+F4,external_position_filter,all8,24,100,15,0.625,9,0.375
v4-io,T4+F4,external_position_filter,all8,24,200,23,0.9583333333333334,1,0.041666666666666664
v4-io,T4+F4,external_position_filter,all8,24,300,24,1.0,0,0.0
v4-io,T4+F5,external_position_filter,all8,24,50,4,0.16666666666666666,20,0.8333333333333334
v4-io,T4+F5,external_position_filter,all8,24,80,14,0.5833333333333334,10,0.4166666666666667
v4-io,T4+F5,external_position_filter,all8,24,100,15,0.625,9,0.375
v4-io,T4+F5,external_position_filter,all8,24,200,23,0.9583333333333334,1,0.041666666666666664
v4-io,T4+F5,external_position_filter,all8,24,300,24,1.0,0,0.0
