version,solver,solver_family,eval_set,n_positions,metric,value_mm,unit
v4-io,T4+F0,external_position_filter,all8,24,mean_3d_error_mm,92.76104090788267,mm
v4-io,T4+F0,external_position_filter,all8,24,rmse_3d_error_mm,109.84509967728258,mm
v4-io,T4+F0,external_position_filter,all8,24,p50_3d_error_mm,72.6891193204547,mm
v4-io,T4+F0,external_position_filter,all8,24,p90_3d_error_mm,156.81239273052086,mm
v4-io,T4+F0,external_position_filter,all8,24,p95_3d_error_mm,171.49736845476423,mm
v4-io,T4+F0,external_position_filter,all8,24,p99_3d_error_mm,254.4790603912795,mm
v4-io,T4+F0,external_position_filter,all8,24,max_3d_error_mm,278.85157441190233,mm
v4-io,T4+F0,external_position_filter,all8,24,repeatability_d3_std_p50_mm,67.05901820724404,mm
v4-io,T4+F0,external_position_filter,all8,24,repeatability_d3_std_p95_mm,88.04843988500595,mm
v4-io,T4+F1,external_position_filter,all8,24,mean_3d_error_mm,92.94505860425222,mm
v4-io,T4+F1,external_position_filter,all8,24,rmse_3d_error_mm,110.34937724487285,mm
v4-io,T4+F1,external_position_filter,all8,24,p50_3d_error_mm,66.07723984359095,mm
v4-io,T4+F1,external_position_filter,all8,24,p90_3d_error_mm,164.40742227404522,mm
v4-io,T4+F1,external_position_filter,all8,24,p95_3d_error_mm,177.40301863706003,mm
v4-io,T4+F1,external_position_filter,all8,24,p99_3d_error_mm,251.98583923625623,mm
v4-io,T4+F1,external_position_filter,all8,24,max_3d_error_mm,273.98909536936844,mm
v4-io,T4+F1,external_position_filter,all8,24,repeatability_d3_std_p50_mm,30.130205873313074,mm
v4-io,T4+F1,external_position_filter,all8,24,repeatability_d3_std_p95_mm,45.81987586652258,mm
v4-io,T4+F2,external_position_filter,all8,24,mean_3d_error_mm,92.94505860425222,mm
v4-io,T4+F2,external_position_filter,all8,24,rmse_3d_error_mm,110.34937724487285,mm
v4-io,T4+F2,external_position_filter,all8,24,p50_3d_error_mm,66.07723984359095,mm
v4-io,T4+F2,external_position_filter,all8,24,p90_3d_error_mm,164.40742227404522,mm
v4-io,T4+F2,external_position_filter,all8,24,p95_3d_error_mm,177.40301863706003,mm
v4-io,T4+F2,external_position_filter,all8,24,p99_3d_error_mm,251.98583923625623,mm
v4-io,T4+F2,external_position_filter,all8,24,max_3d_error_mm,273.98909536936844,mm
v4-io,T4+F2,external_position_filter,all8,24,repeatability_d3_std_p50_mm,30.130205873313074,mm
v4-io,T4+F2,external_position_filter,all8,24,repeatability_d3_std_p95_mm,45.81987586652258,mm
v4-io,T4+F3,external_position_filter,all8,24,mean_3d_error_mm,92.94336386587479,mm
v4-io,T4+F3,external_position_filter,all8,24,rmse_3d_error_mm,110.27383866257706,mm
v4-io,T4+F3,external_position_filter,all8,24,p50_3d_error_mm,67.0825213095571,mm
v4-io,T4+F3,external_position_filter,all8,24,p90_3d_error_mm,163.1286560339748,mm
v4-io,T4+F3,external_position_filter,all8,24,p95_3d_error_mm,176.75976132689613,mm
v4-io,T4+F3,external_position_filter,all8,24,p99_3d_error_mm,252.43398310022502,mm
v4-io,T4+F3,external_position_filter,all8,24,max_3d_error_mm,274.7270124045534,mm
v4-io,T4+F3,external_position_filter,all8,24,repeatability_d3_std_p50_mm,35.468975178764055,mm
v4-io,T4+F3,external_position_filter,all8,24,repeatability_d3_std_p95_mm,53.10734902801745,mm
v4-io,T4+F4,external_position_filter,all8,24,mean_3d_error_mm,92.94330183355366,mm
v4-io,T4+F4,external_position_filter,all8,24,rmse_3d_error_mm,110.34795435995504,mm
v4-io,T4+F4,external_position_filter,all8,24,p50_3d_error_mm,66.07080406270047,mm
v4-io,T4+F4,external_position_filter,all8,24,p90_3d_error_mm,164.38881919899544,mm
v4-io,T4+F4,external_position_filter,all8,24,p95_3d_error_mm,177.39656520474006,mm
v4-io,T4+F4,external_position_filter,all8,24,p99_3d_error_mm,251.98507347954848,mm
v4-io,T4+F4,external_position_filter,all8,24,max_3d_error_mm,273.9894383995857,mm
v4-io,T4+F4,external_position_filter,all8,24,repeatability_d3_std_p50_mm,21.329100674623906,mm
v4-io,T4+F4,external_position_filter,all8,24,repeatability_d3_std_p95_mm,38.30645948179553,mm
v4-io,T4+F5,external_position_filter,all8,24,mean_3d_error_mm,93.00578331653405,mm
v4-io,T4+F5,external_position_filter,all8,24,rmse_3d_error_mm,110.49396142460301,mm
v4-io,T4+F5,external_position_filter,all8,24,p50_3d_error_mm,65.28755157574537,mm
v4-io,T4+F5,external_position_filter,all8,24,p90_3d_error_mm,165.9726176487177,mm
v4-io,T4+F5,external_position_filter,all8,24,p95_3d_error_mm,178.10759673920197,mm
v4-io,T4+F5,external_position_filter,all8,24,p99_3d_error_mm,251.73579984321412,mm
v4-io,T4+F5,external_position_filter,all8,24,max_3d_error_mm,273.50261108956454,mm
v4-io,T4+F5,external_position_filter,all8,24,repeatability_d3_std_p50_mm,18.55047902653533,mm
v4-io,T4+F5,external_position_filter,all8,24,repeatability_d3_std_p95_mm,36.36005872440426,mm
