version,solver,solver_family,eval_set,n_positions,component,role,signed_mean_bias_mm,signed_std_mm,p95_abs_error_mm,axis_convention,horizontal_2d_rmse_mm,horizontal_2d_p50_mm,horizontal_2d_p95_mm
v4-io,T4+F0,external_position_filter,all8,24,X,OptiTrack horizontal X,21.161269419811248,31.894205120465855,72.215410942392,OptiTrack frame; Y is vertical,,,
v4-io,T4+F0,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,-26.486413957840753,97.26399571803296,169.9758029065568,OptiTrack frame; Y is vertical,,,
v4-io,T4+F0,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-7.65406597865983,29.199227779597877,51.956951636372715,OptiTrack frame; Y is vertical,,,
v4-io,T4+F0,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,47.94068701727591,37.4203480766745,73.55923720151176
v4-io,T4+F1,external_position_filter,all8,24,X,OptiTrack horizontal X,21.03548541363583,31.007828706365967,72.26134776055794,OptiTrack frame; Y is vertical,,,
v4-io,T4+F1,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,-23.58757051293864,99.06869735581036,176.08091535970283,OptiTrack frame; Y is vertical,,,
v4-io,T4+F1,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-5.232903158834675,29.316532090660075,50.44522757824041,OptiTrack frame; Y is vertical,,,
v4-io,T4+F1,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,47.063220562083416,37.747784379267216,72.95275678059113
v4-io,T4+F2,external_position_filter,all8,24,X,OptiTrack horizontal X,21.03548541363583,31.007828706365967,72.26134776055794,OptiTrack frame; Y is vertical,,,
v4-io,T4+F2,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,-23.58757051293864,99.06869735581036,176.08091535970283,OptiTrack frame; Y is vertical,,,
v4-io,T4+F2,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-5.232903158834675,29.316532090660075,50.44522757824041,OptiTrack frame; Y is vertical,,,
v4-io,T4+F2,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,47.063220562083416,37.747784379267216,72.95275678059113
v4-io,T4+F3,external_position_filter,all8,24,X,OptiTrack horizontal X,21.17876119557455,31.12639956719436,72.46925070355644,OptiTrack frame; Y is vertical,,,
v4-io,T4+F3,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,-23.826952717884655,98.8492701341541,175.43063203212415,OptiTrack frame; Y is vertical,,,
v4-io,T4+F3,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-5.485043863984218,29.27721510910556,50.553006303928186,OptiTrack frame; Y is vertical,,,
v4-io,T4+F3,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,47.20752097661014,37.750257479320595,73.12731075299153
v4-io,T4+F4,external_position_filter,all8,24,X,OptiTrack horizontal X,21.034210717894737,31.010390834954745,72.2617971729029,OptiTrack frame; Y is vertical,,,
v4-io,T4+F4,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,-23.587757432284803,99.0663539963809,176.0737760938223,OptiTrack frame; Y is vertical,,,
v4-io,T4+F4,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-5.229295121260484,29.317621357174016,50.4457493148347,OptiTrack frame; Y is vertical,,,
v4-io,T4+F4,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,47.064517850802474,37.74909252631895,72.95166691287574
v4-io,T4+F5,external_position_filter,all8,24,X,OptiTrack horizontal X,20.919858307955412,30.8931539025838,72.21818614338657,OptiTrack frame; Y is vertical,,,
v4-io,T4+F5,external_position_filter,all8,24,Y_vertical,OptiTrack vertical Y,-23.431917391095038,99.34228360856109,176.79207957642055,OptiTrack frame; Y is vertical,,,
v4-io,T4+F5,external_position_filter,all8,24,Z,OptiTrack horizontal Z,-5.011813305839123,29.336943709178907,50.33623623692187,OptiTrack frame; Y is vertical,,,
v4-io,T4+F5,external_position_filter,all8,24,horizontal_XZ_2D,secondary horizontal 2D,,,,OptiTrack frame; Y is vertical,46.92733923281396,37.74761444731595,72.92308862430528
